,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,6E1YebXpPPtujMUljDNlOo,Kerosene,2012,0.0,4,115.799,-9.368,0.546,0.519,0.0862,Major
1,2nVzb4x0UKTxJsJovxjuV0,INTERNET ANGEL,2022,0.964,4,160.011,-3.197,0.995,0.405,0.926,Major
2,4O1ZuUIFP0HJcGXtpoYg8U,Killing Moon (Akuma Stage),1999,0.932,4,164.899,-11.268,0.608,0.324,0.695,Major
3,0tLcKkZqfylGoG5JcXOXvL,Magical Doctor,2019,0.861,4,101.997,-1.948,0.98,0.581,0.519,Major
4,58nqArQQR9mlhLtHrwYsZL,Palmtree Panic - ”P” mix,2011,0.927,4,119.246,-9.443,0.897,0.611,0.597,Minor
5,2Z2Vvriy81OX4fXFBEWksU,cheatreal,2012,0.636,4,199.977,-4.042,0.998,0.332,0.708,Major
6,4D1k6x4MXTaSnljSvAXhaf,GMFU (w/ 6arelyhuman),2023,0.025,4,126.091,-3.23,0.778,0.735,0.278,Major
7,5INzvllYMlajboTg4dcTIw,Return to Zero Возвращайся Beztebya - Slowed Reverb,2023,0.918,4,120.073,-7.695,0.863,0.654,0.327,Minor
8,2bQ7sdGCOCoP4OTCdHPKFM,soft spot,2022,0.0242,4,169.913,-7.836,0.664,0.649,0.442,Major
9,7LJqyke8utk9ddmFchx3Z6,Doku,2018,3.75e-05,5,135.863,-6.863,0.842,0.359,0.383,Major
10,3gGMsx3jxYKfhXq8LMj1tz,Vanished,2008,7.42e-05,4,119.98,-6.659,0.87,0.707,0.663,Minor
11,0BTFTfPEvadvkmb67NJbjv,Angel Breaking,2022,0.0754,4,92.508,-2.539,0.799,0.687,0.889,Major
12,15rbqfWtrFCW3uLf9a01sf,Untrust Us,2008,0.126,4,125.874,-5.379,0.814,0.603,0.188,Minor
13,4F2NudCv50tC2Bqc3dgn9v,INTERNET YAMERO,2023,0.000357,4,184.868,-4.279,0.916,0.468,0.529,Major
