,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5w3w1cNPxvJgBauhkr55L1,Little Bird,2017,0.811,4,84.997,-7.109,0.635,0.667,0.187,Major
1,0XwF8LK98fQWSTZ7viYKlp,You Got Me,2019,0.186,4,174.037,-5.289,0.806,0.606,0.057,Minor
2,5nVkaIXaqQtoMX4V1jncdO,Even If - Original Mix,2010,0.522,4,174.991,-8.369,0.803,0.459,0.481,Minor
3,7vzkTqrbTQVFN6KHnKZXes,Delirous - Kimyan Law Remix,2016,0.887,4,171.982,-8.408,0.556,0.511,0.22,Major
4,7FpyrAiNUPIxnYR5xXfGsl,Phoenix,2016,0.319,4,87.488,-3.252,0.867,0.595,0.148,Minor
5,6iMbr1WhA7Qi37CgGP0MXU,Love Everlasting - The Vanguard Project Remix,2016,0.881,4,174.033,-4.671,0.929,0.596,0.243,Major
6,26u7VzW2r3xW4bY14rhtK4,Small Gains,2014,0.87,4,172.053,-5.643,0.796,0.667,0.3,Minor
7,6w3ZhKgAeoZl2CCHN6mx4h,Tell Me,2015,0.599,4,174.051,-5.553,0.757,0.627,0.0763,Minor
8,0YadJexZUo2SblfJE2ppZ0,Touch - Tokyo Prose Remix,2016,0.564,4,172.042,-5.153,0.649,0.56,0.255,Minor
9,4L0JPK2CLBa9RBK6StALHT,Running in the Dark,2019,0.176,3,133.059,-4.696,0.875,0.438,0.0384,Minor
10,41scpcxZZ8riNgfmgSohGE,Supernova,2018,0.138,4,174.001,-2.034,0.818,0.524,0.293,Minor
11,7A6rObl62S3Jeowh1LSm6w,Echoes,2019,0.0727,4,87.011,-1.975,0.952,0.537,0.162,Minor
12,6uPeArwrUUsXQF3zDkmZDm,Shy,2017,0.645,4,174.009,-6.862,0.724,0.465,0.0354,Minor
13,6N8A7zc5lfOTXt2yDOB0Sy,Gleams,2019,0.769,4,174.027,-7.437,0.762,0.643,0.371,Minor
14,7I62FqLYE105ulbd7fSO8b,Parallel - LSB Remix,2017,0.00656,4,86.993,-4.116,0.765,0.566,0.142,Minor
15,3hwkJxMCZSDF8VoXporuDE,Burst - Calibre Remix,2018,0.145,4,169.977,-6.179,0.685,0.56,0.0546,Major
16,3FxgatVZLNTP70wLvX59jz,Holding On,2017,0.853,4,174.003,-4.843,0.754,0.543,0.0375,Minor
17,6HT0cqfkYfBecThtTMWyKL,Hayling,2018,0.28,4,173.988,-4.874,0.721,0.514,0.105,Major
18,58wOzwc5BSxKvA06KjlCo4,Parallel,2016,0.0199,4,173.972,-5.5,0.787,0.559,0.129,Minor
19,0HbW183P72KHki0wJsv99I,Find Your Way,2017,0.243,4,87.0,-4.447,0.928,0.304,0.0608,Minor
20,3GG6X47vnwgtMxejiMjOFK,Darkest Hour,2019,0.118,4,86.929,-4.612,0.876,0.409,0.0707,Minor
21,1MXMot4I3xfJUgH3peUtzd,Unsaid,2017,0.491,4,87.477,-4.897,0.803,0.447,0.203,Major
22,6v5WeuroH2KYEqYoBzpbcU,Ships,2017,0.282,4,174.0,-4.666,0.791,0.655,0.249,Major
23,4vBHFLY0IkSebkGzOLtzcG,Away With Me - Calibre Remix,2013,0.51,4,173.998,-6.054,0.726,0.708,0.315,Major
24,6VAxJJsW8mRr7vT0Yvm1fn,Pathways,2017,0.000319,4,174.042,-7.291,0.452,0.437,0.0375,Minor
25,5rzJpM33yH0bHF6XOmmqnb,Dream Days,2018,0.229,4,174.948,-6.012,0.875,0.349,0.0328,Minor
26,6BRw6KtOlJ91fq0rlTJOSo,Everything Anything,2018,0.537,4,87.088,-5.667,0.797,0.388,0.0587,Major
27,5Lnb0gCpdpCwqDsgfPRypY,Don't Wait,2018,0.899,4,173.994,-5.751,0.652,0.521,0.108,Minor
28,0BkY9FbAZOqNqMgdgrwr1G,The Edge of Time,2018,0.0209,4,86.994,-6.32,0.686,0.835,0.233,Minor
29,6U0JZJpmm2oVcExBoincx4,Let It Breathe,2018,0.165,4,87.015,-2.909,0.71,0.704,0.39,Major
30,0i3aY3ZKOIbugyPda2DseD,Dreaming,2017,0.782,4,87.503,-3.949,0.808,0.458,0.0324,Minor
31,22fQwm0C2PeIaVSlyu0QPV,Some People,2017,0.8,4,172.043,-6.792,0.805,0.601,0.164,Minor
32,7tdAYrM8qA5gBNW8E1rWWn,Moving On,2018,0.674,4,173.983,-4.306,0.948,0.447,0.0668,Minor
33,5KjrGulEHm7LeTeJUNCPyL,Mind Less,2017,0.0203,4,174.115,-3.87,0.879,0.541,0.216,Major
34,2YXrX0unXwzdHI32HfWAuu,Everything to Me,2018,0.824,4,85.969,-6.761,0.781,0.619,0.102,Major
35,0KGPeik0eanVVaSm8WBNwQ,Voices,2019,0.338,4,174.031,-6.248,0.631,0.543,0.0487,Minor
36,7quYGrFCNeTsaN0v1igi5u,Surfacing,2017,0.348,4,173.952,-4.85,0.826,0.447,0.0397,Minor
37,5d7X2AUg7BvubtXlJ1tB9f,New Day,2018,0.00104,4,174.023,-3.277,0.971,0.495,0.0752,Major
38,4XC8wCNrIneWEL0ihVZDwS,Rain God,2018,0.789,4,175.055,-4.461,0.869,0.496,0.0514,Minor
39,2OjaOO7GO0szNxNRj9omfo,Listen,2017,0.514,4,171.973,-3.722,0.792,0.514,0.0475,Minor
40,009pjwnOrxcHjdg2uCuszR,Her Waves,2014,0.396,4,172.006,-5.958,0.67,0.616,0.213,Minor
41,5lexW8E2O9uqCBU4bAyTNE,Something Tells Me,2016,0.341,4,174.009,-4.725,0.7,0.698,0.149,Minor
42,1heemNbaK6TASzaCzgbG64,Whatever You Said,2018,0.489,4,86.991,-7.428,0.612,0.547,0.0982,Minor
43,0Wgk1WguHMuI03t2sL0w2w,Pictures of You,2019,0.812,4,171.982,-3.514,0.923,0.673,0.126,Minor
44,7jk39nc0yNVVlcAgDaU5ib,Crystal Clear,2018,0.17,4,171.961,-5.955,0.626,0.603,0.0808,Major
45,4bzXR2cgqfLaNJ4B41gRFR,Intercept,2018,0.896,4,87.001,-6.745,0.704,0.649,0.135,Minor
46,7qAyOVv4Fj2wKRsFSoqiXz,Closer,2017,0.169,4,174.0,-6.408,0.594,0.647,0.117,Minor
47,3nHfiIEq5KZaPnuLlOaAsq,Undone,2017,0.785,4,172.035,-4.842,0.884,0.613,0.0922,Minor
48,1LbyWN7ws0tQfnGMqAvD55,Constant Reminder,2019,0.0907,4,172.019,-4.735,0.923,0.643,0.156,Minor
49,29nR1InngtsVT71ggR6Lzr,The Night,2017,0.451,4,171.951,-5.879,0.835,0.475,0.0389,Major
50,7GJnYYZjIi1fazoSJwqI1F,Night Dawns,2018,0.154,4,87.045,-5.367,0.899,0.5,0.094,Major
51,1kFWhehaTE11g5DVcoso4m,See For Miles,2018,0.882,4,174.009,-5.704,0.747,0.524,0.0377,Major
52,4zZqVnTVRg3yr4LljJ5u0A,24 / 7,2018,0.738,4,86.969,-6.705,0.883,0.596,0.0349,Minor
53,2wnIP4zPxmSwEQWhGOEEPk,Proposition,2017,0.002,4,87.012,-4.26,0.911,0.722,0.278,Major
54,2krIdhvUXa8OGnSJ9HJBge,Fiction,2017,0.0768,4,86.917,-4.298,0.864,0.472,0.24,Minor
55,3ctiFWQV4hrUJcj13LISSP,Out of Reach,2016,0.0254,4,83.487,-4.636,0.729,0.556,0.118,Minor
56,5JqZpZ5ezfTzMOAySH0cyr,Won't U,2018,0.885,4,174.001,-5.899,0.81,0.572,0.0647,Major
57,4SY259DM3lcZjPSdcfeqTM,Before You,2022,1.18e-05,4,174.011,-3.439,0.829,0.481,0.0503,Minor
58,4mEjAS47cEnesVH2oXLkTO,Dawning,2015,0.861,4,173.963,-5.173,0.561,0.495,0.1,Minor
59,5HmVqAvWJ0ziUtrU9gwEon,Back To You,2019,0.0166,4,173.957,-8.562,0.56,0.539,0.0534,Minor
