,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,1VKWQgq0g2uKtgNfL0ceNM,Perfect (Exceeder) - 1991 Remix,2024,0.691,4,174.113,-0.925,0.903,0.689,0.271,Major
1,5k3jdIh7BpJaV1DntDQoSD,No Problem,2011,0.102,4,174.978,-5.522,0.948,0.555,0.505,Major
2,0fxPhCN2eRixZxxgzZzwiY,Wanna Stay (feat. Dear Sunday),2021,2.1e-05,4,173.887,-5.78,0.825,0.437,0.0512,Major
3,5UjccMIJkNhont0TGSU0iD,Take Me As I Am,2020,1.67e-06,4,88.096,-3.082,0.879,0.816,0.926,Minor
4,7JdHEhOa7CXs8oEBnMtnjh,Disappear (feat. Hayley Trinca) [ShockOne Remix],2021,0.00195,4,175.017,-6.532,0.846,0.554,0.135,Minor
5,185mPScSGRuSVx3vRWhfhg,Rhyme Dust - Dimension Remix,2023,0.818,4,173.981,0.905,0.995,0.584,0.597,Major
6,3aiycOKS6P30BnR7dUfrnA,Granite,2008,0.703,4,174.089,-6.349,0.925,0.392,0.2,Major
7,61CGtyyjeTQfIZ2Tm0mEq2,Lights,2024,7.72e-06,5,113.951,-4.003,0.664,0.381,0.315,Minor
8,5L3o8IfmlLhxGcSnXQIHcz,Hometown Glory - High Contrast Remix,2008,0.175,4,173.021,-6.306,0.861,0.529,0.116,Minor
9,2A4Ij58MiGtsYOHBAJ8Wph,Out The Blue,2013,0.00343,4,174.021,-5.271,0.912,0.423,0.261,Minor
10,2N1SBksYNigOK3XtGNhp8i,Hell In High Heels (feat. Jazmine Johnson),2023,0.0,4,86.24,-5.634,0.57,0.519,0.194,Minor
11,5PuJ00qKGWqbGeeWbt8WJb,Heartbeat Loud,2014,0.000887,4,174.046,-1.059,0.961,0.421,0.5,Major
12,0tYvtz8jKAyC12by9Lmp6L,Turn Back Time - Wilkinson Remix,2021,0.196,4,173.941,-4.238,0.952,0.5,0.331,Minor
13,3lFNDaob5QhwE9oo7J0uNT,Pachamama,2024,0.00457,4,172.064,-3.7,0.96,0.658,0.479,Major
14,3LDJQuvazW0M6hGOARieEm,Love To Me,2014,0.0114,4,173.991,-2.427,0.955,0.444,0.396,Minor
15,25JNOXGpHw3E9wmLNmcarr,LEFT TO RIGHT (Subsonic Remix),2023,0.959,4,174.011,-1.988,0.961,0.561,0.417,Major
16,0vGjoADTYfGVewMe6sb34y,The One - High Contrast Remix,2018,0.27,4,172.995,-4.801,0.802,0.581,0.492,Minor
17,1LrYRj1iFsm9QJ72YqPTLY,Changing,2015,0.0,4,171.079,-3.833,0.815,0.484,0.353,Major
18,6UreohhsD15kzzKURwLZ07,Louder Than Words,2021,0.00013,4,173.991,-4.945,0.909,0.427,0.121,Major
19,2HOMVMnOukowkziBJZyf7o,Time,2011,0.000871,4,139.946,-5.529,0.919,0.531,0.423,Minor
20,0k73nWaD6RPx2sHFEkGPcn,Feel the Love (feat. John Newman),2013,0.000184,4,179.948,-6.849,0.705,0.385,0.24,Major
21,34vdLE1cGJBbGKU2RdD9vU,Hold On,2020,0.000113,4,85.98,-5.881,0.683,0.56,0.13,Minor
22,37BqQ2eUTnl7cHW0cp2MAI,If Love Could Have Saved You,2024,4.68e-05,4,172.221,-4.029,0.726,0.443,0.0839,Major
23,6c21bVRfGC8IOXvQVQ2UTb,Forbidden Feelingz,2024,0.157,5,108.982,-7.364,0.796,0.512,0.551,Minor
24,4ILGJeCeCuVhExxL3XY7Q5,Arms,2021,0.837,4,174.114,-6.468,0.88,0.544,0.324,Major
25,5l9NEMBpuF5mtjv4vO1Zoq,Generator,2017,0.142,4,173.985,-1.318,0.957,0.405,0.0779,Minor
26,18iFN3VoOZzULEZGSBqHZL,Gecko (Overdrive) - Matrix & Futurebound Remix,2014,0.0244,4,174.036,-2.589,0.957,0.56,0.558,Major
27,2Fn1fXkRt03hV7uhrKfLh2,Little Things - Nia Archives Remix,2023,0.0257,4,165.09,-3.518,0.997,0.647,0.675,Major
28,2jsmSLoX8y0h6k4YzDCFH1,Nobody To Love - Radio Edit,2014,6.34e-06,4,175.001,-3.32,0.921,0.441,0.182,Major
29,6tC2iHfUlzB2W4ntXXL2BH,Propane Nightmares,2008,0.148,4,173.992,-4.13,0.966,0.356,0.215,Minor
30,5JwaKuFciGErKq01IHfC9u,Let You Go,2011,0.0,4,131.746,-3.046,0.798,0.403,0.289,Minor
31,6yraFyhgbavO2amB2lhpfi,Waiting All Night (feat. Ella Eyre),2013,0.01,4,174.982,-5.357,0.729,0.543,0.282,Minor
32,6f9bZIy5qHmlskwuxzeOMM,Power,2020,0.877,4,173.993,-0.81,0.92,0.548,0.358,Major
33,3urYUGRvToBI4u87OzsSMZ,beachin,2022,0.0011,4,87.01,-9.664,0.637,0.666,0.841,Minor
34,6UglvACgaGVICJVB0LbqQc,Thinkin About,2024,0.0,4,171.832,-5.33,0.682,0.558,0.317,Major
35,1LIvdWNdKmHvU0FJvw2diN,Big City Life,2022,3.91e-05,4,87.03,-4.316,0.902,0.615,0.298,Major
36,5UeLuozsBQbBj1MmB6joHz,Turn Down the Lights,2014,0.299,4,174.934,-4.697,0.973,0.632,0.379,Minor
37,7gI6SoPMfZOdDF0LaBKtLE,Unspoken - MUZZ & Oliverse Remix,2019,0.00143,4,174.06,-1.527,0.949,0.491,0.487,Minor
38,4v7kKFlEDmpVToHOICsXaM,Hooked,2019,0.33,4,128.019,-3.899,0.789,0.783,0.853,Minor
39,2SSYLcSiT7oImgsS8cPyQu,Hot Right Now (feat. RITA ORA) - Radio Edit,2012,0.00058,4,175.017,-1.569,0.972,0.524,0.476,Minor
40,16akrYX3LKYx7b9aPGDiMd,Nothing For Free,2021,0.00317,4,160.071,-4.759,0.92,0.469,0.787,Minor
41,04OxTCLGgDKfO0MMA2lcxv,Blind Faith,2011,0.0,4,140.031,-4.712,0.845,0.45,0.401,Minor
42,5TV6RtMqvsna7QejxrT4lL,Everyday,2014,0.0,4,89.004,-0.458,0.955,0.703,0.827,Major
43,1phmlPVWr700JslfcqnWxy,Hell In High Heels (feat. Jazmine Johnson) - Basstripper Remix,2023,0.0674,4,87.534,0.273,0.936,0.706,0.636,Minor
44,2bQ7sdGCOCoP4OTCdHPKFM,soft spot,2022,0.0242,4,169.913,-7.836,0.664,0.649,0.442,Major
45,1POpzXwi5LRsjwWO9sgRAj,Nobody's Perfect - Netsky Full Vocal Remix,2011,6.67e-05,4,86.488,-8.172,0.748,0.597,0.174,Minor
46,0c6XBVz2evmzERhch4Diew,Oh My (feat. Moby),2023,6.76e-05,4,171.966,-5.223,0.902,0.445,0.439,Minor
47,39ceMLTkWpyHINtcqQaE5Y,Who Knows (feat. Chronixx) - SHY FX Remix,2016,9.29e-05,4,87.012,-5.581,0.821,0.718,0.653,Minor
48,4lfGKesqbQ7JeR7tODS3vy,Enter the Dragon,2018,1.99e-05,4,129.974,-7.562,0.753,0.895,0.818,Minor
49,6cJH8BO7B8Gl3n40q8Inh5,Don't Give Up - Grafix Remix,2024,0.00661,4,174.037,-0.942,0.969,0.43,0.295,Major
