,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,7qUGVU04v0vtpZhpkS834V,Heartbreaker,2016,0.000313,4,109.028,-4.52,0.908,0.765,0.43,Minor
1,4vOJrrKgKrUXUqFjcsiYiw,Insight - A Skillz Remix,2009,0.0109,4,120.009,-6.263,0.93,0.697,0.87,Major
2,7lENQT9IZUf8sGchUKfmBJ,I'm a Man,2004,0.00638,4,130.7,-8.127,0.878,0.813,0.765,Minor
3,1kUxruE88tcUziQDD122h8,All That Funk!,2016,0.874,4,107.982,-6.757,0.878,0.79,0.966,Minor
4,1XsImxgnz5wplwaz3aGEjm,The Funk Hits the Fan,2003,0.341,4,132.048,-5.522,0.978,0.724,0.72,Major
5,7x2e2yvfhMuwBYS5xUc3ga,Take Me to a Party,2019,0.000311,4,113.996,-7.514,0.913,0.857,0.871,Major
6,1Oh4CVUvyKO6mkPo5irEI3,"The Bone, Pt. 1",2003,0.825,4,114.019,-8.117,0.725,0.794,0.885,Major
7,6wPAXpyKHQSKQ762q5feJh,Got That Fire (Oh La Ha),2012,0.000164,4,106.028,-5.114,0.883,0.643,0.52,Major
8,41tt75yu5h7KER6PbJ9IEE,Rock da Spot,2008,0.821,4,120.004,-8.56,0.902,0.766,0.461,Major
9,6VdqBajW8HOi8Kljuupg6e,Bring Back the Funk,2006,0.739,4,130.024,-8.052,0.793,0.778,0.887,Minor
10,6jaiqeXtu1BvKUexs9lbXF,Before You Leave,1999,0.739,4,103.204,-5.756,0.818,0.639,0.56,Minor
11,7owDgTldMjB1n44CVHeClK,Can't Keep Working This Hard,2018,0.00304,4,111.967,-5.688,0.781,0.799,0.781,Major
12,7DoFjN6LxnI1VBPDpAoV31,I Can't Give You Up (A Skillz Remix),2009,0.0239,4,104.978,-6.533,0.922,0.594,0.902,Major
13,1un7K39tS8XD1V6d4ZbID2,Drunk On The Funk,2009,0.616,4,119.985,-7.958,0.716,0.842,0.684,Major
14,7i3KG7tINgSVCEp2qiz3cq,The Calling,2013,0.000669,4,99.995,-5.038,0.921,0.762,0.851,Minor
15,51wqFJQrfPNuMnR23YRz4q,My Place,2009,2.8e-05,4,124.007,-6.109,0.629,0.777,0.781,Minor
16,7wu5d6zriUSxFViWKzaeh6,You're All Show - Flevans Remix,2019,0.00625,4,111.966,-8.921,0.435,0.908,0.692,Major
17,20anCykKYGuX4oYwK1Srrk,As If - Smoove's Latin Remix,2004,0.0615,4,101.5,-8.158,0.854,0.807,0.722,Major
18,2Kzo2t7MoLNajryCRfI37k,Rush - Radio Version,1994,0.00118,4,121.998,-9.122,0.799,0.716,0.869,Major
19,5ETOLMoWgwVE0Wlux8DGhO,Rogue Rock,2005,0.523,4,133.014,-6.563,0.88,0.58,0.38,Major
20,43qC4knn2HqHPHoz3N6Fb3,Dynamite Love Vs Freestlers (Feat. Dynamite MC),2008,5.4e-06,4,135.03,-11.654,0.769,0.645,0.91,Major
21,7dcUtlRrmQxtltgJw5nnIZ,The Sax Pusher - feat. Frank Mitchell,2009,0.877,4,125.015,-6.886,0.882,0.836,0.967,Major
22,7wd6feSFKIJXldGLzCm2E7,When the Heat Comes Down,2018,0.00101,4,111.997,-5.824,0.849,0.799,0.912,Major
23,5OEPFLitVY0ZdQgyF4jrue,Strudel Strut (feat. Jacko Peak) - LATIN MASSACRE MIX,2004,0.439,4,119.003,-5.355,0.973,0.832,0.65,Minor
24,46V0LxXNhCOlAPpgq2ODQ8,Light In Your Eyes - Defunk Remix,2019,0.0326,4,79.962,-3.06,0.915,0.526,0.188,Minor
25,4Z1SR5Cjo6sxb8qcHI01WL,Get Down Boogie,2011,0.162,4,119.994,-8.11,0.88,0.674,0.909,Major
26,5wLE1dwFhpkbDdbAS3rFSb,Got It Like That - Featurecast Remix,2013,0.000275,4,109.989,-4.395,0.949,0.686,0.666,Minor
27,3NJCuR2x2DLIIErStaDvG0,Get a Hold on This,2019,0.0,4,100.032,-7.802,0.708,0.76,0.641,Major
28,2DcDyb3pZZI8Z1M3M2GKNW,Breaking News,2014,2.36e-06,4,129.965,-5.806,0.85,0.731,0.87,Minor
29,6DpY0PANOyAymkX2dIytmg,Wise Men Say,2016,0.865,4,134.985,-9.201,0.953,0.716,0.971,Major
30,6TzYMmTsjyTIf1cSSuOcAw,Stiletto,2005,0.878,4,128.009,-7.136,0.893,0.661,0.339,Minor
31,5HCUHzDJKCF1hqBXW5tJx8,Get Up Get Off,2004,0.382,4,125.966,-3.46,0.986,0.716,0.682,Major
32,6kpiLlSU1W9A0iknW7Bkyp,Will You Still be Here?,2018,0.000625,4,110.995,-8.983,0.625,0.854,0.961,Minor
33,1pzCZWmcmye3zefACPR0kn,You Wouldn't Know,2016,1.8e-06,4,115.064,-5.029,0.744,0.695,0.511,Major
34,2KJ3U71iZj8rxFJXu5sHkJ,Roof Off,2009,0.000329,4,125.021,-2.978,0.934,0.833,0.472,Major
35,18DO6pxKH90aZhT1xGI01d,Tired Feet,2004,0.643,4,144.748,-7.837,0.903,0.66,0.874,Major
36,1xuBWp4HuSE6Yast5lmVPv,A Blues Thang,2013,8.37e-05,4,97.976,-5.497,0.838,0.79,0.916,Minor
37,2a8xRyALyIiVQkStaEdqBY,Brand Nu,2009,1.08e-05,4,134.029,-5.081,0.794,0.715,0.953,Minor
38,1Gd8OYyhyqA1kOaPrn5x9C,Get a Hold on This - Dr Rubberfunk Remix,2019,7.73e-05,4,100.027,-7.304,0.715,0.765,0.893,Major
39,6GQEpZ7NhflimRnPfflubU,Bass Phenomenon,2006,0.594,4,129.979,-8.699,0.912,0.803,0.285,Major
40,3wJNuYz3p8CJ3iN2xnoHQh,The Turnaround,2002,0.741,4,196.989,-4.127,0.952,0.597,0.944,Major
41,41p24GzfmPdBeblXYymFDn,Calm,2005,0.000215,4,134.986,-6.436,0.903,0.584,0.542,Major
42,2u2pqhM62MjZWeDnHMz41J,Son of Shaft,2014,0.0338,4,119.989,-6.492,0.989,0.686,0.818,Major
43,7DiRZOjVV9Rq9dm7Y5QIgp,Shake What Your Mamma Gave Ya,2003,0.000344,4,145.986,-7.044,0.959,0.692,0.971,Major
44,21PPEGTUhWKlGbMxcf4ywH,Love Somebody,2021,0.046,4,110.915,-5.519,0.919,0.764,0.614,Minor
45,4HkMOgW4TnF8jC2QIHlNJQ,Communication Break-Down,2000,0.0316,4,124.965,-7.335,0.842,0.666,0.456,Major
46,5SP11TaRT8mZ41fIxEaIEX,You're Not From Brighton,1998,0.0574,4,110.005,-9.873,0.878,0.817,0.681,Minor
47,51XN5mJYFcgTvv2pZ9JZ8X,Move Your Body,2016,7.1e-05,4,101.013,-7.418,0.659,0.738,0.899,Major
48,4tbKutO3WSFhNyLaUs3F3s,"If It Ain't Funky Back It Up, Pt. 1",2018,0.000789,4,123.722,-6.89,0.682,0.814,0.914,Minor
49,1qev18TlW5KOrvlvkhWFF6,Squeeze Me,2008,2.75e-05,4,110.029,-4.331,0.903,0.791,0.961,Minor
