,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,15BDY6GKFfk02WaoyytP9g,Liquor & Cigarettes (feat. ArrDee),2023,2.1e-06,4,174.966,-0.17,0.981,0.585,0.606,Major
1,1bDyUuOtKXNAF4WQV6ZH9k,Pray For Me,2024,0.109,4,174.0,-1.11,0.94,0.547,0.338,Minor
2,4YWZse32ILPANRnB9EVyIm,Run (Part 1),2024,0.00486,4,176.688,-1.988,0.915,0.339,0.206,Minor
3,6eWgNJspumvHtUmx8pQlFM,Light It Up,2023,0.0295,4,174.133,-3.823,0.893,0.4,0.166,Minor
4,3119sJaLXEShGT5e8frnMj,Nan Slapper,2023,1.14e-05,4,87.529,-1.759,0.922,0.701,0.585,Minor
5,1WvguFKnrnscdMG0JISkWX,Ice Cold,2024,0.108,4,174.927,-0.2,0.979,0.532,0.482,Major
6,65SsbtgsqPYv1p4Rq93fC9,Chant,2023,0.23,4,174.046,0.774,0.976,0.507,0.209,Major
7,5pDC2piYrsuSIeEqiciB7B,No Warning (feat. Nathan Smoker),2023,0.0163,4,87.555,-2.321,0.927,0.69,0.372,Major
8,7veVv9LcaAbt6DVeHVmjgY,Phantasm,2024,0.836,1,174.024,-1.846,0.93,0.747,0.414,Major
9,6jGU17l4TnPAB3I97tCdD3,Bomb Squad - Bou Remix,2024,0.121,4,174.964,0.429,0.96,0.698,0.604,Major
10,75djESsa5AqCcroqOkkxsv,Relapse,2023,0.203,4,175.129,-2.422,0.913,0.478,0.358,Major
11,77Dn9E3WFNMzZGq7K1J6rR,Don't Stop,2023,0.557,4,175.023,0.95,0.997,0.511,0.15,Major
12,6mViBmPiZS8g5CrzAyA005,Cobra,2023,0.0024,4,172.0,-1.176,0.931,0.602,0.446,Major
13,29F8Xxbq2IVpb7GuyaCiiI,Heaven,2023,0.0434,4,174.92,-2.206,0.959,0.407,0.0877,Minor
14,2hXyNPbdCnQd5ZkHlBJh3k,Dance All Day,2023,0.743,4,174.015,-1.913,0.952,0.573,0.134,Major
15,6rduLWfZ32SDJLco9Pb4jr,Lapse,2024,0.364,3,171.99,-2.706,0.911,0.618,0.428,Major
16,5hcbBprSX4taWpm6DVUuWi,Release Me,2023,0.0343,4,87.023,-1.739,0.968,0.497,0.0958,Major
17,11Gypesywvx4AnUeYxeLaY,MHITR (Semi-Automatic) [feat. Eksman],2023,0.00885,4,87.522,-0.33,0.999,0.769,0.115,Minor
18,6FgthnS6GYgLuELf7uRdDz,Move Your Body - Hedex Remix,2022,0.00131,4,174.973,-1.088,0.894,0.675,0.404,Major
19,5z0pJkbsGf6f95dKzd5OOk,looking 4 me,2023,0.0192,4,159.992,-6.851,0.942,0.681,0.625,Major
20,33VXCIGxpVYgntrRjhCsJo,Lana,2023,0.0569,4,174.158,-2.348,0.889,0.699,0.277,Major
21,08zuBTzQbwfmpLAfuEIV6R,Ghosting Your Love,2023,0.817,4,174.983,-0.533,0.948,0.651,0.669,Minor
22,2yx33cf8wV4gCCVip2vKMo,Elemental,2021,0.00111,4,174.009,-1.554,0.963,0.425,0.233,Major
23,2L1aZnDDgVANTgIKGCI5co,Last Time,2021,0.647,4,174.06,-1.982,0.991,0.528,0.679,Major
24,0XaKIs5sTAhmhUfwsqTKiB,F*ck Jump Up (feat. B Live),2023,0.00224,4,87.488,-3.509,0.641,0.847,0.504,Minor
25,4waq3ATMeZmOaHxHf9vLpp,Complicated,2023,0.13,4,175.003,-2.419,0.963,0.641,0.103,Minor
26,4lI38Kj91ahnFG48FwVSrS,Alarm (feat. MC ID),2023,0.394,4,174.001,-1.461,0.96,0.645,0.243,Major
27,6eCNeilo1YaFuxSWHQYBg9,Absolute,2021,0.0,4,86.986,-5.297,0.683,0.842,0.528,Major
28,13Mgkz3Rk8t1XsMZ6JyIrG,Finesse Riddim,2021,0.0,4,174.915,-5.133,0.848,0.716,0.329,Minor
29,5KATLe2Fizt1tV0qdw3mwh,Waiting For You,2021,0.137,4,173.94,-1.08,0.989,0.486,0.679,Minor
30,7qrr39Qj9OhpT23JTnS0Wd,Warning,2024,0.228,4,175.131,-0.071,0.943,0.592,0.0398,Minor
31,7ub3gsFkHrnkS38HOTyATJ,Mosh Pit,2024,0.00166,4,87.021,-4.069,0.791,0.767,0.228,Major
32,7lXkhek4aKD6v01Rq8fotO,IFTK - Vibe Chemistry Remix,2022,0.00276,4,84.152,-6.043,0.589,0.536,0.252,Minor
33,7ugaJNi3rhiiK9zKLd6l4j,Out & About,2024,4.85e-06,4,86.343,-2.202,0.932,0.441,0.601,Minor
34,0asLTNDnmEXN6h8VMZmY21,No Excuses - Hedex Remix,2022,0.291,4,87.496,-2.838,0.986,0.665,0.356,Minor
35,1kosMJUV7U5Ci2BKPdbeJ4,Playing With Fire (feat. Zac Pajak),2024,0.000187,4,175.111,-2.029,0.958,0.519,0.254,Minor
36,2UUqOLcktNsBYCwwgo47K5,Bass,2024,0.831,4,173.957,-1.301,0.981,0.618,0.214,Minor
37,3C7cOylp1OQNr6Bud2TKlC,Spartanz - Bou Remix,2022,0.397,4,173.98,0.467,0.97,0.748,0.652,Major
38,2EK2hR0X1XYrPnfLCgCIXl,Come Around,2022,0.00439,4,174.015,-1.332,0.961,0.473,0.285,Minor
39,6ZVgnqRsYGRwSYrdmUGkF8,Behemoth,2024,0.0278,4,174.999,-1.042,0.919,0.544,0.244,Major
40,0nkATAigYa0AvFFihj6cb1,Take Me Up,2023,0.247,1,174.006,-2.663,0.975,0.407,0.0565,Minor
41,0rNuA5fTJDDvQ4oa421WM9,Polarity - VIP,2022,0.0571,4,87.582,-0.832,0.956,0.486,0.0351,Major
42,0qmQbxSIt10XDEw90Bqvhx,Tekkers Riddim (feat. Harry Shotta & Mr Traumatik),2020,0.0,4,87.464,-3.815,0.84,0.803,0.597,Major
43,5pg0g6o6ePcRHiQOxgzDMd,Break It Down,2022,0.00488,4,174.92,-0.672,0.988,0.745,0.496,Major
44,6mzDDGA0c1eNIFRqMt6kB1,Nightmares,2021,0.223,4,175.086,-7.895,0.729,0.603,0.15,Minor
45,0m9BpxJvsHlPTyQta201uF,Rampage Anthem VIP,2019,1.22e-06,4,175.037,1.605,0.968,0.588,0.115,Major
46,1siHenGtsl36Q6vs7c20O9,Wild - Disrupta Remix,2024,0.0,4,174.986,-2.681,0.934,0.611,0.331,Minor
47,03F1wRaMhskWtit3JAaxUg,Skillz,2021,0.0,4,87.557,-3.076,0.908,0.719,0.59,Major
48,60IGX6fpv4uZZDcTuJm0IS,OH SHIT,2024,0.00134,4,87.522,0.527,0.98,0.697,0.467,Minor
49,1ExW4pjV1zROf5QveEk64S,Confliction,2022,0.0,4,87.517,-3.292,0.912,0.821,0.507,Major
50,1B1y24UTK05DGz7A4EzgWs,Forever Changes,2023,0.0458,4,86.522,-4.53,0.798,0.388,0.231,Minor
51,2T3fASr8VAc8sCs9A31VUz,Take You Higher,2022,0.244,4,175.035,-1.062,0.96,0.522,0.0986,Major
52,5ArpYtNCWRaGCxFv8xERer,Count To Ten (2024),2024,0.532,4,173.991,-1.54,0.946,0.708,0.623,Major
53,0tpOXOSVJZl20YgoS5DOYa,Lady Petrol,2021,0.877,4,175.027,-1.939,0.922,0.74,0.153,Major
54,6uSlV69MsqwwLKcXy8GaXl,Lightspeed,2021,0.839,4,87.507,-1.29,0.922,0.661,0.368,Minor
