,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,4ch0ejqrSwJrotLroa9mXn,Everybody Loves The Sunshine,2020,0.00991,4,171.855,-4.023,0.865,0.531,0.0919,Minor
1,5TV6RtMqvsna7QejxrT4lL,Everyday,2014,0.0,4,89.004,-0.458,0.955,0.703,0.827,Major
2,23V0dW0HF3Hw49eZklcTy9,Jah Warriors - Benny Page Remix,2013,0.0,4,175.009,-6.526,0.913,0.49,0.502,Major
3,39ceMLTkWpyHINtcqQaE5Y,Who Knows (feat. Chronixx) - SHY FX Remix,2016,9.29e-05,4,87.012,-5.581,0.821,0.718,0.653,Minor
4,4O1ZuUIFP0HJcGXtpoYg8U,Killing Moon (Akuma Stage),1999,0.932,4,164.899,-11.268,0.608,0.324,0.695,Major
5,2Fn1fXkRt03hV7uhrKfLh2,Little Things - Nia Archives Remix,2023,0.0257,4,165.09,-3.518,0.997,0.647,0.675,Major
6,5L3o8IfmlLhxGcSnXQIHcz,Hometown Glory - High Contrast Remix,2008,0.175,4,173.021,-6.306,0.861,0.529,0.116,Minor
7,0PjXRi6lYapTH4BXl8xNlU,JUNGLE TEKNAH,2021,0.805,4,159.951,-7.65,0.952,0.61,0.268,Minor
8,6c21bVRfGC8IOXvQVQ2UTb,Forbidden Feelingz,2024,0.157,5,108.982,-7.364,0.796,0.512,0.551,Minor
9,3urYUGRvToBI4u87OzsSMZ,beachin,2022,0.0011,4,87.01,-9.664,0.637,0.666,0.841,Minor
10,5k3jdIh7BpJaV1DntDQoSD,No Problem,2011,0.102,4,174.978,-5.522,0.948,0.555,0.505,Major
11,3Oww84xrmgjyr5J1ilOmAf,Down Under (feat. Colin Hay),2021,0.000828,4,171.835,-4.111,0.86,0.308,0.0387,Minor
12,7bqeljXk9u0a609fqLxVGS,Mad in the Jungle,2018,9.88e-05,4,173.989,-3.215,0.939,0.487,0.483,Major
13,7aoHi8U1sFJIWUReY8vphS,UK Allstars - Congo Natty Meets Benny Page Mix,2013,4.68e-06,4,177.906,-5.495,0.934,0.553,0.505,Minor
14,6mXSHLWkkUCOBQ80gJNcpa,Champagne Body,1993,0.0,4,97.938,-11.407,0.758,0.876,0.792,Major
15,7aMmnUhaQdRmBoV2pC17GK,Limb By Limb - DJ SS Remix,1995,0.123,4,174.782,-10.089,0.825,0.715,0.959,Minor
16,4hqz3JnM6VK1fPlVFZoYn8,Trouble (feat. MC Spyder),2015,0.491,4,128.004,-1.615,0.983,0.717,0.077,Minor
17,1KTObLMW9mwk2iPjP3daHb,Jungle,2017,0.000103,4,146.039,-5.879,0.701,0.591,0.509,Minor
18,290xSzR8Ee9fm82poMg4od,Used to Be in Love,2017,0.0359,4,128.013,-5.238,0.631,0.83,0.877,Minor
19,4m3WUb2XPPaVgLBUc5SsNJ,Code Red,1994,0.00168,4,165.792,-10.479,0.794,0.655,0.574,Major
20,2bQ7sdGCOCoP4OTCdHPKFM,soft spot,2022,0.0242,4,169.913,-7.836,0.664,0.649,0.442,Major
21,2HOMVMnOukowkziBJZyf7o,Time,2011,0.000871,4,139.946,-5.529,0.919,0.531,0.423,Minor
22,6zSwrDHGUThGJPCRj3OsAy,People is Massive,2022,0.0,4,169.89,-8.06,0.842,0.519,0.366,Minor
23,78xpS4YkGDgV2FijITX4Bo,Pachamama - Disrupta Remix,2024,0.00458,4,171.891,-0.858,0.946,0.454,0.323,Minor
24,2Rm2gGOMLJo4b6ae73KOHZ,UK Allstars - Congo Natty Meets Benny Page - Radio Edit,2013,1.7e-06,4,177.972,-5.131,0.944,0.537,0.516,Minor
25,1bqKID4CLYP2wyBkUgqcp2,Shake Ur Body - Original Mix,2005,0.0028,4,175.027,-5.907,0.871,0.571,0.371,Minor
26,5UeLuozsBQbBj1MmB6joHz,Turn Down the Lights,2014,0.299,4,174.934,-4.697,0.973,0.632,0.379,Minor
27,5AnB4KkqteYYNvDYJijPfn,Ready or Not,2016,0.282,4,169.48,-10.835,0.634,0.649,0.83,Minor
28,1aBuLJB8U50dTPHlMqdiQt,Mutant Jazz,1995,0.66,4,167.816,-9.276,0.704,0.63,0.901,Minor
29,06tTkvSWZkBEdvq2zceVrq,Gold Dust - SHY FX Re-Edit,2010,0.000674,4,177.017,-3.44,0.932,0.62,0.556,Major
30,0fTHMT2hHppGd9Qer2yb3V,Code Red - 94 Remix,1994,0.00349,4,165.903,-8.397,0.93,0.654,0.65,Major
31,0c6XBVz2evmzERhch4Diew,Oh My (feat. Moby),2023,6.76e-05,4,171.966,-5.223,0.902,0.445,0.439,Minor
32,64I0O6ZipYryKte1cHA2EY,End Credits,2011,0.0124,3,116.72,-4.808,0.781,0.324,0.0779,Minor
33,6ubaO4iPmPCrtSsMkfmw9v,Feelings,2014,0.0172,4,177.917,-2.448,0.953,0.595,0.461,Minor
