,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2HeZAibjvsOBoQ9Q2rg63o,Let Me Breathe,2005,0.789,4,135.007,-5.852,0.963,0.509,0.667,Major
1,1XsImxgnz5wplwaz3aGEjm,The Funk Hits the Fan,2003,0.341,4,132.048,-5.522,0.978,0.724,0.72,Major
2,0hjqFTdOqfZDKtg73iGcwy,Nervous Tics - Maceo Plex Remix [Edit],2019,0.739,4,128.002,-6.808,0.889,0.67,0.631,Minor
3,5wzLfkyM7WWE1swiF2uYN7,Cous Cous - Royale Mix,2012,0.805,4,131.971,-6.952,0.83,0.75,0.617,Major
4,6GQEpZ7NhflimRnPfflubU,Bass Phenomenon,2006,0.594,4,129.979,-8.699,0.912,0.803,0.285,Major
5,6PhGRVTOvHZlPrtHYAqRj0,Soul Roll,2006,0.552,4,135.005,-6.003,0.892,0.72,0.78,Major
6,1YrVjZXymGyyijyPFrXjxT,Dooms Night (Stanton Warriors Vocal Mix),2000,0.078,4,129.996,-8.124,0.807,0.874,0.41,Major
7,7e53uVDK5HxPSdyfeEvYF7,The Machine,2007,0.9,4,135.008,-8.464,0.917,0.667,0.306,Major
8,0zXnEX992OLnGFbk1Xjv4D,The Sound - Blapps Posse Remix,2014,0.889,4,128.001,-5.554,0.904,0.743,0.112,Minor
9,0uGziBDjeWrT42RK29cz73,Be Happy - VIP,2019,0.000978,4,122.994,-2.872,0.983,0.59,0.902,Minor
10,6K87YSk3Ut5Qqx9Aqaagut,Chella Ride - EP Version,2013,0.529,4,129.977,-3.682,0.948,0.607,0.312,Major
11,6fjeXw8v1Njot1BsuLb9La,Ten Miles Back,2001,0.842,4,120.011,-5.456,0.829,0.586,0.177,Minor
12,2KuHji0x6GoA9Ho3DFAzJC,The Gate,2003,0.883,4,132.052,-6.776,0.995,0.75,0.716,Major
13,0zhNAy3y8asBXpKaAJhrH6,Space Buggy - Beta Remix,2011,0.793,4,130.003,-6.438,0.902,0.673,0.12,Major
14,41p24GzfmPdBeblXYymFDn,Calm,2005,0.000215,4,134.986,-6.436,0.903,0.584,0.542,Major
15,0gEPi0bDiWbRtrxjMWxqBY,Basketball Jam,2006,0.73,4,134.97,-5.461,0.964,0.775,0.551,Minor
16,5Gi7sxTcMWXlQ3uCysK7dE,Crazy,2018,0.0438,4,127.003,-5.33,0.941,0.665,0.144,Major
17,7iOsoCj70ZNctGaXNpXFbq,Black Widow (feat. Uberzone) - Original,2001,0.826,4,131.977,-7.115,0.979,0.782,0.363,Major
18,3zGnVbra5L8whlsYn4J5Kg,Dynamite,2010,0.615,4,124.971,-5.57,0.708,0.87,0.812,Major
19,3sR4m7aR5zxendIxV53Thl,Girls,2004,0.432,4,124.701,-4.737,0.961,0.663,0.537,Minor
20,1HudlLpSCnRGBFagqm9KK9,For Eternity - Radio Edit,2012,5.81e-05,4,128.015,-5.83,0.835,0.566,0.771,Minor
21,6OqzMiYzc0GBePcOSSL2AC,Masquerade (Radio Mix),2012,0.398,4,132.894,-5.937,0.823,0.832,0.949,Major
22,3Fz4TM5bXEG08vCGQnCXjP,The One,2015,0.0927,4,127.951,-3.972,0.956,0.612,0.514,Minor
23,62nVtq9BCA826dZAjWrUii,Rocket Soul,2004,0.836,4,133.988,-2.921,0.967,0.661,0.554,Major
24,2TojuOnSTbgY0OR3p0UuOy,Into The Night - Nero 1988 Remix,2015,2.52e-05,4,111.995,-5.966,0.722,0.733,0.333,Major
25,1m55cviCZJnlPntvs7fdbw,My Style,2005,0.00967,4,134.984,-6.187,0.971,0.615,0.405,Major
26,43qC4knn2HqHPHoz3N6Fb3,Dynamite Love Vs Freestlers (Feat. Dynamite MC),2008,5.4e-06,4,135.03,-11.654,0.769,0.645,0.91,Major
27,3EKRA34PhVmkAvzfgDeSEc,Bounce! - Burgs & Reecey Boi Remix,2013,0.0256,4,127.988,-3.614,0.819,0.905,0.518,Major
28,1eh0oSDXmfG6XZCy0fAy12,Murder - Koma & Bones Mix,2001,0.815,4,135.988,-8.446,0.696,0.663,0.32,Major
29,5CLrZIcDvgzm2VIHSfdwrE,Shifting Gears,2004,0.000237,4,123.031,-4.172,0.962,0.706,0.791,Major
30,0oQhBtAnPNTrazgJWKABxH,Backbreaker,2005,0.828,4,132.984,-6.93,0.989,0.667,0.329,Major
31,6TzYMmTsjyTIf1cSSuOcAw,Stiletto,2005,0.878,4,128.009,-7.136,0.893,0.661,0.339,Minor
32,5ETOLMoWgwVE0Wlux8DGhO,Rogue Rock,2005,0.523,4,133.014,-6.563,0.88,0.58,0.38,Major
