,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,56UNoQz1kXeBZeqmQbFpYe,Body Groove - Mix Mc Version,2000,5.59e-06,4,132.955,-7.911,0.707,0.872,0.92,Major
1,0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,1994,5.84e-06,4,99.942,-11.124,0.614,0.736,0.858,Major
2,73CRQe51UEpa3B6ZG7QEsl,Erase Me,2022,0.0124,4,132.033,-3.798,0.899,0.633,0.485,Minor
3,2Np6ZbVFXfhlk3Oin6i92t,Flowers - Sunship Edit,2001,0.00547,4,131.861,-5.263,0.965,0.746,0.915,Minor
4,023lag1AgeOf7YChojecRu,Gotta Get Thru This - D'N'D Radio Edit,2002,0.000122,4,133.592,-5.076,0.764,0.838,0.924,Minor
5,4TJUS843fKiqqIzycM74Oy,Should've Been A Cowboy,1993,1.49e-06,4,133.439,-7.92,0.672,0.618,0.705,Major
6,52erNkfUKv34u02CjcHOPj,If I Didn't Have You,2015,0.0,4,172.498,-10.919,0.578,0.674,0.961,Major
7,3ZdAwMX7Lku81KGiqsjDeA,"Drink, Swear, Steal & Lie",1997,0.0,4,103.36,-7.223,0.697,0.672,0.757,Major
8,2zNuaa0jBttcqSeURO6Odt,Unbelievable,1998,0.0,3,158.112,-7.586,0.596,0.765,0.941,Major
9,1mICUTQCbRkAvGmO0cwoAz,Blame It on Your Heart,1993,0.0,4,149.522,-7.739,0.808,0.624,0.88,Major
10,5q1hpdlf8ncJUhKLyjHoHB,Sunshine - Wookie Main Mix,2001,0.53,4,137.167,-7.651,0.866,0.774,0.814,Major
11,0gY2iq0xJPRoIB1PScKSw4,Honey Bee,2011,1.49e-06,4,205.57,-5.131,0.849,0.481,0.723,Major
12,7k0ahlHosIWblaaIsEqJ8M,She's Like Texas,2010,0.0,4,156.108,-6.906,0.523,0.501,0.24,Major
13,3CNwSTOreOvIasuBpgbQ2l,D.N.R,2021,2.14e-06,4,135.023,-4.831,0.832,0.93,0.807,Major
14,2i9Qj1Gyt8HMcLthS2bASx,Summertime Blues,1992,6.22e-05,4,160.98,-8.719,0.799,0.619,0.968,Major
15,0r8iDf65NHgFgZOGLwj5r8,What Was I Thinkin',2003,6.2e-06,4,164.857,-6.24,0.825,0.551,0.933,Minor
16,4sIrP85JzNsDMAtQmusMWG,Blame It On Texas,1990,0.0,4,155.411,-11.483,0.639,0.512,0.782,Major
17,2WK1v41VpXZ66mUOMpt1nW,We See U,2021,0.222,1,134.21,-4.534,0.942,0.43,0.414,Major
18,5EWFuo4ObEnfndc57sTuIo,White Noise,2013,0.000215,4,119.981,-6.164,0.844,0.664,0.902,Minor
19,5fF9T9SMqBKUvT06cn7kBR,It's That Time,2023,0.859,4,147.023,-6.195,0.965,0.724,0.753,Major
20,7oysiJ2yYjVYzrGSmIEzME,"No Good 4 Me (feat. Megaman, Romeo and Lisa Maffia)",2000,0.0175,4,134.005,-9.041,0.839,0.735,0.815,Minor
21,158v6lUZhHjsogdUtaPpxE,Seoul Sonyo Sound,2023,0.000828,4,130.074,-5.426,0.879,0.691,0.804,Minor
22,39HccIrICWp9EBD8MunAUW,Let's Go to Vegas,1995,0.0,4,176.993,-6.815,0.736,0.587,0.969,Major
23,3VCWhe7AtBrkhour9t6dq6,You,2011,0.0,4,95.031,-5.12,0.708,0.708,0.667,Minor
24,1CxG3QsfkmcUYlxWwvOtz5,I Left Something Turned On At Home,1996,0.00267,4,151.466,-5.29,0.91,0.623,0.929,Major
25,59kHPbwyyCApYA8RQQEuXm,Chattahoochee,1992,0.0,4,174.533,-9.665,0.706,0.606,0.819,Major
26,1fGjIL2Ike4ypLQEQvQUc9,When the Bassline Drops,2016,0.000352,4,132.039,-4.619,0.846,0.754,0.489,Minor
27,59QDyqLww2pxyg9ijOPO7f,Rhyme Dust,2023,0.0271,4,128.034,-8.675,0.561,0.925,0.721,Major
28,4B5svMhrwXaCPl242LnYXN,Taboo (feat. Shola Ama) - MJ Cole Full Vocal Mix,1999,0.00296,4,129.977,-10.796,0.791,0.855,0.875,Major
29,0tWdRXWDUd1gWLthXgk6Dp,All I Want - Sunship Radio Edit,2004,0.00863,4,134.079,-3.07,0.919,0.795,0.96,Minor
30,6xp1u6ZEHXX8DxJIFFrVoP,Little Things x Gypsy Woman - L BEATS MASHUP,2023,6.91e-06,4,126.935,-5.204,0.879,0.644,0.808,Minor
