,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,0QIYINh2AwmOmdu8CRYvlw,Bonfire,2012,0.00345,4,174.031,-3.029,0.944,0.536,0.589,Major
1,1u1Ps262k227FPAm5BVUjd,Kill EVERYBODY,2010,0.00231,4,126.988,-3.336,0.874,0.788,0.629,Major
2,4UZifG6wVTl3dFIeHKLi8y,Promises,2011,0.00452,4,143.933,-4.364,0.943,0.484,0.345,Minor
3,6jNM6fKx3WnyHbWBI9hs2r,Cinema (feat. Gary Go) - Skrillex Remix,2011,0.00783,4,145.077,-3.807,0.983,0.636,0.434,Minor
4,1dlJQt9NLH5iFCIeiVz5lX,Gold (Stupid Love),2018,0.000119,4,145.556,-3.857,0.735,0.363,0.0721,Major
5,4gwF1NiLbZl2uKJDS3AX9O,Beats Knockin (feat. Fly Boi Keno),2015,0.0,4,104.003,-1.981,0.951,0.814,0.264,Major
6,47uhrF6IvyE2eUyyfLAEzf,Katy on a Mission,2011,7.99e-06,4,139.898,-5.211,0.731,0.674,0.507,Major
7,2YrZZsYXNu449o5UhiDDXF,Das Riddim,2019,0.0302,3,104.727,-3.616,0.877,0.595,0.161,Major
8,0xl13eUFdaeRMAFZV0RO8V,KIKO,2015,0.0118,4,110.033,-6.004,0.703,0.472,0.17,Minor
9,4efFlbKkwXq3rrMF5RODaI,Flashing Lights,2011,0.0,4,140.074,-5.139,0.808,0.528,0.272,Minor
10,3RJuptH9QoeJWzHd4ZCI0u,Lullabies - Adventure Club Remix,2014,0.00126,4,159.869,-5.058,0.698,0.403,0.0833,Minor
11,6FDYzyjteGpimiBnO06ikI,Give It Up,2014,0.219,4,174.009,-2.909,0.97,0.553,0.648,Minor
12,6TbYnMMWfdUZXQm6tZ6vib,Rock 'n' Roll (Will Take You to the Mountain),2010,2.05e-05,4,128.064,-1.264,0.971,0.713,0.676,Major
13,3ziKJoRHiJsaoTaeBYCJBA,Doomsday,2011,0.00278,4,120.135,-4.687,0.853,0.33,0.201,Major
14,1ZVi47qX6EmLv3zhLGzoIP,Feel Good,2013,0.000319,4,139.983,-7.263,0.835,0.652,0.232,Minor
15,3LuKDSqL4z1BL8HjSwxh5b,House Party,2021,0.00569,4,75.026,-4.204,0.876,0.726,0.569,Major
16,4XXdQctUlL1FOmHBbdLkIp,Illmerica,2011,0.00519,5,129.031,-4.495,0.718,0.624,0.145,Minor
17,2HJQcyUpmUuvzS5vBAICIc,Working For It,2016,0.0131,4,99.951,-6.587,0.715,0.776,0.502,Minor
18,66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),2015,4.21e-06,4,139.432,-4.038,0.781,0.432,0.197,Minor
19,4ua0IepBEISCWwF8dTJvcU,Ghosts 'n' Stuff,2009,0.0598,4,127.996,-6.941,0.617,0.617,0.517,Major
