,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,24FFOpCA6bc5YoU2F3TKqS,Just For A Moment (feat. Iselin),2019,1.83e-05,4,144.037,-6.343,0.776,0.536,0.414,Minor
1,2tPzQueGEjxjmBvJrYe02u,Lonely (with Chandler Leighton),2019,3.77e-06,4,92.93,-4.63,0.402,0.451,0.129,Major
2,3Dr0xDJwXy6JkiHNJfv5zd,Wish It Was You,2021,0.0,4,124.957,-3.928,0.616,0.644,0.467,Minor
3,1JY6B9ILvmRla2IKKRZvnH,Sad Machine,2014,1.31e-06,4,88.519,-4.902,0.706,0.47,0.327,Minor
4,6oNZ0WxqptE7V0qpjtyJ4a,Falls,2017,0.000123,4,160.928,-6.027,0.696,0.391,0.185,Major
5,5yHvGn616eJSHay3d2SuyR,Better Than Heaven,2020,0.0,4,150.066,-6.112,0.793,0.472,0.181,Minor
6,575ViHchpSUjfTLCQPdE49,Empty,2024,0.000584,4,126.967,-4.018,0.919,0.495,0.141,Minor
7,11BUFxLtMAVUtJaTnNK8Ey,golden hour - ILLENIUM & NURKO Remix,2022,0.0,4,126.003,-4.382,0.771,0.453,0.0754,Minor
8,0vxudxUod8FTiwE6dYohiH,Say It - Illenium Remix,2017,0.00537,4,150.007,-4.469,0.765,0.496,0.424,Major
9,0QUavh8qOxWeGutYZHgymz,Unsure,2024,0.0,4,130.054,-4.891,0.725,0.597,0.623,Minor
10,2U0pVx4m1Kdm1Gsjjm6iq8,Strangers,2014,1.6e-06,4,129.967,-7.429,0.697,0.579,0.49,Minor
11,676eXXtx6I7yxaDfXvMpjK,Bye Bye (feat. Ivy Adara),2019,0.0,4,148.017,-3.601,0.781,0.612,0.54,Major
12,4pioeMejnqa4T3QAEqwVA3,Sad Songs (with Said The Sky & Annika Wells),2019,0.0,4,144.912,-6.291,0.571,0.532,0.475,Major
13,6nbXYLeP21ksEQNFrHl2a2,Drifting Away,2022,0.0,4,127.884,-4.067,0.623,0.543,0.171,Major
14,3D37T7euWvVJ45evRmriIh,Better With You,2019,6.92e-05,4,102.043,-4.872,0.752,0.571,0.25,Major
15,3ssJPgwPQYRRmQMvJV2hJH,Die For You,2018,0.07,4,74.978,-0.763,0.889,0.15,0.361,Minor
16,5ZnOG96081GKWdYzICCzIu,The Thrill - Porter Robinson Remix,2015,0.000212,4,79.982,-5.394,0.38,0.469,0.302,Minor
17,31ZO9XuKt48Qb2eUTBynd2,Carry You,2024,0.0,4,126.992,-5.608,0.737,0.505,0.352,Minor
18,2WWfjbHALIb3e7FMcj9mr4,Line Of Sight,2017,0.00139,4,180.23,-6.357,0.728,0.408,0.169,Major
19,3RJuptH9QoeJWzHd4ZCI0u,Lullabies - Adventure Club Remix,2014,0.00126,4,159.869,-5.058,0.698,0.403,0.0833,Minor
20,16akrYX3LKYx7b9aPGDiMd,Nothing For Free,2021,0.00317,4,160.071,-4.759,0.92,0.469,0.787,Minor
21,46F2qArLwz8WT1qJ2bNRfR,Youth - Adventure Club Remix,2013,0.000492,4,139.98,-6.631,0.55,0.53,0.208,Minor
22,17ejRbr6B8l9zdqgCZsn4m,Nobody Compares To You (feat. Katie Pearlman),2019,0.0,4,104.911,-4.735,0.764,0.59,0.331,Major
23,17Efhyf4A96n0EFXKeB7Ya,Crashing (feat. Bahari),2019,0.0,4,95.995,-6.138,0.681,0.582,0.273,Major
24,3ZoLqdyYnMNIYi4iMTD17u,21,2024,0.0,4,144.025,-4.907,0.72,0.478,0.312,Minor
25,786ymAh5BmHoIpvjyrvjXk,Goodbye To A World,2014,0.109,3,95.979,-7.194,0.35,0.444,0.0973,Major
26,1dlJQt9NLH5iFCIeiVz5lX,Gold (Stupid Love),2018,0.000119,4,145.556,-3.857,0.735,0.363,0.0721,Major
27,1TFC1wutiIHQQ9buf8bxQI,Better Apart (feat. Dresage),2019,5.36e-05,4,149.974,-4.564,0.702,0.49,0.259,Minor
28,4s5kizLw0McJRd4rBG06B4,Wherever You Are,2024,0.0,4,127.014,-5.865,0.632,0.545,0.297,Major
29,59wlTaYOL5tDUgXnbBQ3my,A Moment Apart,2017,0.693,4,119.988,-7.903,0.665,0.406,0.0758,Minor
30,2qlo9lm8HSqy7T2dxiOZY6,Crystallize,2012,0.0702,4,140.025,-8.214,0.622,0.438,0.061,Major
31,2AygMLiFGcIqJ5IZH3pOQV,You Got To Go - Seven Lions Remix,2012,2.63e-06,4,140.037,-6.297,0.752,0.477,0.138,Minor
32,5poevcmYCOZ8uZQnUuOPxC,Always,2017,0.0,4,173.846,-5.761,0.612,0.491,0.279,Major
33,4TIkSdsNSfqpuq6ZYvCjAz,All You Need To Know (feat. Calle Lehmann),2019,0.0,4,139.929,-6.019,0.729,0.53,0.219,Major
34,61sor95BL63MCvZYgKK8KM,Pray (feat. Kameron),2019,1.46e-05,4,145.919,-4.049,0.694,0.487,0.287,Minor
35,07FMnItEdDXZ2WAgNR9n6a,Would You Even Know,2023,0.0,4,95.924,-2.514,0.804,0.505,0.253,Major
