,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,7oysiJ2yYjVYzrGSmIEzME,"No Good 4 Me (feat. Megaman, Romeo and Lisa Maffia)",2000,0.0175,4,134.005,-9.041,0.839,0.735,0.815,Minor
1,4TY2rJmQO2z0GwJna0kbTA,Just In Case - Dub-A-Holics Roller's Revival Mix Edit,2019,0.00264,4,133.006,-8.334,0.7,0.683,0.766,Minor
2,4ht8o7Y7ThWfIwl9XfKrj9,Lately,2018,0.477,4,142.015,-8.813,0.574,0.696,0.899,Major
3,5bdqJdmCvdzYDojfA5BSR3,P.S (Burga Boy Mix),2009,0.000222,4,140.008,-4.541,0.849,0.762,0.694,Major
4,56UNoQz1kXeBZeqmQbFpYe,Body Groove - Mix Mc Version,2000,5.59e-06,4,132.955,-7.911,0.707,0.872,0.92,Major
5,2Np6ZbVFXfhlk3Oin6i92t,Flowers - Sunship Edit,2001,0.00547,4,131.861,-5.263,0.965,0.746,0.915,Minor
6,5q1hpdlf8ncJUhKLyjHoHB,Sunshine - Wookie Main Mix,2001,0.53,4,137.167,-7.651,0.866,0.774,0.814,Major
7,20t3pWQ6aB5YyloO6RDcBT,Last One - Radio Edit,2023,0.247,4,129.111,-9.109,0.588,0.692,0.489,Major
8,5vFzo22CEKiz3wLkkp6CRk,U & I - Virgo Remix,2018,0.152,4,137.018,-6.588,0.752,0.778,0.713,Minor
9,0tWdRXWDUd1gWLthXgk6Dp,All I Want - Sunship Radio Edit,2004,0.00863,4,134.079,-3.07,0.919,0.795,0.96,Minor
10,43wPkKQ5SB5xAVCPTjX6Iq,Suzanne's Groove,2023,0.598,4,130.031,-8.093,0.716,0.739,0.336,Minor
11,4UYrVcOhdVQ2L0ZwYliXNH,Bound 4 da Reload - Casualty,2000,0.114,4,133.166,-6.598,0.938,0.852,0.758,Major
12,023lag1AgeOf7YChojecRu,Gotta Get Thru This - D'N'D Radio Edit,2002,0.000122,4,133.592,-5.076,0.764,0.838,0.924,Minor
13,2NdCMXN5d7zVIwgaARacmy,Don't Hurt Me,2023,0.0975,4,133.995,-6.846,0.963,0.594,0.862,Major
14,7h3NIIz8I6boBSTDAIBSD9,Runaway - TRC Remix,2018,0.0346,4,143.019,-8.187,0.504,0.705,0.531,Minor
15,1yclhzJfclEDk1gEpey3qE,Fuck Me Pumps - MJ Cole Remix,2003,0.000922,4,132.068,-7.355,0.918,0.856,0.768,Major
16,3X3Grn6VFw7VBpQ3Lz9eM2,Want Love,2022,0.793,4,127.943,-8.265,0.943,0.755,0.876,Major
17,5NUCLEAAQKkP3OoCt19jrK,Crush,2023,2.12e-05,4,130.12,-6.711,0.821,0.792,0.95,Minor
18,2WUfAzFxTEKzLwOlAkH73k,I'm Leaving Remix,2018,0.0,4,138.052,-6.674,0.582,0.829,0.795,Major
19,3NBzLCAP9CagVDIuZz33Gu,Dominator,2023,0.0369,4,132.003,-3.138,0.993,0.682,0.964,Major
20,4bMQyPA5ehOOwqHH39ZDG4,Thong Song - Artful Dodger Remix,1999,0.00029,4,133.978,-5.387,0.753,0.78,0.966,Minor
21,1II9AzqnbWYXiSiPZnNV8O,Drop the Bomb,2018,0.0,4,138.086,-5.826,0.831,0.73,0.878,Minor
22,4B5svMhrwXaCPl242LnYXN,Taboo (feat. Shola Ama) - MJ Cole Full Vocal Mix,1999,0.00296,4,129.977,-10.796,0.791,0.855,0.875,Major
23,74y9q95NblVSvnurtU62WR,All Over This Party - salute Remix,2022,0.701,4,134.013,-7.012,0.756,0.793,0.788,Minor
24,1NKimrpZUVYV4i05sYUmNg,Its Over Now - Main Mix,2005,0.000161,4,135.0,-8.448,0.959,0.794,0.782,Major
25,2W5ERTPofQ8wVrkljfqe98,Body Pump - Sammy Virji Remix,2020,0.603,4,130.018,-7.158,0.908,0.923,0.964,Major
26,6ztI9zfPNMhocBJcXbeEqt,Honey,2024,0.836,4,135.994,-5.855,0.831,0.804,0.397,Major
27,6QpiBpYwFtR4M6QEG7XLXn,Spin Spin Sugar - Armand's Dark Garage Mix,1998,0.308,4,129.012,-4.812,0.959,0.737,0.531,Major
28,0dAn58pe2GWDTlqa2Th4mP,Babycakes,2004,3.33e-06,4,137.944,-6.858,0.719,0.817,0.838,Major
29,3adlYoDVaJwbEXUNwWgYMG,Wobbler Part 3,2018,0.0,4,139.768,-7.696,0.7,0.615,0.881,Minor
