,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,0dAn58pe2GWDTlqa2Th4mP,Babycakes,2004,3.33e-06,4,137.944,-6.858,0.719,0.817,0.838,Major
1,4UYrVcOhdVQ2L0ZwYliXNH,Bound 4 da Reload - Casualty,2000,0.114,4,133.166,-6.598,0.938,0.852,0.758,Major
2,2W5ERTPofQ8wVrkljfqe98,Body Pump - Sammy Virji Remix,2020,0.603,4,130.018,-7.158,0.908,0.923,0.964,Major
3,5NUCLEAAQKkP3OoCt19jrK,Crush,2023,2.12e-05,4,130.12,-6.711,0.821,0.792,0.95,Minor
4,56UNoQz1kXeBZeqmQbFpYe,Body Groove - Mix Mc Version,2000,5.59e-06,4,132.955,-7.911,0.707,0.872,0.92,Major
5,1yclhzJfclEDk1gEpey3qE,Fuck Me Pumps - MJ Cole Remix,2003,0.000922,4,132.068,-7.355,0.918,0.856,0.768,Major
6,1fGjIL2Ike4ypLQEQvQUc9,When the Bassline Drops,2016,0.000352,4,132.039,-4.619,0.846,0.754,0.489,Minor
7,55jxzrIhEupVy1l6RDJaO5,You & Me,2013,0.174,4,130.006,-4.104,0.875,0.743,0.692,Minor
8,5liQj4sVRmEEESvvcb64o8,Wearing My Rolex - Radio Edit,2008,0.000482,4,131.942,-6.884,0.716,0.876,0.755,Major
9,023lag1AgeOf7YChojecRu,Gotta Get Thru This - D'N'D Radio Edit,2002,0.000122,4,133.592,-5.076,0.764,0.838,0.924,Minor
10,4F53yuj2CawwIGo0D2gDj8,The Way Things Were - Joe Hertz Remix,2024,0.000344,4,126.013,-7.268,0.708,0.865,0.746,Minor
11,0tWdRXWDUd1gWLthXgk6Dp,All I Want - Sunship Radio Edit,2004,0.00863,4,134.079,-3.07,0.919,0.795,0.96,Minor
12,7oysiJ2yYjVYzrGSmIEzME,"No Good 4 Me (feat. Megaman, Romeo and Lisa Maffia)",2000,0.0175,4,134.005,-9.041,0.839,0.735,0.815,Minor
13,7FNcb05eBgScWaEEvJRKiw,Lights On (feat. Ms Dynamite) - Single Mix,2011,0.0,4,127.983,-3.759,0.858,0.852,0.824,Minor
14,3ephDj6oyipEAQqoQk9uZb,Love (Goodbyes Reprise) - Conducta Remix,2019,0.167,4,123.984,-11.329,0.553,0.874,0.621,Minor
15,4xr4YruIAUzVZ4vrurqHYB,LEFT TO RIGHT (33 Below Remix),2023,0.118,4,136.025,-3.813,0.949,0.791,0.63,Major
16,0K2PQziTagDXHiCFPqoE82,JOY (Back On 74),2023,0.499,4,136.98,-8.113,0.826,0.72,0.498,Minor
17,2ZdBKCs47s8LxMUPU499vc,Clint Eastwood - Ed Case / Sweetie Irie Refix,2001,0.000253,4,131.908,-4.802,0.711,0.82,0.905,Major
18,5EWFuo4ObEnfndc57sTuIo,White Noise,2013,0.000215,4,119.981,-6.164,0.844,0.664,0.902,Minor
19,3urYUGRvToBI4u87OzsSMZ,beachin,2022,0.0011,4,87.01,-9.664,0.637,0.666,0.841,Minor
20,0RwSkUIgsowQ6MU1NNVSA7,Together,2012,0.854,4,139.726,-5.747,0.822,0.556,0.808,Major
21,6QpiBpYwFtR4M6QEG7XLXn,Spin Spin Sugar - Armand's Dark Garage Mix,1998,0.308,4,129.012,-4.812,0.959,0.737,0.531,Major
22,54KCXjzkieeuv6L0fzL0CG,Migraine Skank - Main Mix,2009,1.52e-06,5,166.692,-5.63,0.766,0.435,0.663,Minor
23,74y9q95NblVSvnurtU62WR,All Over This Party - salute Remix,2022,0.701,4,134.013,-7.012,0.756,0.793,0.788,Minor
24,7I63krPum3VHEKQYk4SsE9,Has It Come to This?,2002,0.0,4,130.017,-4.795,0.841,0.702,0.882,Minor
25,6EhN3DxLOZl1KzeYy3bMsl,Up Middle Finger,2000,0.00383,4,134.006,-9.522,0.676,0.811,0.425,Major
26,6ztI9zfPNMhocBJcXbeEqt,Honey,2024,0.836,4,135.994,-5.855,0.831,0.804,0.397,Major
