,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5liQj4sVRmEEESvvcb64o8,Wearing My Rolex - Radio Edit,2008,0.000482,4,131.942,-6.884,0.716,0.876,0.755,Major
1,4WYRFY0yFa2s1WeX0w84z6,Gun Lean,2018,1.09e-05,4,139.962,-8.87,0.679,0.901,0.72,Major
2,2jjsIpj4OG68TpojNlZcE6,Flowers (Say My Name),2022,0.0,4,143.052,-6.879,0.713,0.723,0.803,Minor
3,3zHDEq168So8DGWNZG9uvT,POW 2011 - Original Edit,2011,0.0,4,140.122,-3.622,0.915,0.457,0.422,Minor
4,2DfRgLfkNb8nU1wMcMK0fD,She's A 10 But...,2022,0.0,5,140.044,-10.902,0.366,0.929,0.888,Minor
5,4P8dRfSz0LBgyWfjod6v3J,Shut Up,2017,0.0,4,74.456,-3.973,0.823,0.469,0.946,Major
6,6MTWym8B2gGMb9qtZsrVEu,Jungle,2010,0.0,4,72.776,-5.115,0.901,0.476,0.397,Minor
7,2wVKfgW9jK2cHBEq2q6bpQ,Can’t Feel My Face,2022,0.0,4,144.012,-8.807,0.559,0.62,0.325,Minor
8,4wHkV6OpCanrNg2PRNhWjM,Baby (feat. Ashanti),2022,0.0,4,103.836,-8.069,0.813,0.752,0.559,Minor
9,35M4cbE6QoUF5b3SlOR9GS,Hard,2010,0.0,4,139.802,-6.192,0.676,0.602,0.125,Major
10,4DIBmvk0dnu9M3TAQxNtMx,London City,2010,9.84e-06,4,139.719,-5.065,0.903,0.512,0.389,Minor
11,63bsPe8aayiERVIgTV9EBS,Heatwave (feat. Ms. D),2013,0.0,4,129.275,-5.404,0.863,0.644,0.642,Major
12,5wIjM4q7oIgiLqn8Qfoyxh,Keisha & Becky - Remix,2019,0.0,4,140.969,-9.545,0.471,0.863,0.644,Major
13,0kOx8xSNt75Kzdzb41TpyG,That's Not Me - Remix,2014,0.0,4,139.007,-2.174,0.951,0.777,0.773,Major
14,7oFQIrkxp7OPe8lS9WgwtZ,Ask Flipz,2017,0.0267,4,136.973,-6.551,0.712,0.808,0.592,Minor
15,1MChJEwnf4stDJpmo638r5,Night Away (Dance) (feat. Tion Wayne),2022,0.0,4,142.077,-9.466,0.551,0.722,0.836,Minor
16,1iyHmWrxqIny9qHoa9968V,Funny - London Bars Vol. I,2015,1.67e-06,4,139.962,-6.678,0.655,0.821,0.683,Major
17,5Z1EX2sRJk1e8tQofsFnVW,100M's,2017,0.0,4,147.081,-6.709,0.73,0.704,0.753,Minor
18,1GljONHNvhA1lVr9jmTVkd,Thrill,2022,0.000206,4,141.042,-11.39,0.468,0.765,0.447,Minor
19,26MSYS2FTeimd4lbXG48ji,Meant To Be,2024,0.0,4,141.995,-5.215,0.694,0.745,0.649,Minor
20,4kqaKtLcoUXQhlapdJAvBC,Waps,2017,0.0185,4,133.933,-9.147,0.732,0.638,0.393,Major
21,3OXDXFNsmCCKx7YZk2Emi9,Pump 101,2022,0.0,4,99.192,-6.782,0.704,0.518,0.702,Major
22,0RwSkUIgsowQ6MU1NNVSA7,Together,2012,0.854,4,139.726,-5.747,0.822,0.556,0.808,Major
23,5tcyPxd27DWYW3FRSPFddH,When I'm 'Ere,2005,0.0,4,137.105,-3.304,0.922,0.554,0.678,Minor
24,38QySjPydNYNOXfsKJDw3f,Doin' It Again,2011,0.0,4,128.041,-6.037,0.852,0.759,0.389,Minor
25,6CTrCqvZzjFj7PqEZM0Vjd,Love Is A Gamble (feat. Kida Kudz),2020,1.09e-06,4,106.007,-5.388,0.614,0.838,0.476,Major
26,3AzPJhlOL94UGoF6PM75q0,I Swear,2008,0.0,4,97.424,-4.855,0.724,0.451,0.725,Minor
27,46pZkfJiFbBOmtaEb0quym,Freak Of The Week,2015,0.0,4,95.028,-6.893,0.569,0.753,0.49,Minor
28,0UYKSIjIUiO1T3BBuCeTVF,Question Time,2017,1.57e-05,4,93.129,-7.316,0.69,0.655,0.309,Major
29,15KC3dbhLApMz6YnuT3gjn,P's and Q's,2005,0.000235,5,84.458,-6.625,0.779,0.468,0.735,Minor
30,5HeJByGM7j6zu77LnD6VqV,War,2022,0.0,4,142.099,-5.638,0.794,0.754,0.853,Major
31,3etxao6xSDEqllkBjMtbhu,Lets Lurk,2016,0.0183,4,135.07,-6.369,0.77,0.707,0.616,Major
32,79MeA7V0mJxfl8N0xi15zL,Bad Luck,2020,7.32e-06,4,118.103,-10.016,0.523,0.969,0.735,Minor
33,5EFJeiRZ0jkxau2EBDWpbW,Still Speedin’ - Radio Edit,2011,9.32e-05,4,139.991,-3.836,0.958,0.558,0.466,Major
34,6sFgkTRDX7sAD8u0l2Fvzm,Heat Up,2005,0.0,4,138.083,-7.563,0.607,0.819,0.788,Major
35,3YI1vkcbfXZRvOJK3GHc0d,Monster,2010,0.0,4,127.963,-3.676,0.943,0.674,0.466,Minor
36,0UZvF6KJhjpUawO1ifNvF4,Forefather,2013,0.000149,4,139.982,-5.09,0.826,0.618,0.268,Major
37,5VSr6oJo1R47b8ogp1ps2K,Functions On the Low,2012,0.147,4,139.961,-7.709,0.649,0.737,0.579,Minor
38,6i8w8Zdud22ehgJrrzqIVi,"Can You Hear Me? (ayayaya) (feat. Skepta, JME & Ms D)",2013,5.11e-05,4,129.978,-3.376,0.931,0.755,0.742,Minor
39,0VcgLoEMA06AKqPxxj2YQs,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],2021,0.0,4,140.042,-6.238,0.818,0.726,0.679,Minor
40,4qKH52mSWmYVA65DWsYRdh,Wasted,2022,0.0,4,143.0,-10.844,0.666,0.763,0.69,Minor
41,6ROFzwu3tbB6mxpW9Gt1YU,Oliver Twist,2022,0.0,4,140.045,-4.332,0.807,0.725,0.848,Major
42,09xfX1ythe7aA0QAgaDpXf,Liar Liar,2016,0.0,5,133.149,-5.467,0.644,0.757,0.755,Minor
43,5Yto0m8wbJ3vKLxO0SjEZb,Heavy,2011,0.0,4,139.874,-5.622,0.813,0.679,0.695,Major
44,0mFrbJniEwJcqzq3FQD14s,Keisha & Becky - Russ splash x Tion Wayne,2019,0.0,4,141.042,-10.843,0.443,0.875,0.717,Major
45,6MmcXmpXBeqY640DLNHPKW,Good Times - Radio Edit,2010,0.0,4,124.983,-3.84,0.85,0.65,0.566,Major
46,2H3k1TAcWxtdLJ3wSOQng9,Mr Sheeen - Digga D x Russ Millions,2019,0.0,4,139.173,-7.141,0.647,0.914,0.836,Major
47,6GkFcz1YNlGwDVyGSgwp3k,Come & Go,2022,0.0,4,142.852,-5.304,0.715,0.671,0.568,Major
48,0H9WQbyHO5FHchgtADVf4R,The Avenue,2005,0.0,4,125.443,-2.593,0.942,0.54,0.659,Major
