,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,7MKJFytxP7j6jEmD7ZGTtd,Darkness Incarnate,2013,0.406,4,169.017,-1.944,0.999,0.439,0.0318,Major
1,1TBG2qCQa6yNyQZNdG0GuL,Evil Blood (Fiend & Delta 9 Remix),2012,0.627,4,175.055,-0.674,0.978,0.386,0.0731,Major
2,4HFFXwBQHApJobnY1FzED8,That Vibe,2019,9.35e-05,4,118.095,-4.958,0.814,0.442,0.52,Major
3,1yfaq1QFeyjqYJ46A023bA,Drink More,2004,0.000644,4,151.971,-2.477,0.844,0.489,0.344,Minor
4,5RJM51tSxegjcydI8gSaUv,Industrial Base (Ophidian Remix),2012,0.804,4,167.978,-1.154,1.0,0.447,0.0528,Major
5,2qeaH0bAZdq5nDpU7oaLNz,Beat Conductor,2009,0.712,4,74.986,-4.896,0.956,0.618,0.152,Minor
6,5AOwSvtpI0jkrXT3xpq2gY,Life of Meaning,2013,0.000104,4,175.078,-3.317,0.99,0.311,0.0724,Minor
7,3o6smJPbg0PVmG1HXWrqg1,Creating the Future,2013,0.324,4,167.967,-3.948,0.995,0.397,0.0397,Minor
8,4Vu8VBI6nmpNfBMEHfUSji,Illusions,2013,0.0191,4,168.048,-4.926,0.993,0.231,0.0393,Minor
9,5djhWOOS6Jh1xBHvmtzGyS,Some Pussy,2004,0.852,4,159.978,-2.837,0.998,0.411,0.0347,Major
10,0GH79VA5yOomGT9dF8g6jl,Inception by Sound VIP,2013,0.491,4,174.986,-4.099,0.954,0.391,0.0702,Minor
11,5hBCLFBtEovy4wPJSVQjpQ,Spoken,2013,0.195,4,165.068,-1.936,0.989,0.494,0.272,Major
12,6EhZkqAE1hCxF75fWcSlZg,Formshift - The Outside Agency Remix,2013,0.827,4,171.969,-1.861,0.995,0.437,0.0378,Minor
