,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,6NAxKeQucoqoJxlAW2PDnu,BPM=RT,2020,0.735,4,122.62,-5.899,0.929,0.492,0.217,Major
1,5ueCxUWSnCoj7CXZbjNQP2,Apocalypse Simulator v2.0,2023,0.344,4,111.021,-1.502,0.996,0.46,0.116,Minor
2,1DDCErsrV7v2SXkyd2GkBJ,You can't escape from the mission,2020,0.874,4,142.525,-1.529,0.999,0.498,0.134,Major
3,1TToraCL7rZ68n46Gs75px,XODUS,2023,0.587,4,100.994,-1.275,0.997,0.547,0.0836,Major
4,3nUAdW9q1Eg91DzsBIjYvm,Attractor Dimension,2021,0.0832,4,144.753,-0.735,0.981,0.29,0.0967,Major
5,3FqMdcf5bbOyXFxp3lvFPG,eden,2021,0.186,4,123.015,-3.07,0.972,0.484,0.225,Minor
6,5IZmb8kJjCFxMYZDMhlYui,Party People Must Die,2023,0.576,4,119.359,-2.163,0.989,0.36,0.0854,Major
7,3YzDb2jqWWOL14SyynZWZk,spEEEEEEEEEEEEEEEEdphobiA 230pLus+,2011,0.21,4,114.988,-6.152,0.969,0.373,0.0384,Minor
8,2XMWHdacXLQyNAwH5Ng66A,urge to urinate,2020,0.899,4,195.104,-0.79,0.998,0.362,0.128,Minor
9,6zcQQPcA9GCrTWH24Ne3Qf,Denpa Never Die,2023,0.00323,4,162.1,-2.69,0.988,0.415,0.254,Major
10,1ZUe5EayaTYGxHgRTiDbNL,Fidget Dancer,2020,0.904,4,175.012,-4.949,0.962,0.415,0.465,Major
11,7qGO1rzg0js6pcj2MrSuWE,BPM=RT (Uncut Edition),2020,0.367,4,122.624,-6.849,0.86,0.557,0.113,Major
12,3QJ4K0POF4VurCY2IBXX2q,Singularity at 2.64e+6 BPM,2023,0.0656,4,83.463,-3.248,0.815,0.172,0.0951,Minor
