,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,75d0ROZttg9STTFZe5HtA1,Good to Go,1997,0.118,4,175.013,-5.022,0.984,0.546,0.507,Major
1,4OZ91gQzriy8wytlKs6KV9,Aquarius - Flamman / Abraxas Radio Mix,1996,0.615,4,175.056,-6.023,0.851,0.587,0.359,Minor
2,6AryHqc9cPZ14Aunbk8ZBw,Your Smile - Radio Edit,1996,6.07e-05,4,172.968,-4.54,0.979,0.536,0.22,Major
3,6N2rMGXBhNZ6slxJcp1E7z,Heroine,2007,0.666,4,144.044,-3.569,0.916,0.693,0.723,Minor
4,6gTynV4nOsbPyvqKn882z1,Outside World,2012,0.927,4,149.859,-11.625,0.565,0.601,0.372,Minor
5,1TFK9oczePSWgNtWRWlUoI,Balla Balla,2024,0.000976,4,147.033,-5.055,0.957,0.693,0.861,Major
6,5M6sEMtKjef5OK3BRaRpXE,The Dreamer,2007,0.869,4,180.993,-4.524,0.984,0.513,0.0992,Major
7,2ax1tvJzJdPpGazEuYECJt,Can't Help Myself - Radio Version,1994,0.00343,4,124.05,-7.554,0.845,0.806,0.861,Major
8,0kM972NunAO1WXYePRQDJW,Banaan - Ruthless Remix,2018,0.16,4,154.94,-3.982,0.876,0.748,0.155,Minor
9,4VPGTCOOME5IrHumFRPohU,Cartoons in Progress - D-Tune Remix,1995,0.662,4,175.005,-1.871,0.986,0.509,0.0385,Minor
10,4vFc0O97l8pf9DajtRcLmA,It’s A Dream 2K19,2019,0.401,4,200.08,-4.912,0.949,0.237,0.0396,Major
11,3wQ1dVWkDvMBxtKaPCyD87,I'll Be Your Only Friend - Radio Mix,1997,0.00073,4,170.102,-7.502,0.974,0.703,0.398,Major
12,3MfUc8Aa9PwEfyryuSGp5r,"Dom, Lomp & Mellow - DJ Dangjo Mash-Up",2008,5.09e-06,4,171.398,-5.239,0.986,0.676,0.491,Major
13,2Z2Vvriy81OX4fXFBEWksU,cheatreal,2012,0.636,4,199.977,-4.042,0.998,0.332,0.708,Major
14,2tVDAduI0ZVtllzVQ3uUpu,Hardcore Feelings - Club Mix,1996,0.0537,4,170.957,-10.576,0.827,0.566,0.868,Major
15,7MDdNX2chYjFWRp2Gj2eHb,Friends Turbo,2011,0.786,4,176.037,-4.606,0.987,0.36,0.687,Major
16,00yGMQvlAQdjbm70DhApgX,Stars - Video Mix,1995,0.104,4,165.932,-4.012,0.996,0.469,0.707,Minor
17,0CgGVYCtdinNrPvY9oNBsN,Ride Clean,2018,0.459,4,175.142,-10.552,0.676,0.664,0.13,Major
18,4cqiLvFRDuV8ClE61eMmZx,Never Alone,1994,0.000162,4,127.986,-5.036,0.866,0.705,0.816,Minor
19,2JXu6sJxvmlruASa9oiyMG,Engeltje,2019,0.000538,4,154.986,-6.314,0.879,0.667,0.351,Major
20,7pxMxiLQ5aZkn5OBmXwd6l,Toda Rhythm,2008,0.758,4,190.064,-3.565,0.957,0.502,0.147,Minor
21,5fF9T9SMqBKUvT06cn7kBR,It's That Time,2023,0.859,4,147.023,-6.195,0.965,0.724,0.753,Major
22,6WI6l5dlJACEodLuGIyOZ0,Don't Leave Me Alone,2011,0.0217,4,170.807,-8.102,0.862,0.498,0.344,Minor
23,1oZFFYpIE8F6URSSmH6vQZ,Used & Abused - Amnesia Mix,1996,0.909,4,178.45,-6.241,0.918,0.62,0.55,Major
24,5CpmPgPCFwUbyDWmfe94w7,GB,2016,0.713,4,99.998,2.171,0.999,0.695,0.0683,Major
25,2YeZhfPOkFND5OYL6zp6we,Cocaina,2018,0.00557,4,155.027,-3.661,0.902,0.655,0.657,Minor
26,7IXX9Is3v1OTUP2dwHkm7e,We Can Go (Flamman & Abraxas Radio Mix),2014,0.646,4,172.987,-3.683,0.987,0.574,0.619,Minor
27,1zjJ2Ypa0iIbRVziaLtug0,Speedcity Megamix,2017,0.00103,4,170.04,-5.734,0.994,0.507,0.626,Major
28,1evR2LF9kCdzw213Kx8u8w,Tricky Disco - Single Edit,2006,0.87,4,141.982,-6.427,0.997,0.687,0.891,Major
29,6JyxQWqDiiT0NFlNCla1DM,Come Take My Hand,1995,0.77,4,167.99,-4.829,0.879,0.52,0.105,Major
30,4Y7tzYw5EMJONPYzbtvtqp,Flitsmeister,2019,3.11e-05,4,159.852,-3.649,0.951,0.466,0.132,Minor
31,7L8um79PKfAhsTNAE19kqG,Fantasy World,1996,0.0,4,169.94,-4.517,0.93,0.425,0.453,Major
32,5tlmO0EqsLwqS2CGxVVjEe,Faith,2023,0.645,4,169.968,-3.017,0.976,0.491,0.0416,Minor
33,4Ace8alexaAj3QHwprUqQq,"Rave, Rinse, Repeat",2021,0.0101,4,172.033,-2.917,0.995,0.462,0.107,Major
34,6OmH0uXx32RdOWWeTNrUQX,Hava Naquila - Flamman / Abraxas Radio Mix,1996,0.877,4,168.025,-6.064,0.937,0.464,0.4,Major
35,05WDrfaQLOUVmxdrPP7lu3,Fairytales,1996,0.888,4,168.036,-5.476,0.905,0.518,0.112,Major
36,6HBZ084DGUVFFsNgR4ogwj,Polizei,2019,0.00105,4,165.022,-6.173,0.776,0.714,0.283,Major
37,06mdjhtgz4byQVcQnsv0OP,Together In Wonderland - Hardcore Mix,1995,0.751,4,172.093,-5.071,0.913,0.322,0.144,Major
38,2JkoLTsjvCLaPq6iYGon0q,Have You Ever Been Mellow - Flamman / Abraxas Radio Mix,1996,0.85,4,171.576,-6.033,0.959,0.622,0.468,Major
39,251SfwRqsmsDvndBNUI3QQ,Crazy Mega Cool,2021,0.0,4,100.043,-2.384,0.969,0.663,0.308,Major
40,0bTTzhiLWr3iDqzSjDdiHZ,We Like to Party - Flamman & Abraxas Radio Mix,1997,0.153,4,155.068,-6.879,0.985,0.573,0.849,Major
41,4Fqm5rqB0WMx0hPOwgRjFr,Dreams (Will Come Alive),1994,0.00193,4,134.027,-6.347,0.953,0.702,0.507,Minor
42,0lyXx1VgZFANjvYUIpMrTY,Kind eines Teufels,2019,1.52e-05,4,154.988,-5.138,0.901,0.653,0.627,Major
43,0MKk3NoyK7HFCFrGhi1HRj,Hava Naquila - Tekno Mafia Mix,1996,0.826,4,194.139,-6.594,0.809,0.273,0.122,Major
44,5wpg09eMzib330WOuLrdgQ,Atomic - Flamman & Abraxas Radio Mix,1997,0.00432,4,165.051,-9.404,0.926,0.561,0.777,Minor
45,0KfaI1sogMb7OyEIUB76Fy,Raving Beats (feat. Gin Dutch) - Radio Mix,2014,0.000421,4,168.986,-5.204,0.889,0.583,0.0791,Major
46,67LwOmbVW0jQpG9G6nnCYz,Come Take My Hand - Extended Version,1996,0.463,4,167.993,-8.132,0.818,0.553,0.18,Major
47,1xFXACbrf08B2fsnWldOtY,Fly,1996,0.0338,4,134.016,-9.191,0.822,0.705,0.83,Minor
