,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2T3Je8L2f4sofvmyewNX4y,Tempestissimo,2020,0.88,4,115.531,-5.462,0.94,0.456,0.214,Major
1,3MA7N8ALJzg4I696jxdk8d,Light it up,2015,0.00994,4,174.931,-3.828,0.943,0.479,0.363,Major
2,0tLcKkZqfylGoG5JcXOXvL,Magical Doctor,2019,0.861,4,101.997,-1.948,0.98,0.581,0.519,Major
3,4F2NudCv50tC2Bqc3dgn9v,INTERNET YAMERO,2023,0.000357,4,184.868,-4.279,0.916,0.468,0.529,Major
4,6gObQgJsiJM46ZUFcaGYAy,Aegleseeker,2021,0.142,4,116.938,-4.664,0.917,0.41,0.119,Minor
5,227AlkDHWM5G2tejvX5EKZ,Brain Power - Long Version,2014,0.0,4,170.628,-0.34,0.994,0.333,0.474,Minor
6,4a7qeyeaYMRlXsj4Rprwrc,Are You Ready,2019,0.742,4,174.917,-3.646,0.988,0.35,0.285,Major
7,5FUtcf2amtv5lwa1J1cGOi,Leave it to Fate - HVS ver.,2024,0.0216,4,102.495,-3.51,0.904,0.509,0.602,Minor
8,3FqMdcf5bbOyXFxp3lvFPG,eden,2021,0.186,4,123.015,-3.07,0.972,0.484,0.225,Minor
9,1DR14QO6yT610ZAsXQhsal,You & DIE,2020,0.256,4,104.948,-3.458,0.972,0.535,0.468,Minor
10,3cNaaC4seMJ6FfntsHZ6RR,Trinity Homerun,2019,0.0103,4,174.995,-4.089,0.986,0.434,0.0939,Major
11,17NEG5coHWTbt1smBgGUrR,HYPER4ID,2018,0.0813,4,184.179,-5.799,0.908,0.274,0.384,Minor
12,2yyT3q2OhnHeVTpbtp4rFU,We Could Get More Machinegun Psystyle! -And More Genre Switches-,2019,0.369,4,160.076,-2.506,0.993,0.287,0.0695,Major
13,5r0zUH5VMCiS4MFRt33NAx,Heracles,2019,0.811,4,192.795,-4.203,0.983,0.385,0.498,Major
14,0BTFTfPEvadvkmb67NJbjv,Angel Breaking,2022,0.0754,4,92.508,-2.539,0.799,0.687,0.889,Major
15,1d14xCnYqUAIWZiGJnqg8D,Sound Chimera,2018,0.239,4,95.044,-0.739,0.98,0.317,0.335,Major
16,5UxIjfyKPPnFbHGUG6ZfP2,Clip it Bro,2021,0.758,4,200.111,-3.246,0.989,0.322,0.355,Major
17,5M6sEMtKjef5OK3BRaRpXE,The Dreamer,2007,0.869,4,180.993,-4.524,0.984,0.513,0.0992,Major
18,5GZ4Y1rxkPQtvUQyacov0E,DUAL BREAKER XX,2021,0.0355,4,199.978,-2.385,0.977,0.356,0.623,Minor
19,0lxCqNgTcI5y7MBCtj5dX8,SUPER REACTOR,2020,0.484,4,152.036,-1.183,0.993,0.451,0.362,Minor
20,1dvflxKCFPA3sCedRbZdJ3,Fucking High,2020,0.0285,4,94.997,-4.924,0.964,0.576,0.389,Major
21,3dFRvWQ7qbAqDnZcSndorn,La'qryma of the Wasteland,2020,0.228,4,168.329,-3.478,0.996,0.406,0.228,Minor
22,2GSGhyWqdocBZcup6rs1Vs,Party in the HOLLOWood,2018,0.00695,4,177.993,-2.277,0.994,0.546,0.697,Minor
23,3AtQwAbQ9c9KfSFBRah5i8,M1LLI0N PP,2020,0.126,4,118.134,-2.073,0.985,0.403,0.101,Minor
24,5wSHGGamKYnV95GjesHYue,Mopemope - Long Ver.,2018,0.0449,4,99.934,-3.693,0.627,0.677,0.748,Major
25,3jlvbl9hrqUmQHUiWsGuAk,Crystal Gravity,2021,0.919,4,177.655,-3.663,0.995,0.255,0.0361,Minor
26,4LHiLcPT2eONglchbEDweQ,Mutation - Extended,2024,0.109,4,154.938,-1.017,0.998,0.55,0.207,Minor
27,2Zc8hShVPE5Sb24I4Wg38i,Adam,2019,0.12,4,99.946,-3.225,0.967,0.464,0.254,Minor
28,0GvsFHJuY3sgZU7CBoMfd5,I love love love suki suki suki!,2016,0.0013,4,97.173,1.824,0.996,0.388,0.67,Major
29,6Y6eKniJzO9f2JGBRgnY82,Chaotic Neutral,2023,0.827,4,180.07,-3.071,0.994,0.427,0.338,Minor
30,52E7DsEd6sxt1eSyyWkhsl,Unlimited Hyperlink,2023,0.00118,4,116.009,-2.027,0.996,0.459,0.236,Minor
31,58THLg2hBkouKOH3s6vuvv,Knight Rider,2019,0.713,4,100.155,-4.036,0.975,0.467,0.474,Minor
32,5ui9z0a7hZbieOSXwwzhBa,Quon,2019,0.0472,4,170.081,-2.759,0.98,0.362,0.279,Major
33,0t25du5hxoOwJBcRKqyGIa,Chaos Time the DARK,2024,0.83,4,86.64,-5.026,0.981,0.156,0.35,Major
34,0kJcx34mlP7xz3F97QDYj9,BRACE FOR FRICKING IMPACT,2019,0.495,4,149.962,-3.07,0.99,0.415,0.23,Minor
35,6I7Nu1gsf0NhkzYlyfHa7q,"Aegleseeker - ""Afterworld"" Full Version",2022,0.799,4,117.003,-7.304,0.834,0.216,0.0646,Minor
36,5aOD9l2Z1An00KJIGVbAHh,Rav#girl,2019,0.875,4,175.014,-3.04,0.971,0.42,0.397,Major
37,7fKy7I5GQlkUQV3ws0Xkcy,Lunàtixxx Gear,2023,0.0683,4,196.177,-2.204,0.996,0.236,0.0749,Minor
38,2bCbC4ROSG56Ph7Y9c4vnu,SWAG!!,2022,0.000497,4,179.978,-3.491,0.95,0.436,0.543,Major
39,3wlWeadFDWnl8NaURoMAYJ,TiamaT:F minor,2017,0.0,4,107.449,-6.981,0.876,0.509,0.106,Minor
40,3DLsOzAZPSVz9WYsdvbBdV,Aleph-0 - Long Ver.,2018,0.367,4,125.484,-4.051,0.976,0.341,0.102,Minor
41,51HrgXU1e1zNVxtYjCbP55,Invisible Frenzy,2019,0.361,4,122.515,-1.981,0.999,0.48,0.165,Major
42,5MNLgtuEF9mMaYvyzgW943,Cthugha,2021,0.803,4,106.475,-3.168,0.99,0.512,0.52,Major
43,19lyk6pIncLT1EvkuGMuCY,Gate One,2019,0.681,4,90.012,-2.443,0.966,0.557,0.528,Minor
44,6l4JGJLvyNqQ4ph37o6Fge,Flashback Flicker,2024,0.21,4,169.051,-4.146,0.98,0.404,0.158,Major
45,6HBznW6Doe0w8WBazMavO5,crystallized,2015,0.472,4,174.035,-4.802,0.964,0.488,0.148,Minor
46,1bY9irHouNHlJlmrCgBnDC,Cascading Emotions,2014,0.545,4,177.963,-3.326,0.996,0.42,0.044,Minor
