,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,1GyK2GqlDPfdMToCxhzveB,We Are the Mess,2014,0.0,4,145.132,-3.412,0.978,0.487,0.31,Major
1,2jC8eQLSCRaLWjjnz105az,...Meltdown,2012,4.74e-06,4,86.158,-3.375,0.924,0.524,0.48,Minor
2,1wwNO8p1wgImjcGeGI1zUI,Intro,2010,0.612,4,91.742,-4.668,0.933,0.285,0.0377,Major
3,64ZaGxE9vo4K1YjC7zK3qF,You're Dead! Let's Disco!,2016,0.0,4,99.512,-1.632,0.977,0.495,0.436,Minor
4,0KGyMOfgZvPZoRoqBg7BnT,Trap by the Nervous,2022,2.13e-06,4,179.955,-2.015,0.95,0.475,0.295,Minor
5,3j8DObNkBOjdnRHZYKN70I,Freedom,2007,0.902,4,138.115,-5.407,0.924,0.459,0.165,Major
6,7dpf2YZV9ROzGDtOCBJ75S,Breaking the Limit,2012,0.632,4,106.513,-3.013,0.957,0.57,0.695,Minor
7,000ozdJTVZ5SJeIbB0g6F9,DRTY,2020,0.00275,4,149.037,-5.641,0.984,0.452,0.534,Minor
8,4ksz9KvA2Xz7EtHkNKJDit,Endorphin,2020,0.00508,4,143.073,-5.195,0.963,0.464,0.318,Major
9,28wP1g7fqufQDMHvwq678q,Guardian Angel,2010,0.0,4,141.955,-4.162,0.99,0.465,0.0552,Minor
10,1TtLwPk7ZNnknGgH3vC6mB,Turbo Swag,2010,0.0,4,164.931,-4.436,0.948,0.391,0.0875,Minor
11,0aBHn9AeBKaMxYGvMElvsn,Wonderbra Boulevard,2012,0.0,4,149.963,-4.243,0.978,0.256,0.149,Major
12,22lCyX2trHjfaFiNrzxpZr,The Void Stares Back,2022,2.54e-06,4,136.066,-4.262,0.913,0.554,0.588,Minor
13,62ksZ3i6Sr4LjbUUOfaWYG,Makes Bad,2010,0.278,4,175.003,-2.953,0.968,0.407,0.293,Minor
14,15nyeiuH7BF4H7IdjAXQYT,Subspecies,2018,0.000119,4,120.015,-3.475,0.988,0.476,0.499,Major
15,2Aq9mnoBQhMBoUT5TprMlK,Luck Will Be There,2022,0.0,4,74.987,-1.792,0.952,0.235,0.382,Major
16,5jp1gfNXYXHUk3jDVEXNQh,Innocence,2007,0.798,4,164.24,-4.922,0.906,0.394,0.165,Major
17,74cQNfE13lN0oIxG8QTnsF,Out of Coverage,2019,0.000158,4,130.015,-5.825,0.954,0.485,0.116,Major
18,4QAsjq0LTSxxXJ3wA4McuH,START A FIGHT,2020,0.00261,4,126.364,-5.772,0.948,0.496,0.329,Minor
