,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,0IEtL7nw7nfcMrmVBOPoxY,Your Love,2004,0.823,4,117.576,-6.362,0.933,0.653,0.189,Minor
1,6RSmWJzW67qDXRyjs8wRob,Strings of Life,2013,0.811,4,128.103,-6.209,0.878,0.714,0.509,Major
2,040feKzAD1CyH8asrYDfDp,Meet Every Situation Head On (Noise & Mista Luv Mix),1999,0.0348,4,128.045,-8.103,0.892,0.846,0.831,Major
3,00DgpLEbEGEZT2qimby2a7,Energy Flash,1996,0.649,4,122.825,-8.333,0.583,0.72,0.403,Major
4,0xjxXC9tnntiSibd4xFlCq,Radio Babylon - Version Galore,1991,0.0201,4,244.035,-15.683,0.611,0.231,0.519,Major
5,3hVnJ8rRSVa1tfgaYswfYn,You Used to Hold Me,2003,0.0296,4,123.057,-13.977,0.537,0.725,0.785,Minor
6,74TZSreTt6eXdCE8EJhpN1,The Juice,2011,0.911,4,119.494,-11.558,0.805,0.757,0.772,Major
7,0vpXry3pru4sIm7VraagKY,Let The Music Use You,2004,0.0969,4,124.425,-5.095,0.899,0.656,0.544,Major
8,4ECiSO5OmUy41ifKknjsf4,The House Music Anthem / Move Your Body,2004,0.000143,4,125.705,-11.397,0.819,0.786,0.76,Minor
9,4soPG45sARVq4ZTLqKUwlG,I've Lost Control,1986,0.892,4,123.015,-10.411,0.836,0.752,0.0584,Major
10,1KhD7czAxuNn0orSVwNnhd,151 - Original Mix,2010,0.92,3,122.351,-16.38,0.777,0.776,0.718,Major
11,0KZWKfZ22SUr9QVLZK2LEg,"Weekend (Wam Bam 12"" Mix)",2011,0.267,4,123.059,-7.816,0.803,0.752,0.842,Major
12,1IngMSXsZ4rCTFm8L18F3U,House Rythems: Nervous Acid,2010,0.808,4,123.233,-10.482,0.789,0.633,0.228,Major
13,2IOIuMlbkvA3lBYMQV73fZ,I'll House You,2010,0.0,4,123.279,-8.339,0.785,0.819,0.846,Major
14,0qD3sHqLrmKDcRX3MKvsFX,Jack Your Body - Original Club Mix,2010,0.124,4,121.815,-15.151,0.609,0.549,0.961,Minor
15,6yeq9TXrOcczL1ryPHkbFF,Carino,2010,0.851,4,114.908,-7.877,0.95,0.742,0.978,Minor
16,5Oe5EZOuQvbxT05KQzb3RS,"Stakker Humanoid - 12"" Original",2013,0.911,4,124.722,-7.936,0.968,0.684,0.966,Minor
17,4hnwEklz4VPVjr8S71Rmo0,Where's Your Child,2010,0.894,4,132.083,-9.31,0.819,0.522,0.792,Major
18,2GH8f03eJJeXPkATwrbvA8,Can You Party?,2009,0.000641,4,123.293,-2.601,0.951,0.759,0.909,Minor
19,3p25Zh4Nt1pyvX8h2oCD9H,Washing Machine,2009,0.916,4,117.594,-10.399,0.633,0.876,0.513,Major
20,5dUSAtt7MeYAVicCgoDzZJ,"Break 4 Love - Original 12"" Mix",2005,0.237,4,118.981,-10.557,0.647,0.839,0.924,Minor
21,22y0cI6LXzdyCmnqM3LbnH,The Chase - Smooth Mix,2008,0.904,4,128.383,-9.787,0.694,0.712,0.963,Major
22,7MZpzMpifYZ8JjHegxEvZT,In-Ten-Si-T (Justin Robertson Edit),2008,0.0568,4,123.415,-12.569,0.756,0.759,0.611,Major
23,23HpSrqrULF8mF1WKdZRyl,This is Acid,2009,0.716,4,125.458,-7.008,0.96,0.824,0.867,Minor
24,1yVY0hp0VfezKlb1EnK33m,ACiD - Pierre's ACiD FACE Mix,2012,0.873,4,128.014,-9.856,0.624,0.748,0.647,Major
25,5mYhHLEHo1WFLUKaFYZsrX,Papua New Guinea,2006,0.0546,4,125.009,-8.307,0.887,0.599,0.806,Major
26,3iMCVmBE4SLDFuZm4qCDoe,Hot Hands,1997,0.834,3,123.31,-5.648,0.997,0.686,0.551,Major
27,3ksxb4VxiH4cMdyXnxRc4x,No Way Back,2007,0.864,4,125.325,-14.369,0.772,0.806,0.43,Major
28,21gvRGGQ81d7zijU6QlLZX,Lack Of Love,2009,0.447,4,122.189,-10.636,0.738,0.685,0.582,Minor
29,4rB2RqyF2JZ1R7wC4wB9FB,"Get Up, Get Down (Rough Version)",2011,0.133,4,118.141,-13.821,0.564,0.727,0.868,Major
30,6ifUZhFHTdlbfMbnZHMr4R,As Acid Turns - Remastered,2013,0.961,4,124.971,-10.011,0.926,0.802,0.485,Minor
31,7tXx01zHIkh0MKb4EZcquy,Distant Planet,1987,0.7,4,123.85,-10.595,0.789,0.707,0.612,Major
32,35qEbPhtPsijSpbDVqtci4,Jiggerwatts,2009,0.904,4,123.354,-13.639,0.687,0.775,0.658,Major
33,5Y6M2SWKrHeI2zptDMD7Cc,Circus Bells - Original,2007,0.975,4,123.988,-10.346,0.953,0.779,0.48,Major
34,05kXJj11PCg7aIWvQxp683,Acid Tracks,2003,0.919,4,120.439,-14.205,0.918,0.792,0.505,Major
35,19udU6Fps14qvmuvPvwaeW,Can You Feel The Bass,2003,0.865,4,123.035,-12.641,0.903,0.81,0.659,Minor
36,42BJlSs5Uj10MHzTaFarx4,Feel the Mood (Remastered) [with Hot Hands Hula],2013,0.452,4,124.721,-10.455,0.877,0.752,0.345,Minor
37,6MOG2ZNDvNlDgyhFUTLkFL,That Shit's Wild,2011,0.628,4,120.183,-15.72,0.771,0.805,0.947,Minor
38,1rcF7Pbe9uDmrwa4Sbdns2,Box Energy,2011,0.94,4,127.969,-16.142,0.606,0.802,0.746,Minor
39,0it8q7IFs7B4hZbYARK9PG,String Free,2005,0.946,4,125.004,-10.869,0.796,0.628,0.452,Minor
40,6xInVVhRj1jTWtWUs0UW2z,Bango Acid,2004,0.965,4,124.736,-10.081,0.722,0.804,0.489,Major
