,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,1I8tHoNBFTuoJAlh4hfVVE,Firestone,2016,3.17e-05,4,113.927,-7.374,0.634,0.704,0.411,Minor
1,1F80MEkZA9yTlpMQp9dhht,Because You Move Me,2017,0.0395,4,122.997,-9.506,0.435,0.789,0.166,Minor
2,7Is0OPWVcN8DdZpcNuClcy,Feel (feat. Sena Sener) - Radio Edit,2016,0.162,4,121.004,-4.937,0.756,0.731,0.723,Minor
3,1ld3ibWlGwo4oBFPb6pmKk,Heal Me - Biscits Remix,2020,0.155,4,126.031,-6.491,0.807,0.809,0.635,Minor
4,6Bj0sk40N436vvBwvQhgHT,Love Don't Cost A Thing,2023,4.43e-06,4,108.012,-4.812,0.88,0.718,0.559,Minor
5,4wyIAKiAc8Twh1jgzylZWo,Careless Whisper,2023,0.0,4,102.103,-7.198,0.669,0.585,0.658,Minor
6,5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),2021,6.28e-06,4,125.993,-5.603,0.784,0.669,0.517,Major
7,63SevszngYpZOwf63o61K4,Nevermind,2017,1.29e-05,4,99.977,-8.339,0.688,0.6,0.0793,Minor
8,59QDyqLww2pxyg9ijOPO7f,Rhyme Dust,2023,0.0271,4,128.034,-8.675,0.561,0.925,0.721,Major
9,36gcliMRX1vCpgnrZE3dFZ,10:35,2023,3.78e-06,4,120.003,-5.733,0.793,0.696,0.698,Major
10,0cABTd4aVSmK7lpBni5wra,I Feel It Coming,2023,0.0,4,199.847,-6.565,0.654,0.433,0.454,Major
11,0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),2022,0.0,4,120.146,-7.295,0.659,0.553,0.105,Major
12,5qA35ZZWFOqynheP5x8rty,Around - Solomun Vox,2012,0.666,4,115.001,-11.042,0.345,0.867,0.259,Major
13,7FGho3Adev1y2hTB949PGv,Netzwerk (Falls Like Rain),2014,8.74e-05,4,128.011,-5.402,0.749,0.55,0.221,Minor
14,1ap4zdsBydWPSXJqDBqtNL,Like You Do,2022,0.041,4,124.015,-4.565,0.847,0.69,0.49,Major
15,1Ka9BRi8FxYAfXb5gRMvtS,Try Again,2022,0.00105,4,115.029,-5.072,0.846,0.823,0.682,Minor
16,0PHWXLXOQXGlyUGq7woVFZ,Sundream,2013,0.0042,4,121.996,-7.58,0.712,0.681,0.246,Minor
17,1y4Kln6VEjQMpmHW7j9GeY,Cut Your Teeth - Kygo Remix,2014,0.222,4,99.985,-8.452,0.678,0.674,0.465,Minor
18,2unqiEdHtabnsbv6TJ7gCW,Lose Control,2023,0.0,4,123.943,-8.659,0.527,0.598,0.53,Minor
19,2W3EgJst61RLZtPPm3EQim,TERRITORY,2017,0.683,4,120.009,-11.943,0.44,0.563,0.213,Minor
20,4yg4e6LkbEzc3sA0bE0GYg,Cruel Summer (Marcus Layton Edit),2022,2.17e-06,4,117.849,-5.854,0.585,0.797,0.739,Minor
21,7EroGeDg1uteOaQ45Ftfiz,I Remember - John Summit Remix,2023,0.482,4,126.018,-6.722,0.855,0.531,0.117,Major
22,0agQ9vIV7NP4dntGKLcCXO,Somebody (2024),2024,0.18,4,130.017,-6.198,0.629,0.848,0.586,Major
23,6Kl0BmROA5CAwtQOEFd99y,Human,2023,0.426,4,132.037,-7.625,0.891,0.791,0.193,Minor
24,2Vhd5uZB4brKHmM0MNxkZo,Raging (feat. Kodaline),2016,0.0,4,99.904,-7.76,0.689,0.55,0.408,Minor
25,038yuRmrY7Vk8d6c3PDs7Q,Indulgence,2023,0.956,4,121.986,-6.882,0.902,0.648,0.11,Minor
26,6Uc23VRzRJSgu3eebPvH8I,Take My Breath Away,2022,0.000718,4,104.961,-5.631,0.653,0.629,0.248,Minor
27,4sigEqg7SMeZsn8haXoloU,Wonderwall,2020,0.0343,4,99.97,-6.026,0.705,0.7,0.521,Major
28,7jNnW7e1prkMtR7EKsTElp,Price,2022,0.0712,1,108.804,-9.874,0.54,0.527,0.311,Minor
29,14d79QOV2pvJHH9vlUfZwJ,Love To Go,2020,0.00663,4,104.022,-6.256,0.783,0.755,0.419,Major
30,1esZgaqm0YKN87CIP3orJ3,Rampampam,2021,0.0012,4,117.971,-5.506,0.649,0.797,0.437,Minor
31,5dSDf2TwSNtW3BSxceyxNt,Faded Rose,2022,0.00966,4,119.978,-10.428,0.52,0.757,0.55,Minor
32,0MCZksPtemC2ZTS8yzKnrr,Holdin' On,2017,0.00307,4,122.019,-8.495,0.543,0.818,0.189,Minor
33,7CH8J4ulT49UfZwSDSkSZA,i miss u (with Au/Ra),2020,0.0,4,124.075,-7.512,0.726,0.668,0.453,Major
34,412luShbmlgqqgYFStIB1s,Wish You Were Mine - Radio Edit,2014,0.0901,4,123.002,-4.164,0.832,0.654,0.407,Minor
35,5z49EsoURUXq88RSLBmYPG,Matter of Time,2023,0.153,4,115.07,-8.618,0.52,0.702,0.0489,Major
36,21YVPtVHmvpodDiy7GyhUU,Do No More,2023,0.914,4,120.021,-6.202,0.837,0.625,0.152,Major
37,0E7U13bmvEccq4CtC3q0Pw,Me & U,2021,0.000523,4,118.012,-4.855,0.849,0.781,0.495,Minor
38,5DW429FdhtHPIXor8Lg8lC,I Ain't Worried,2023,2.82e-06,4,119.94,-7.581,0.681,0.689,0.382,Major
39,01wpPOPqQ3XyS6hBN00HfK,In the Morning,2016,0.335,4,123.006,-6.064,0.757,0.709,0.166,Major
40,1x7NAvqHgCvhV549ls0FTE,Sunset Lovers,2022,3.73e-05,4,119.971,-6.362,0.741,0.806,0.563,Minor
41,3LnETnq2xyUpKcGqAQLJy1,Don’t Forget My Love,2022,0.0143,4,121.031,-6.222,0.873,0.639,0.258,Major
42,0RD27NcbftTkhb1NlxQMGR,Sweet Dreams,2020,1.05e-06,4,121.982,-7.432,0.714,0.732,0.376,Minor
43,1LY3GhF0zxIVgbYEQjCbUO,The Sound of Silence - CYRIL Remix,2024,0.0,4,125.963,-4.379,0.721,0.68,0.244,Minor
44,4q05KbxYZ5JdkmrletgPjF,Whistle (feat. Calum Scott),2023,4.6e-06,4,124.025,-4.487,0.897,0.689,0.582,Minor
45,670E2HDx684Yq0rhf84CQc,Femme Like U (feat. Emma Peters),2020,0.0972,4,114.975,-9.008,0.655,0.749,0.477,Minor
46,1nOrmN6H9MmEzSTU024eAX,Cool Kids,2022,0.0,4,116.016,-5.365,0.841,0.769,0.712,Minor
47,5wK2U8OltPg94tShNIzUZQ,Supergirl - Radio Edit,2015,0.000674,4,122.017,-6.113,0.742,0.613,0.356,Minor
48,0qTbFobPCgr6ctfkTSKbG8,Baby I'm Yours,2024,0.00269,4,110.012,-6.857,0.73,0.783,0.616,Major
49,64fwanXDvwmsQrLsDSVHMv,Crazy,2017,8.58e-05,4,114.975,-5.069,0.762,0.765,0.444,Minor
