,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,4ua0IepBEISCWwF8dTJvcU,Ghosts 'n' Stuff,2009,0.0598,4,127.996,-6.941,0.617,0.617,0.517,Major
1,5q8oybjZelukF4h0CzSUN9,Scary Monsters and Nice Sprites,2010,0.505,4,139.987,-3.386,0.945,0.528,0.308,Minor
2,0QIYINh2AwmOmdu8CRYvlw,Bonfire,2012,0.00345,4,174.031,-3.029,0.944,0.536,0.589,Major
3,6jNM6fKx3WnyHbWBI9hs2r,Cinema (feat. Gary Go) - Skrillex Remix,2011,0.00783,4,145.077,-3.807,0.983,0.636,0.434,Minor
4,3ziKJoRHiJsaoTaeBYCJBA,Doomsday,2011,0.00278,4,120.135,-4.687,0.853,0.33,0.201,Major
5,47uhrF6IvyE2eUyyfLAEzf,Katy on a Mission,2011,7.99e-06,4,139.898,-5.211,0.731,0.674,0.507,Major
6,0VffaI2jwQknRrxpECYHsF,Greyhound,2012,0.876,4,124.976,-4.989,0.806,0.723,0.539,Major
7,5WSL7UTa38jMWoBzObD4BD,I Can't Stop,2010,0.601,4,139.972,-13.399,0.601,0.524,0.314,Minor
8,1WeFaJ8K3Y98NX47l00fkP,Wild Out,2013,0.00536,4,132.036,-2.629,0.926,0.644,0.04,Major
9,6r7FXNO57mlZCBY6PXcZZT,Five Hours,2014,0.661,4,127.907,-2.545,0.821,0.88,0.575,Minor
10,4IWLawtdMznqdOnbOR9cWW,Legacy - Radio Edit,2013,0.0,4,127.961,-3.671,0.707,0.586,0.187,Minor
11,69Y7bqe3lsESYEqCqJ4eBH,I Remember,2008,0.232,4,128.008,-8.047,0.513,0.814,0.602,Minor
12,1u1Ps262k227FPAm5BVUjd,Kill EVERYBODY,2010,0.00231,4,126.988,-3.336,0.874,0.788,0.629,Major
13,2ZeTpxUpIHDdrRZdD8Vlh9,Rage Valley,2012,0.734,4,128.162,-2.89,0.962,0.434,0.226,Minor
14,4gwF1NiLbZl2uKJDS3AX9O,Beats Knockin (feat. Fly Boi Keno),2015,0.0,4,104.003,-1.981,0.951,0.814,0.264,Major
15,6MIxkQiS6aEzqDPPZESD8n,Must Be The Feeling,2011,3.51e-05,4,128.08,-4.215,0.796,0.616,0.541,Major
16,7aIiDOQyCBA8yi1dozGojm,Ode To Oi,2013,0.574,4,127.98,-2.37,0.842,0.923,0.183,Minor
17,14epucTZd8dLIYipdByNZS,Antidote - Extended,2012,0.367,4,128.013,-6.021,0.821,0.733,0.63,Major
18,58caY1k2KMipOEOI1WzHbk,Circus Freaks (feat. Jim Jones & Cam'ron),2011,0.0,4,128.048,-2.632,0.883,0.661,0.579,Major
19,63BYoR4LNiGrVpxDZQOKM6,Unicorn Zombie Apocalypse,2014,0.861,4,128.037,-2.946,0.885,0.677,0.186,Major
20,6ZHvzEdmTqGQyH2svHKGQV,You & Me - Baauer Remix,2013,0.281,4,153.029,-3.356,0.984,0.65,0.656,Minor
21,1SqHHN5Mqy13gHbDGjTaU7,Back to Earth (feat. Fall Out Boy),2014,0.0,4,128.072,-3.044,0.906,0.585,0.209,Minor
22,6c9EGVj5CaOeoKd9ecMW1U,Strobe - Radio Edit,2010,0.831,4,128.032,-7.209,0.706,0.649,0.0736,Minor
23,6gowYUVBi2MZibmuosT8mh,"With You, Friends (Long Drive)",2010,0.00895,4,119.938,-4.748,0.572,0.366,0.356,Major
24,5qFL2uwfnGU8FccwLMgPNQ,Internet Friends,2012,0.0503,4,128.079,-3.042,0.903,0.64,0.152,Minor
25,2RpKh7kXSdO8NLrW9VQ46p,Take Ü There (feat. Kiesza),2015,0.0,4,159.888,-1.427,0.879,0.542,0.118,Minor
26,5RmpD1Z77amkLly5tLyviz,Two Minds,2015,0.0,4,124.039,-4.062,0.856,0.658,0.413,Minor
27,6HhrMBN43RnGlGv7vIdnM5,Till It Hurts (feat. Ayden),2014,0.000274,4,145.053,-4.016,0.886,0.547,0.293,Major
28,6lc6S1eIoJhi6YJn6lCnHB,Feed The Dada,2012,0.0,4,128.037,-3.664,0.902,0.715,0.441,Major
29,1BnzL5t2O4swbO79MFtB0i,Shrunken Heads,2011,0.396,4,128.01,-5.427,0.833,0.673,0.19,Major
