,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2W3EgJst61RLZtPPm3EQim,TERRITORY,2017,0.683,4,120.009,-11.943,0.44,0.563,0.213,Minor
1,2qaFgVtoMyWAb53M1UcCjj,La lettre,2006,0.0,4,130.008,-6.534,0.562,0.821,0.972,Major
2,7LL40F6YdZgeiQ6en1c7Lk,Robot Rock,2005,0.845,4,111.926,-5.766,0.787,0.59,0.598,Major
3,2boYIpJVzkugP7BwAaVzGw,Laisse-moi t'aimer,2020,0.000498,4,113.038,-7.32,0.736,0.92,0.766,Minor
4,0U0ldCRmgCqhVvD6ksG63j,Nightcall,2010,0.012,4,91.038,-5.183,0.874,0.532,0.361,Minor
5,4P89bNZVTCmu3zT0IBNLS8,Chalouper,2020,1.81e-05,4,100.004,-9.63,0.518,0.792,0.526,Minor
6,7z8sOQkzkoT9SCYQSWenjs,Music Takes You Back,2001,0.763,4,125.478,-6.256,0.788,0.765,0.585,Minor
7,496eQC5FPo3dmfNRXPcmps,La groupie du pianiste - Remasterisé en 2002,1980,0.0134,4,102.905,-8.355,0.751,0.578,0.667,Minor
8,0gpXeyth12BXqwHFzfNR2S,Divine idylle,2007,0.00386,4,134.727,-4.914,0.68,0.644,0.68,Major
9,0TN9m8rp3ZuNi4JwCKSans,U Don't Know Me (feat. Duane Harden),1998,0.0227,4,129.963,-6.197,0.756,0.742,0.81,Major
10,2YNWgxevUxpjZDgW4i5Aky,Je suis un homme,2007,0.00521,4,85.182,-5.884,0.698,0.54,0.47,Minor
11,2jJIxT6WAIVWzDo3Ou53Q0,Pursuit,2013,0.926,3,108.982,-4.822,0.934,0.682,0.0708,Major
12,1EWsVHU4FNAdtN4R8FETag,Push The Feeling On - Mk Dub Revisited Edit,1995,1.96e-05,4,123.017,-13.108,0.5,0.793,0.833,Minor
13,5YzaostcCu9Sgp5T7bFuX3,JUVENILE,2017,0.829,4,127.013,-9.675,0.554,0.63,0.119,Minor
14,37M8nuFfSrlKfTR0AAp7gK,Television Rules the Nation,2005,0.706,4,115.316,-5.468,0.567,0.702,0.705,Major
15,66oUD4UVvC2DsPaKzw8sJy,Dès que le vent soufflera,1984,0.0,4,125.359,-5.847,0.872,0.559,0.721,Major
16,3XJG4svqKswsr2ixWNgjg1,Osez Joséphine,1991,0.158,4,117.674,-9.844,0.722,0.724,0.715,Major
17,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,2001,0.0293,4,126.041,-5.627,0.808,0.72,0.869,Major
18,1SayqEg8HKK2IeIEWjdYxY,Down The Road,2012,4.73e-05,4,111.0,-6.109,0.595,0.72,0.486,Minor
19,1MqT9xK56smYYOaHPqIQM8,Dès que j'te vois,2007,8.62e-06,4,115.028,-6.61,0.73,0.718,0.447,Major
20,4OIMUs3KgUh77mjzJ8I5f9,The Bomb! (These Sound Fall into My Mind) - Radio Edit,1995,0.389,4,125.935,-3.804,0.881,0.781,0.868,Minor
21,0xLWMbuXHlW2O1DouU57AK,Jeune et con,1999,0.0,4,102.893,-6.939,0.808,0.427,0.33,Minor
22,3H6BhXkgqutUJlfcw55iCN,Game Over,2013,0.0,4,120.042,-3.307,0.63,0.855,0.82,Minor
23,0PHjhFcDWWtZeQBWC12V4l,Couleur menthe à l'eau,1980,0.0,4,142.44,-11.082,0.301,0.495,0.286,Major
24,30BWTpgeLnFCQlm7QoF9uV,J'envoie valser,1996,0.0,1,63.792,-11.936,0.285,0.411,0.607,Minor
25,637T4loKlXPwfUdQVZjPTV,L'homme pressé,1996,0.0,4,102.151,-5.747,0.879,0.569,0.784,Major
26,4OJBmFzo7i8Qa38ExrxwE8,Relaxin' with cherry,1997,0.845,4,125.954,-7.097,0.855,0.746,0.582,Minor
27,52op1vAuHGc0DLLhexfbUw,Sweet Darling,2014,0.0,4,101.985,-6.952,0.64,0.811,0.967,Major
28,4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,2002,2.57e-05,4,117.308,-5.281,0.849,0.73,0.887,Minor
29,3T1CEAG5ukgdqGvQuXWzqI,Odd Look,2013,0.0011,4,105.115,-2.19,0.945,0.578,0.4,Major
30,6rZjmbmqFYVxFa1adOMCS2,Je sais,2011,7.6e-05,4,123.057,-6.463,0.739,0.736,0.694,Major
31,7H8uYqn53ik9o8i6adEtqZ,Lola's Theme Recut - Radio Edit,2017,0.891,4,124.02,-6.964,0.689,0.773,0.612,Minor
32,0C2yaSWVgCUiiqPyYxSOkd,Je vous trouve un charme fou - En duo avec Gaëtan Roussel,2018,7.77e-06,4,86.976,-8.715,0.599,0.615,0.626,Major
33,2F2p7b5Xq20mRyEeWYaeUF,Substitution (feat. Julian Perretta),2023,1.61e-05,4,124.018,-4.866,0.89,0.69,0.713,Minor
34,2Fo8TPJGFZZ7I9U2RGeZWu,Et un jour une femme,2000,0.00102,4,135.687,-10.522,0.387,0.634,0.16,Minor
35,6M4nkEPZMj58acftDRTuKL,Tous les mêmes,2013,0.00219,4,109.96,-9.061,0.638,0.701,0.646,Minor
36,1CXcTLzJ3b2KJylbsbF0cE,La mauvaise réputation,1952,5.22e-06,4,122.228,-16.175,0.171,0.679,0.77,Minor
37,7mNErWes3YegbRLgZuILl5,Dernière danse,2003,1.97e-05,4,172.02,-7.237,0.675,0.389,0.483,Major
38,5EqwOeakccoyefDI9n77ZQ,Ton visage,2015,0.0,4,100.032,-8.306,0.583,0.761,0.816,Minor
39,4ABWPP59ItFKykdaDF09K5,Make Love,2005,0.841,4,133.005,-9.087,0.548,0.697,0.977,Major
40,0mIAWTIXUP9Os5RBXKclO6,Love Don't Let Me Go,2002,0.0,4,127.087,-4.774,0.836,0.593,0.406,Minor
41,0pg2VKzTsBdbxPzcOkReY2,A grand love theme,1997,0.859,4,183.815,-9.281,0.659,0.553,0.46,Major
42,3ZF9W9EJ5NkqbxH6sjvEoJ,Coco Câline,2016,0.000303,4,116.022,-8.242,0.596,0.79,0.894,Minor
43,1Oa6WPyiLIRaY5x0jl8GMC,Amour censure,2020,0.0,4,101.997,-5.383,0.753,0.648,0.628,Major
44,3FwsjsakjJkeLotPOGIr7s,The Man With the Red Face - Video Edit,2000,0.933,4,132.017,-11.015,0.728,0.693,0.461,Major
45,7bZknZ9h1Gnv1dEpiyAvso,Butterfly,2006,7.28e-06,4,119.994,-5.75,0.765,0.66,0.263,Minor
46,66u6ycRUqlrW9C05QJUmSo,ave cesaria,2013,2.83e-06,4,112.99,-8.254,0.659,0.724,0.379,Minor
47,2YNJ2wMRwl2L2cudMQ0B6N,Acknowledgement,2001,0.662,4,115.023,-6.476,0.627,0.675,0.586,Major
48,5Uf5czTkCsJM3Hkh0Ycvm6,Mes emmerdes - Remastered 2014,1976,0.0,4,135.212,-6.362,0.776,0.539,0.597,Major
49,1eyzqe2QqGZUmfcPZtrIyt,Midnight City,2011,0.0,4,105.009,-6.525,0.712,0.526,0.32,Minor
