,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,6txvQu0zUbiqG24A8XMLnK,Miracle Maker,2022,0.269,4,128.001,-6.097,0.94,0.609,0.238,Major
1,1635wWSdp29PO3GxYhy991,Bel Mercy,2022,0.736,4,127.016,-6.17,0.736,0.949,0.708,Major
2,5KFasflYKU9VnMTthjNXNv,HYPNOSIS,2022,0.00983,4,125.03,-4.758,0.872,0.96,0.7,Minor
3,1ZPIAYtvvyABpEVj6l2YK2,Yeah The Girls,2022,0.761,4,126.001,-5.282,0.968,0.755,0.786,Major
4,5WNa0eaGNwQ1ZXTHVlULpd,Deep End - SIDEPIECE Remix,2020,0.024,4,126.007,-9.187,0.652,0.773,0.453,Minor
5,3UaBvKvmGxlZ1PINFSQdB1,Toma Que Toma,2023,0.557,4,130.0,-4.781,0.918,0.797,0.392,Minor
6,4sginlGYEixJjpa2sAXIvH,Stay High (feat. Julia Church),2023,0.345,4,128.003,-6.622,0.821,0.711,0.324,Minor
7,0agQ9vIV7NP4dntGKLcCXO,Somebody (2024),2024,0.18,4,130.017,-6.198,0.629,0.848,0.586,Major
8,1NaXrdrI2OkCPAop1tU7Ch,Tamo Loco,2022,0.112,4,124.004,-4.015,0.968,0.749,0.475,Minor
9,6KsWTg6la3h3LeLcQZ2uoD,Headnoise (Get Hype),2019,0.843,4,123.971,-6.003,0.989,0.704,0.848,Minor
10,5fF9T9SMqBKUvT06cn7kBR,It's That Time,2023,0.859,4,147.023,-6.195,0.965,0.724,0.753,Major
11,6w6QxbbEiKSTP4TbqOnYvQ,XTC,2023,0.868,4,127.991,-4.76,0.978,0.68,0.377,Major
12,7bmdCzMO7PQWwgSB7npXc5,Sufriendo,2021,0.44,4,124.006,-4.972,0.952,0.816,0.282,Major
13,29uCsFSUSVktiMUZdzqpiD,RIDE OR DIE,2023,0.00873,4,133.955,-5.603,0.867,0.66,0.526,Major
14,4EAKIDNz9sETtpeLa7LrQi,Take It Off,2023,0.258,4,127.013,-6.607,0.707,0.884,0.582,Major
15,2gOqtrDh3Er4IySccNWhA8,Plof Plof,2024,0.0138,4,130.011,-6.059,0.815,0.837,0.668,Minor
16,15OcbcAnu8RH7viF0vZw71,The Club Is Jumpin',2022,0.063,4,123.999,-5.684,0.942,0.693,0.803,Major
17,7erTn3eeUxPzlkiThXkevf,We Groovin (with Jazzy) - Shermanology Remix,2024,0.173,4,130.035,-8.588,0.617,0.852,0.919,Major
18,59QDyqLww2pxyg9ijOPO7f,Rhyme Dust,2023,0.0271,4,128.034,-8.675,0.561,0.925,0.721,Major
19,2eIQvkQiHXSfX0GSRw29gA,Pa Lante,2023,0.0343,4,125.988,-4.054,0.978,0.893,0.634,Major
20,2fQCsQwgjHvmfvHkSf6CrR,Hooked,2019,0.705,4,125.989,-5.934,0.998,0.747,0.724,Major
21,1Gz2E1chOzRyhFXHJYWw8y,Pump the Brakes,2021,0.0912,4,124.01,-6.834,0.668,0.813,0.495,Major
22,3G8UpeZbzVGRMJQD5Zn3mB,My City (feat. Katy Tiz),2024,0.508,4,128.001,-3.376,0.943,0.668,0.198,Major
23,0XZrLV8OiyMLUCsrXNcUGY,NY to LA,2022,0.0348,4,128.995,-7.144,0.781,0.827,0.246,Minor
24,7pk1VW7qa7zBQDbqMWydUD,Middle,2021,0.43,4,127.009,-5.958,0.976,0.737,0.692,Minor
25,6ho0GyrWZN3mhi9zVRW7xi,Losing It,2018,0.703,4,125.003,-5.844,0.964,0.76,0.643,Major
26,3MqzqG6fij34pDxd29mikA,Temptation,2021,0.013,4,125.036,-5.282,0.878,0.808,0.626,Major
