,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,7KDkVer6KDHahrjFABNGww,Dale,2023,0.00781,4,126.008,-5.925,0.975,0.799,0.592,Major
1,0dS7kchwR8YEA7CRiAD0ML,Volar La Pluma - Edit,2019,0.3,4,124.005,-7.625,0.74,0.871,0.423,Major
2,7m4bWgzzK8DYLZBjHAIGVv,Nene Man Ni,2020,0.0882,4,123.005,-8.379,0.817,0.762,0.269,Minor
3,0OglCVZmal9RN57WnbbfvE,After - Filipe Guerra Remix,2023,0.258,4,129.983,-3.216,0.956,0.674,0.359,Major
4,04z8jW2xWI56W8zlOFSoV7,My Body,2014,0.845,4,130.01,-4.529,0.882,0.677,0.665,Major
5,0p34Y0tZFOvG3UpZQizOzv,Viento,2017,0.0189,4,126.018,-2.021,0.983,0.658,0.326,Minor
6,5qpKrG0B24tgBzg1aDNkM7,According To Me - La Cumbia Cienaguera,2019,0.212,4,123.975,-0.131,0.965,0.839,0.0392,Major
7,4Vaj9RIpXOgelHg3noZbd5,Djorolen - THEMBA's Herd Remix,2019,0.713,4,119.971,-10.256,0.864,0.711,0.21,Minor
8,4cjmKKcFPKflJQzXQUa1dp,Sombrerito Blanco,2024,0.478,4,127.035,-4.937,0.924,0.757,0.602,Major
9,4sginlGYEixJjpa2sAXIvH,Stay High (feat. Julia Church),2023,0.345,4,128.003,-6.622,0.821,0.711,0.324,Minor
10,1h2igaPPB08Gwe4WZynsei,TROMPA,2023,0.00828,4,123.056,-5.551,0.836,0.729,0.529,Major
11,17lDd5hXfSr86GTUq2k7Wh,Ritmo - HUGEL Edit,2023,0.692,4,123.938,-8.036,0.838,0.732,0.293,Major
12,1Oskgd4EDEeOLKVEd1jMEL,Coffee Shop,2022,0.00266,4,121.967,-7.541,0.731,0.838,0.486,Major
13,3WpOC4XLX0h46AviNPEnW0,El Amor - Radio Edit,2023,0.0135,4,125.015,-6.374,0.882,0.687,0.206,Minor
14,5Un9adXHRrNedbZt9QLC2C,Sway (Mucho Mambo),2020,0.00122,4,124.945,-4.082,0.971,0.714,0.637,Minor
15,3YjgrdRyYOPi4IGGv31eTX,I'm In Love - Original Mix,2010,0.826,4,127.002,-4.021,0.949,0.778,0.526,Minor
16,0YOpUrtSw5r22f67vIw7JS,Lose Your Love,2024,0.0725,4,123.993,-7.713,0.85,0.628,0.223,Major
17,1BSbmKfveBwCk1UedRBjUf,Mamaera,2023,0.231,4,128.01,-6.136,0.787,0.761,0.488,Minor
18,7LTUI8G6BcvY8dHZTniYd5,Reasons,2022,0.631,4,122.966,-5.964,0.949,0.681,0.0369,Major
19,5KAHi98b4bhxoJaYwTdkYp,Sun Is Shining,2019,0.0121,4,125.017,-5.161,0.941,0.561,0.0379,Major
20,0gCUBLmHnhWumLVzwLLavf,Aqui las Colombianas,2020,0.0291,4,127.012,-7.838,0.805,0.804,0.358,Major
21,1NaXrdrI2OkCPAop1tU7Ch,Tamo Loco,2022,0.112,4,124.004,-4.015,0.968,0.749,0.475,Minor
22,5qGbv8Lcc8yiSjtmMUmra5,Coco Bongo,2017,0.912,4,124.995,-5.362,0.946,0.714,0.695,Minor
23,136maAza1xEbRcAXD60Rpk,Guarachando - Tech Mix,2022,5.21e-06,4,123.979,-4.316,0.949,0.788,0.754,Major
24,0KeyDNb75OmHHMMeFYS4ZM,Party People (Radio Mix),2006,2.2e-05,4,130.026,-5.905,0.858,0.729,0.609,Major
25,253Vy9tTPe2ZFLAv3DGKo0,Devi,2023,0.928,4,121.993,-7.533,0.945,0.614,0.423,Minor
26,1anRgdIoPvr8kVnAMJrASt,ININNA TORA,2024,0.869,4,127.016,-5.713,0.96,0.794,0.827,Minor
27,6YvEIuaWAkuLZMI1a2Qy9x,Sete,2022,0.00828,4,125.008,-3.902,0.827,0.736,0.814,Minor
28,0cXQRaRl9UgzZl3O2EfxNn,Breathless,2020,0.785,4,130.012,-3.639,0.956,0.791,0.133,Major
29,3syVGnKqCbGfvtI0cSknMq,Dreaming - D.O.N Tekk Remix Edit,2008,0.613,4,128.033,-6.565,0.837,0.759,0.684,Minor
