,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2IhIMTBwCX28qWZjM1we76,I Want to Go to Hell,2010,0.944,4,116.981,-8.598,0.889,0.5,0.579,Major
1,2tSN7oOGflPGtl7SGkuGVc,God Is in the Rain,2010,0.615,4,126.011,-2.241,0.97,0.445,0.143,Major
2,2BfWQuJyisg1pAExo2mBVK,Society,2006,0.881,4,132.0,-5.235,0.985,0.591,0.764,Minor
3,7zS4cZCN76y09nhQwvKRbm,Nazis auf Speed,2013,0.00679,4,127.009,-3.741,0.984,0.688,0.64,Major
4,0TZHr5VaPg3KsMEV52d6jV,Inside Out,2005,0.582,4,129.025,-6.366,0.955,0.473,0.513,Major
5,6KcFfWpavg70J3APCuNWML,Zerstörer,2011,0.835,4,134.97,-8.815,0.856,0.786,0.975,Major
6,5BPpMjVqRjTQdjo772YKPn,Never Surrender,2010,0.0222,4,135.017,-7.813,0.699,0.695,0.208,Major
7,0SaIRcl0mw9l8mFz14qg6s,This is Deutsch - SITD Remix,2008,0.244,4,115.028,-6.446,0.908,0.706,0.802,Major
8,6UzbCEoThoNe8Upe4sn3Us,Bloodsport,2009,0.811,4,123.029,-6.835,0.673,0.579,0.172,Minor
9,1LEVqv0ugmJtrwgZqs10Ix,Harsh Generation,2007,0.0,4,139.98,-5.293,0.991,0.489,0.691,Major
10,5lIPwGYdr544OGLC3GB7G2,War,1997,0.13,4,139.971,-4.18,0.981,0.526,0.526,Major
11,4NFe9UFOhJzdnBTpqnS30P,Exterminate Annihilate Destroy,2005,0.462,4,122.016,-5.747,0.922,0.569,0.249,Minor
12,0g1bfdcO6PKM4VEH8UFptC,The Gates of Oblivion,2017,0.661,4,100.004,-5.336,0.953,0.406,0.1,Major
13,6WgHyWhdm2R6O0uNcCeMwn,Killing Fields,2008,0.38,4,142.002,-4.768,0.992,0.529,0.595,Major
14,5tfVH7jQWJEdwUGO9rfRWv,Parasitic,2006,0.644,4,108.001,-11.285,0.851,0.589,0.256,Major
15,6X4kGWGlfTtZ2PVuT01KER,Behind the Curtain,2019,0.874,4,128.011,-9.489,0.972,0.506,0.1,Minor
16,4Fx6fCdpi79LYoS3PyDrXq,Military Fashion Show,2006,0.334,4,132.001,-7.595,0.941,0.675,0.705,Minor
17,3vzqky5UQZ4fogg6ncY3Zb,They,2010,0.00991,4,127.005,-7.713,0.823,0.64,0.181,Major
18,0819zWioe0hKh3hJVaIyrK,True Life,2010,0.0185,4,133.838,-5.096,0.86,0.516,0.346,Major
19,5m9P2ilcKkcd6T7bISuviB,Twist the Thorn,2010,0.431,4,140.054,-7.489,0.95,0.484,0.541,Minor
20,12g8ZUyGL6bbOVr2uJ3ieV,Hate This,2007,0.000295,4,134.995,-4.603,0.98,0.603,0.297,Major
21,4YTEOGNYAnxbDjZ7PieWPX,Schmutzfabrik,2013,0.485,4,119.989,-2.945,0.992,0.653,0.869,Minor
22,0f8UJI1osudTTdB7CRh7bF,Control,2011,0.00984,4,140.056,-7.002,0.82,0.674,0.221,Major
23,3Xgb8T8B7873IUtTT5Kpe4,Die Motherfucker Die,2010,0.184,4,135.046,-3.194,0.974,0.449,0.102,Minor
24,2Q4mRo3ZqWHUCKn4vsnyKJ,We Will Kill Them All,2009,0.114,4,119.869,-13.397,0.52,0.404,0.255,Minor
25,6cUbJ5PeNU0Llsl7RJcNnQ,Hard And Dirty,2008,0.725,4,141.951,-7.735,0.859,0.511,0.352,Major
26,5hUXk4avvJ7a1vjbsS0Kiq,Dr. Online,2001,0.0137,4,130.181,-5.503,0.851,0.472,0.397,Minor
27,49Au7RQYLZ8lAq3WxkdPjE,Shining Star,2011,0.643,4,136.997,-6.299,0.873,0.552,0.847,Minor
28,4uNJjPNRo4xxe0ui4L4SUG,Satans Propaganda,2014,0.00236,4,134.977,-4.475,0.959,0.525,0.222,Minor
29,78cQDh4thpWSE4DeTCBeDE,Such mich find mich,2012,2.67e-05,4,127.023,-4.211,0.885,0.676,0.618,Minor
30,23i9BPe9Db5o1oxl0zlHrt,"Where Words Fail, Hate Speaks",2010,0.96,4,140.039,-6.957,0.951,0.447,0.409,Minor
31,3lzwPqFExEt9xXEkFrIk5Y,Soilbleed (V.3),2005,0.000886,4,134.988,-3.769,0.959,0.487,0.353,Major
32,7C65H1B9iy8iknrpFL2CtQ,Robo Sapien,2013,0.271,4,119.996,-2.991,0.997,0.518,0.395,Major
33,2c3YMLhVxJqIlOdDQHO7yx,Christfuck,2001,0.0342,4,107.974,-5.885,0.916,0.518,0.446,Minor
34,5di7Z8udfTM6vLUkCJBDkW,The Pleasures of Sin,2010,5.83e-05,4,75.008,-3.648,0.996,0.484,0.041,Minor
35,0SnFhJe73r0Hi2QzqTcvH2,Waiting to Be Born,2009,0.543,4,136.016,-7.1,0.865,0.577,0.387,Minor
36,1ngCV8TJmcHedtJfE0tX7p,Dead Enough For Life,2004,0.0125,4,135.011,-6.351,0.94,0.58,0.897,Minor
37,6keLXYsdMEyeLW51l9wI0Y,Absence,2017,0.0612,4,126.02,-4.737,0.944,0.598,0.698,Major
38,0tP42TMLyvVIUiAFbg6ZCq,Love You to the End,2006,0.0102,4,135.024,-7.269,0.992,0.632,0.702,Minor
39,7zP3jneBxeWNZxC2SIsAlY,From My Cold Dead Hands,2014,0.0123,4,128.02,-5.041,0.891,0.525,0.446,Major
40,66tZtZgSFNopMAVQvbN6rW,Timekiller - Video Edit / Original,2001,0.109,4,130.021,-5.999,0.922,0.548,0.139,Major
41,2gs8qGLoQzfMt43eulghK5,Hey... It's Me,2010,0.947,4,134.047,-8.754,0.636,0.426,0.0928,Major
42,6UsI6UZ9UlnhJ6hXJeBaLg,Dirty,2007,0.776,4,139.988,-5.335,0.987,0.495,0.197,Major
43,1BjZK4lVUuqCuRYq7Z5W7o,Gott Noch Nicht,2013,0.027,4,128.026,-6.088,0.93,0.609,0.772,Major
44,6rfFwtR90nxgC1VMBV5tjh,Soylent Green,2005,0.323,4,121.932,-4.763,0.934,0.588,0.63,Minor
45,0S5wwKDHMvBpCO9f70kgCC,Unterwelt,2013,0.00141,4,145.024,-4.153,0.907,0.467,0.0358,Minor
46,0KGFddgaFba9VUZ210obEu,Not the World I Remember,2008,0.554,4,133.988,-3.915,0.998,0.583,0.832,Minor
47,3NIZPk60YaCYz5i2NCLaVZ,Existence In Progress,2004,0.355,4,134.992,-8.263,0.957,0.526,0.789,Major
48,3Q4UGukh1MwH4ScouPYZXB,War on Error,2009,0.554,4,124.002,-5.45,0.93,0.624,0.533,Major
49,2i7A0IK95x5RVw0amUYoM0,Stand the Pain,2006,0.635,4,135.033,-6.158,0.976,0.408,0.767,Minor
