,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5EhsdUx1N4JTcokotQT71c,ORION,2024,0.885,4,137.013,-3.333,0.987,0.663,0.294,Minor
1,0tP42TMLyvVIUiAFbg6ZCq,Love You to the End,2006,0.0102,4,135.024,-7.269,0.992,0.632,0.702,Minor
2,53vzkgmSyJAWb4zxKG7UrC,Invictus,2023,1.05e-05,4,125.035,-6.036,0.94,0.531,0.276,Major
3,7zS4cZCN76y09nhQwvKRbm,Nazis auf Speed,2013,0.00679,4,127.009,-3.741,0.984,0.688,0.64,Major
4,297in4fZqWvilokR586DlB,New Generation (The Official Nature One Anthem 2024),2024,0.576,4,139.986,-4.234,0.94,0.668,0.272,Major
5,2jJIxT6WAIVWzDo3Ou53Q0,Pursuit,2013,0.926,3,108.982,-4.822,0.934,0.682,0.0708,Major
6,2tSN7oOGflPGtl7SGkuGVc,God Is in the Rain,2010,0.615,4,126.011,-2.241,0.97,0.445,0.143,Major
7,60Xwc8Mj0G5XpUUf9RMBLv,Beyondsakha - Original Mix,2020,0.881,4,144.983,-9.01,0.949,0.46,0.0348,Major
8,3D4kWF3ZWcO7OtZAtY6HMS,I See The Devil,2022,0.626,4,144.004,-7.57,0.972,0.557,0.092,Minor
9,1ngCV8TJmcHedtJfE0tX7p,Dead Enough For Life,2004,0.0125,4,135.011,-6.351,0.94,0.58,0.897,Minor
10,6rbx24ewWnr5EJAJEYDUmK,XXX,2024,0.5,4,154.952,-4.882,0.976,0.597,0.165,Minor
11,34vs8Nv1UbY63eWgMR1Tb2,Join In The Chant,1987,0.31,4,121.086,-12.057,0.748,0.74,0.611,Minor
12,4Fx6fCdpi79LYoS3PyDrXq,Military Fashion Show,2006,0.334,4,132.001,-7.595,0.941,0.675,0.705,Minor
13,2IhIMTBwCX28qWZjM1we76,I Want to Go to Hell,2010,0.944,4,116.981,-8.598,0.889,0.5,0.579,Major
14,0zK4cjHxWYGISIA1FDqEF7,Walking the Edge,2020,0.752,4,142.006,-6.909,0.976,0.57,0.471,Major
15,4YTEOGNYAnxbDjZ7PieWPX,Schmutzfabrik,2013,0.485,4,119.989,-2.945,0.992,0.653,0.869,Minor
16,6UzbCEoThoNe8Upe4sn3Us,Bloodsport,2009,0.811,4,123.029,-6.835,0.673,0.579,0.172,Minor
17,4kezCWBlcdpp3XdYm1SLfv,Chroma,2024,0.794,4,150.06,-5.651,0.997,0.551,0.0771,Minor
18,2Ns9qqEAYMclhGyfABG8GJ,The Enemy Between My Ears,2023,0.383,4,160.012,-6.752,0.966,0.626,0.497,Minor
19,4H1wK3fwbr0ylcwP7a5I5I,The Source,2005,0.000489,4,139.99,-5.183,0.996,0.507,0.616,Major
20,4ck5sxsVVOxOhqgaKf6RId,Corrupted by Design,2017,0.939,4,125.035,-6.632,0.792,0.37,0.0353,Major
21,4maf83Th40KaTJmwHEVc37,Gangsta's Paradise - Instrumental,2024,0.914,4,160.002,-5.412,0.996,0.654,0.276,Major
22,0SnFhJe73r0Hi2QzqTcvH2,Waiting to Be Born,2009,0.543,4,136.016,-7.1,0.865,0.577,0.387,Minor
23,3iZIki3LcOtyY3Cg5DEllm,Headhunter (V1.0),1988,0.6,4,123.032,-8.753,0.883,0.846,0.828,Major
24,1fi9BN8F15rCUWjAsaMngw,Electric,2019,0.868,4,124.003,-9.271,0.707,0.727,0.532,Major
25,3Xgb8T8B7873IUtTT5Kpe4,Die Motherfucker Die,2010,0.184,4,135.046,-3.194,0.974,0.449,0.102,Minor
26,7C65H1B9iy8iknrpFL2CtQ,Robo Sapien,2013,0.271,4,119.996,-2.991,0.997,0.518,0.395,Major
27,7k05ry9PQo70X449PouEE0,Steine Sind Steine - Bonus Track,2006,0.906,4,128.018,-6.875,0.753,0.634,0.964,Minor
28,5JfscSiPfQHsS8Kc0pbAXd,Throat Full of Glass,2010,1.44e-05,4,99.988,-6.83,0.694,0.627,0.339,Major
