,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,1NNc0c6DKEX33EcjVUBT7W,Untitled,1997,0.417,3,80.358,2.091,1.0,0.135,0.00626,Minor
1,69JwTSs1c2U8Pr03SLW6oc,LAST FOREVER,2023,0.000149,4,123.031,-5.722,0.945,0.588,0.526,Minor
2,0RB7sIbfvi46uaRMhefn3d,Incorruptible,2012,0.932,4,167.578,-3.675,0.748,0.0825,0.119,Minor
3,1RlpmH8DFX3IfNHLcCMpy1,New York Shibaki Terror Conversation - Culture Shock Mix,2006,0.215,4,121.216,-1.105,0.951,0.228,0.0278,Minor
4,7kJHkUc6FyMZkbWXzXUoVc,1000BPM,2016,0.869,5,104.775,1.742,0.998,0.187,0.0252,Major
5,5TivsTSzsboJcqlEzVgeVF,New Wave Dust,2007,0.129,5,113.711,-1.434,0.939,0.316,0.0963,Minor
6,5yM5KbQu19De3FeXnFr6m7,VI,2004,0.961,4,109.932,-7.47,0.801,0.216,0.0394,Major
7,7eAewwhDIvqRKaIuRp71Sv,Hamburger Lady - Remastered,1978,0.844,4,83.065,-20.368,0.591,0.347,0.0399,Major
8,1dxYE2pTXzEDqAc9di762I,1BPM,2023,0.0964,4,82.654,4.797,0.998,0.207,0.0376,Major
9,36LLTBxQfXMt0ifHe0m3Di,SCREAM,2004,0.0148,4,78.961,-4.415,0.98,0.11,0.0337,Minor
10,553wRdV1xctce0VRF3WSC1,Pushing My Back,2023,0.0,4,150.041,-5.259,0.886,0.453,0.765,Major
11,24OLTCZ8PQK5sJJX4oU29A,Nishi - Ogi Punk Waste (Dedicated To Struggle For Pride),2006,0.0781,4,72.801,3.924,0.608,0.064,0.0279,Major
12,5TbO71lo9OGmDGpoWj0UJq,NO WONDER,2023,0.0,4,126.955,-6.124,0.79,0.625,0.543,Major
13,58yJLhOuqrUQ0ygQNoRLzE,Untitled,1997,0.00219,3,70.138,2.333,0.951,0.19,0.0219,Minor
14,0plMzVt18lsk60IviEibDl,Untitled,1997,0.808,3,119.57,2.528,1.0,0.204,1e-05,Major
15,6CdV4LG5sjVmDRvwHr9PXJ,Untitled,1997,0.865,5,99.034,1.798,1.0,0.172,1e-05,Major
16,0zUbzA5d7kzPklgMyHtlOs,Untitled,1997,0.00755,4,62.009,3.848,1.0,0.0588,1e-05,Major
17,20xqWQkI8TBUz1zHCdtEYU,Untitled,1997,0.467,3,182.791,-0.267,0.213,0.206,0.0148,Major
18,11W7dn7AMIc5BGreI19bqL,Untitled,1997,0.784,5,118.97,2.689,1.0,0.172,0.00258,Major
19,7b6WjFmq6zdF6GFeTsrTvI,Untitled,1997,0.949,4,99.713,1.697,0.996,0.167,1e-05,Minor
20,5AZ6y6lyiGbdf0TlkPmxIe,Untitled,1997,0.407,4,135.667,0.314,1.0,0.195,1e-05,Minor
21,0McSzRkGkscvZZrFt5QOTG,Untitled,1997,0.931,4,117.859,2.019,1.0,0.285,0.00357,Minor
22,59vcV4WcHoKODmMQ74ycWw,Untitled,1997,0.84,3,144.724,3.124,1.0,0.141,1e-05,Major
23,6lPQt4CRgILweuBTy1JXNS,Untitled,1997,0.853,4,169.06,3.185,1.0,0.0808,1e-05,Major
24,0cVw6szbcJ7DF8dmbnJd8G,Untitled,1997,0.49,4,118.849,2.383,0.999,0.169,0.000749,Minor
25,3BPSMO18OoCkbC6hEXzWuH,Untitled,1997,0.847,4,100.635,1.389,1.0,0.555,0.0301,Minor
