,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,4H1wK3fwbr0ylcwP7a5I5I,The Source,2005,0.000489,4,139.99,-5.183,0.996,0.507,0.616,Major
1,6WgHyWhdm2R6O0uNcCeMwn,Killing Fields,2008,0.38,4,142.002,-4.768,0.992,0.529,0.595,Major
2,1RD2D0CxVfhlWX2jXx0fem,She Says It Feels Good,2011,0.00135,4,124.938,-4.394,0.891,0.718,0.476,Minor
3,19LzIctOyWtR9J5bh9h82a,Cuttin'n'drinkin' (feat. Grendel),2016,0.807,4,140.023,-9.568,0.655,0.555,0.269,Major
4,2tSN7oOGflPGtl7SGkuGVc,God Is in the Rain,2010,0.615,4,126.011,-2.241,0.97,0.445,0.143,Major
5,1LEVqv0ugmJtrwgZqs10Ix,Harsh Generation,2007,0.0,4,139.98,-5.293,0.991,0.489,0.691,Major
6,7zP3jneBxeWNZxC2SIsAlY,From My Cold Dead Hands,2014,0.0123,4,128.02,-5.041,0.891,0.525,0.446,Major
7,7f7pbTMXRwUkBsYXul8ZXo,Like a Prayer,1992,1.69e-05,4,122.111,-9.117,0.77,0.716,0.816,Major
8,7lIPktnf4GIAT1zl9hhcVD,The Noise Inside My Head,2012,0.11,4,125.997,-7.583,0.865,0.501,0.727,Major
9,4oSMbFj0JtPnlqQ0kxn8KL,Welcome to Paradise (V1.0),1988,0.645,4,119.956,-8.49,0.961,0.752,0.727,Major
10,1ngCV8TJmcHedtJfE0tX7p,Dead Enough For Life,2004,0.0125,4,135.011,-6.351,0.94,0.58,0.897,Minor
11,34vs8Nv1UbY63eWgMR1Tb2,Join In The Chant,1987,0.31,4,121.086,-12.057,0.748,0.74,0.611,Minor
12,0KGFddgaFba9VUZ210obEu,Not the World I Remember,2008,0.554,4,133.988,-3.915,0.998,0.583,0.832,Minor
13,2UEpWaKLkRc9fS4c61VPNd,Not Human,2010,0.921,4,194.021,-6.778,0.978,0.435,0.705,Major
14,69VdTg92KUlCOMkevQbRYr,Ein Blick zurück im Zorn,2013,0.051,4,171.998,-3.193,0.973,0.469,0.942,Minor
15,0S5wwKDHMvBpCO9f70kgCC,Unterwelt,2013,0.00141,4,145.024,-4.153,0.907,0.467,0.0358,Minor
16,5EnztfrsZvujuxDZw8xWvg,Timewave : Zero,2012,0.0154,4,142.009,-4.221,0.998,0.489,0.248,Minor
17,0qa8DQaQgvwNavDCOBExy1,Caustic Disco (Mindless Faith Remix),2010,0.712,4,127.013,-5.476,0.934,0.557,0.42,Major
18,350sdMu4T11irOnchdN4gI,Antibody,2014,0.0,4,119.988,-4.713,0.952,0.601,0.955,Minor
19,5zSCXTw1s4C2m9FlUhfoE4,Enemy of the State,2005,0.116,4,139.95,-11.008,0.799,0.55,0.107,Major
20,3Q4UGukh1MwH4ScouPYZXB,War on Error,2009,0.554,4,124.002,-5.45,0.93,0.624,0.533,Major
21,1WUFQHi38CARXRr8TNPOMy,Bass Alert,2008,0.909,4,132.992,-5.998,0.951,0.619,0.141,Major
22,0eBlkkenpIUKzDHQJihrRG,Control I'm Here,1989,0.445,4,125.008,-13.262,0.878,0.727,0.847,Minor
23,6Z2ps8z6l8v87GcUjaVfBY,The Heart of America,2008,0.403,4,138.013,-4.699,0.978,0.617,0.367,Minor
24,7mngU0dX72gXLn7E2tE0VB,Altered States,2010,0.724,4,128.979,-6.764,0.989,0.587,0.472,Major
25,2pCEaJskwTTp7omAyUKvR0,Da Ya Think I'm Sexy?,1993,0.296,4,108.028,-8.433,0.779,0.691,0.496,Major
26,5di7Z8udfTM6vLUkCJBDkW,The Pleasures of Sin,2010,5.83e-05,4,75.008,-3.648,0.996,0.484,0.041,Minor
27,39cxoU9cYmuyA7GaP44XXa,Out of My Mind,2012,0.000788,4,142.033,-4.27,0.999,0.494,0.144,Major
28,0S2BRh2YinAp7SVZzaf1eo,Retaliate,2013,0.718,4,119.989,-5.141,0.928,0.572,0.476,Minor
29,6K5sR4pCwYIT5q3kSvp7dH,The Dark Half,2014,4.25e-05,4,133.998,-3.986,0.998,0.605,0.448,Major
30,3NIZPk60YaCYz5i2NCLaVZ,Existence In Progress,2004,0.355,4,134.992,-8.263,0.957,0.526,0.789,Major
31,53xkRZJQdBu4zsB6vtzcHe,Naked,2001,0.0878,4,125.032,-11.236,0.803,0.532,0.272,Major
32,5BuAqupLejCXphNbqMXvqQ,Weltfremd,2007,0.474,3,134.994,-4.72,0.998,0.492,0.833,Major
33,0mNNKm9GhnvwygmsNpCM0b,Boombox,2012,1.24e-06,4,127.969,-5.009,0.938,0.641,0.471,Minor
34,6IsEBJp35ci9Co3f2JmP1G,Perfect War,2006,0.836,4,131.028,-5.451,0.927,0.56,0.544,Major
35,57pOd6F1u7mFpZspuUzLth,Flesh to Lacerate,2010,0.938,4,133.99,-8.095,0.925,0.4,0.291,Major
36,2JuwWWBWayts3yAHjL878c,War on Error - Declaration,2009,0.00592,4,124.056,-4.832,0.908,0.567,0.334,Major
37,4qEpDUsyVWlWXNQKB78zJO,Attention Whore,2012,0.305,4,130.016,-5.307,0.949,0.356,0.247,Minor
38,4MPzdY0ubmyCHPZ0t54bUE,Void Malign,2007,0.00584,4,135.97,-5.985,0.99,0.5,0.398,Minor
39,6rfFwtR90nxgC1VMBV5tjh,Soylent Green,2005,0.323,4,121.932,-4.763,0.934,0.588,0.63,Minor
40,6ezelKyL04McbLoPANGrQe,The Firm,2013,0.0318,4,74.996,-5.829,0.988,0.495,0.749,Major
41,2FApKsoJhhRnA1HobrwUuy,Consumer,2004,0.959,4,135.99,-6.736,0.874,0.638,0.667,Minor
42,1oa7FftQZhcJfYYnfH5Rlz,Murderous,1987,0.0015,4,131.236,-14.203,0.829,0.549,0.896,Major
43,7D5SH6KSuQ4hepj3sy9vaK,Drive,2002,0.0182,4,129.98,-8.88,0.858,0.519,0.406,Minor
44,6cUbJ5PeNU0Llsl7RJcNnQ,Hard And Dirty,2008,0.725,4,141.951,-7.735,0.859,0.511,0.352,Major
45,4za3NTMyDiUpj1O0lHMYMG,Urnensand,2007,0.709,4,137.996,-3.915,0.997,0.482,0.639,Minor
46,5m9P2ilcKkcd6T7bISuviB,Twist the Thorn,2010,0.431,4,140.054,-7.489,0.95,0.484,0.541,Minor
47,7sm8fNbJtNRyfMAhsQcVA9,Maschinerie,2006,0.0179,4,135.038,-5.879,0.968,0.657,0.45,Major
48,2BfWQuJyisg1pAExo2mBVK,Society,2006,0.881,4,132.0,-5.235,0.985,0.591,0.764,Minor
49,12g8ZUyGL6bbOVr2uJ3ieV,Hate This,2007,0.000295,4,134.995,-4.603,0.98,0.603,0.297,Major
