,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,0plMzVt18lsk60IviEibDl,Untitled,1997,0.808,3,119.57,2.528,1.0,0.204,1e-05,Major
1,0RB7sIbfvi46uaRMhefn3d,Incorruptible,2012,0.932,4,167.578,-3.675,0.748,0.0825,0.119,Minor
2,36LLTBxQfXMt0ifHe0m3Di,SCREAM,2004,0.0148,4,78.961,-4.415,0.98,0.11,0.0337,Minor
3,6i2ZiqoCqEPzjX3ShJ3hHR,Six Six Sixties - Remastered,1979,0.674,4,138.928,-14.806,0.538,0.565,0.462,Major
4,3lyQr71yo5LFqRNT3Xd8vE,Inverted,2013,0.689,3,110.451,-12.538,0.683,0.625,0.438,Minor
5,3BCSj3f5CdXCPNB34zD0Xx,Sound Disturbances,2023,0.127,4,112.825,-2.902,0.684,0.208,0.0396,Major
6,0CcvVVtZtnMXtPHyf6NjVj,Total Abuse (Demo),2023,0.916,4,159.964,-4.904,0.744,0.195,0.195,Minor
7,5yM5KbQu19De3FeXnFr6m7,VI,2004,0.961,4,109.932,-7.47,0.801,0.216,0.0394,Major
8,0Q8TdjAmI2UQzL9BJVssjN,Pursuit of Dignity,2016,0.856,4,179.898,-4.337,0.752,0.207,0.349,Minor
9,2D9vrsvbEcS8ysSgqfb0cU,Alles wieder offen,2007,0.137,4,142.981,-9.12,0.715,0.696,0.657,Major
10,3rKBLRvkg6iJawCOOEWfsa,EXTACY - REMiX,2021,0.878,4,99.482,-2.831,0.883,0.466,0.256,Minor
11,5iqrS810VqTopv50q0zn23,City Song,2018,0.658,4,149.823,-11.621,0.607,0.489,0.182,Minor
12,0I6hg2n7nhRJN3P4pGZhg7,20 Jazz Funk Greats - Remastered,1979,0.666,4,76.765,-27.331,0.105,0.589,0.842,Major
13,4wt6Q0s2tgWc5GcSYZgYLP,Stoltz,2000,0.924,1,101.526,-12.021,0.259,0.215,0.0314,Minor
14,7eAewwhDIvqRKaIuRp71Sv,Hamburger Lady - Remastered,1978,0.844,4,83.065,-20.368,0.591,0.347,0.0399,Major
15,0McSzRkGkscvZZrFt5QOTG,Untitled,1997,0.931,4,117.859,2.019,1.0,0.285,0.00357,Minor
16,0cVw6szbcJ7DF8dmbnJd8G,Untitled,1997,0.49,4,118.849,2.383,0.999,0.169,0.000749,Minor
17,58yJLhOuqrUQ0ygQNoRLzE,Untitled,1997,0.00219,3,70.138,2.333,0.951,0.19,0.0219,Minor
18,6lPQt4CRgILweuBTy1JXNS,Untitled,1997,0.853,4,169.06,3.185,1.0,0.0808,1e-05,Major
19,6CdV4LG5sjVmDRvwHr9PXJ,Untitled,1997,0.865,5,99.034,1.798,1.0,0.172,1e-05,Major
20,7b6WjFmq6zdF6GFeTsrTvI,Untitled,1997,0.949,4,99.713,1.697,0.996,0.167,1e-05,Minor
