,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2qgTvtCVbQ18SQ4ZDVUlMB,O,2009,0.177,4,139.993,-5.142,0.952,0.546,0.556,Major
1,3MmAMXCl5e3oJFMzhpfXkM,Keep Hope Alive,1997,0.891,4,125.035,-9.097,0.971,0.545,0.35,Major
2,6pjNPFhhzSho4EYffiV8Pa,Injected with a Poison,1996,0.246,4,139.955,-2.812,0.995,0.554,0.443,Minor
3,76rlHY5gLtEnlu8odEM05a,Gangster Trippin,1998,0.00276,4,101.775,-8.644,0.861,0.717,0.739,Major
4,6nGUM3Z0FNJZW9wbNj97Ig,Block Rockin' Beats,2008,0.5,4,109.41,-3.642,0.977,0.606,0.809,Major
5,2SgWbfclzWv42aJDXnVGAX,Ain't Talkin' 'Bout Dub,1997,0.0245,4,164.033,-5.814,0.941,0.537,0.736,Major
6,18Wv26G3ofd8eqa2xSVS8i,Feeling so Real,1995,0.0651,4,162.99,-6.944,0.651,0.378,0.402,Major
7,3QSQbRPGDky3vRmXVeP8iU,Digeridoo,1992,0.857,4,146.083,-8.9,0.973,0.523,0.577,Minor
8,6c21bVRfGC8IOXvQVQ2UTb,Forbidden Feelingz,2024,0.157,5,108.982,-7.364,0.796,0.512,0.551,Minor
9,3aiycOKS6P30BnR7dUfrnA,Granite,2008,0.703,4,174.089,-6.349,0.925,0.392,0.2,Major
10,2TpPnvQPkXRaY1q7kVbeJ4,Vale,2017,0.783,4,127.996,-7.775,0.576,0.566,0.155,Minor
11,3XqCWgqADuzm2faQPjdH8s,Invaders Must Die,2009,0.903,4,140.054,-5.175,0.895,0.592,0.082,Major
12,0wcPVFqUw4435IwsQtLLTy,Trip Like I Do,1997,0.377,4,120.002,-9.149,0.91,0.337,0.152,Minor
13,3ajbqS54UTMweMp1x24DFN,Atom Bomb,1997,0.379,4,110.011,-8.777,0.915,0.5,0.348,Minor
14,0WKWG0jRr62dzriEHu53S9,Roadhouse Blues - Crystal Method Remix,2007,0.0654,4,132.441,-8.487,0.837,0.65,0.465,Major
15,7lENQT9IZUf8sGchUKfmBJ,I'm a Man,2004,0.00638,4,130.7,-8.127,0.878,0.813,0.765,Minor
16,2Xhd1kYKj2aee7JR3nIlRe,Go,2015,2.88e-05,4,119.97,-3.598,0.897,0.751,0.482,Major
17,1kUxruE88tcUziQDD122h8,All That Funk!,2016,0.874,4,107.982,-6.757,0.878,0.79,0.966,Minor
18,0c6XBVz2evmzERhch4Diew,Oh My (feat. Moby),2023,6.76e-05,4,171.966,-5.223,0.902,0.445,0.439,Minor
19,78Ct2qlEtSMw3CG6zWwAyz,Anasickmodular,2019,0.945,4,139.088,-11.629,0.567,0.667,0.338,Major
20,0CjJJrpnQCpQMsT4nzezII,Halo,2023,0.00233,4,174.065,-5.725,0.888,0.422,0.439,Major
21,5BGTfgBLQAhfFXIGSFsFz5,Hypest Hype,2011,1.42e-05,4,140.154,-3.443,0.953,0.598,0.516,Major
22,65m3XlmjBPioRtWxmdyIDB,Spitfire,2004,0.583,4,119.089,-2.703,0.924,0.563,0.26,Major
23,4XKEVz0X1BIDhCAfb782tm,Name Of The Game,2001,0.724,4,181.957,-4.086,0.933,0.522,0.679,Major
24,5C7rx6gH1kKZqDUxEI6n4l,Absurd,1997,0.481,4,125.047,-8.666,0.96,0.543,0.422,Minor
