,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2F2p7b5Xq20mRyEeWYaeUF,Substitution (feat. Julian Perretta),2023,1.61e-05,4,124.018,-4.866,0.89,0.69,0.713,Minor
1,3SnGymj6ijE2iuUfWxLo1q,I'm Coming Out,1980,0.429,4,110.071,-9.211,0.828,0.72,0.768,Major
2,3E7ZwUMJFqpsDOJzEkBrQ7,Can't Get You out of My Head,2001,0.683,4,126.007,-7.516,0.563,0.766,0.964,Minor
3,5KgbyD2lQQlIupAaPjgiXg,"Night Fever - From ""Saturday Night Fever"" Soundtrack",1979,0.000952,4,109.121,-7.224,0.795,0.733,0.892,Minor
4,4YOJFyjqh8eAcbKFfv88mV,Y.M.C.A.,1978,0.0,4,126.361,-10.926,0.785,0.75,0.752,Major
5,3HUDCgZgaY3ZVWohToy4LJ,Toca Toca,2013,3.21e-05,4,125.982,-4.588,0.611,0.907,0.926,Minor
6,0OTO8ZF2YqFQVw9hnZylTd,"What Is Love - 7"" Mix",1993,0.0156,4,123.869,-7.907,0.772,0.683,0.738,Minor
7,5Q6GRDSFdRwE7H37dQop9u,Funkytown - Single Version,2023,0.833,4,122.664,-8.865,0.591,0.915,0.315,Major
8,6ju5Ntn5pYksvkKxVkjEPK,Never Going Home,2022,0.0897,4,122.027,-4.702,0.842,0.839,0.96,Major
9,2He3NOyqtLNE3RQPpeDdSb,Groove Is in the Heart,1990,0.0196,4,121.554,-4.053,0.881,0.694,0.924,Minor
10,3ElGRG3DqSzzkh1b2wnbzf,We Could Be Together,2022,1.06e-05,4,125.893,-4.491,0.778,0.706,0.376,Major
11,1NpIUD4KqHaMT91kw0YV40,Honey Boy (feat. Nile Rodgers & Shenseea),2024,9.38e-05,4,119.984,-5.468,0.8,0.724,0.925,Minor
12,0uqvSVhGgQTIdj9G51vhvv,Finally,1992,0.0,4,120.066,-11.128,0.658,0.791,0.842,Major
13,44MuEHdlociG8KjhPhOVw5,Padam Padam,2023,0.00119,4,128.105,-7.931,0.621,0.744,0.701,Major
14,6PgwqtSYBDezyo8AwyWDbv,Can't Take My Eyes Off of You - Radio Edit,2000,0.000941,4,129.959,-4.406,0.949,0.732,0.837,Major
15,6bXFXDYcwHiuvW1IDayCPA,The Summer Is Magic (Radio Mix),1994,0.129,4,133.831,-7.846,0.936,0.694,0.924,Minor
16,1BqnZOkYJbvYLOhN0qPJDm,Ma Baker,1977,2.18e-05,4,128.976,-6.009,0.76,0.746,0.902,Minor
17,1vCBk33l9HaWp5FOnhSGxk,I Feel Love,1977,0.691,4,126.696,-15.581,0.711,0.674,0.961,Major
18,03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),2012,0.0,4,132.067,-2.871,0.937,0.727,0.749,Minor
19,2foOeJLKSvepjHEkb4NR8N,Think About the Way,1994,0.00058,4,132.993,-8.9,0.713,0.764,0.67,Minor
20,34jtsFqKNRSJFa0r6ZRqQh,Last Night a D.J. Saved My Life,2012,2.93e-05,4,112.682,-7.509,0.657,0.849,0.864,Major
21,2goLsvvODILDzeeiT4dAoR,Believe,1998,0.0,4,132.975,-6.72,0.917,0.652,0.459,Major
22,1uI848raFaNWwe9HjHpjQ5,Boys - Summertime Love,1988,0.476,4,119.862,-10.539,0.679,0.835,0.936,Minor
23,1LY3GhF0zxIVgbYEQjCbUO,The Sound of Silence - CYRIL Remix,2024,0.0,4,125.963,-4.379,0.721,0.68,0.244,Minor
24,0LbZxI8FZU1E48EqF9XgC0,Happy Music,2023,0.379,4,123.993,-5.86,0.737,0.777,0.891,Minor
25,75UUG6x5zQe0gCVOiQpa6X,In The Dark,2022,3.67e-05,4,115.936,-5.628,0.763,0.691,0.771,Minor
26,43ZH8S5xu7DLMlr82lpXXn,Ritmo - Ritmo Original Cut,2007,0.0192,4,136.046,-5.849,0.836,0.685,0.506,Major
27,3WMbD1OyfKuwWDWMNbPQ4g,Daddy Cool,1976,0.79,4,124.431,-6.932,0.777,0.763,0.929,Minor
28,2XbwFs07dfm2MGQuYmRMZT,Rapper's Delight,2010,1.09e-05,4,111.782,-11.665,0.692,0.917,0.819,Major
29,0csz09qS2n8Jo7LogHKu7j,Tondo,2020,0.117,4,132.001,-7.153,0.92,0.675,0.842,Minor
30,37d8O4cIq36tssCoJnhJxg,Boogie Shoes - 2004 Remaster,1975,0.379,4,119.533,-10.725,0.801,0.931,0.971,Major
31,4ZnkygoWLzcGbQYCm3lkae,Rush,2023,9.09e-05,4,125.991,-7.682,0.841,0.728,0.402,Minor
32,5yzeBE4O1NV5sMm0GzbKYn,Surrender - Birretta Edit,2007,0.0948,4,130.212,-4.437,0.964,0.747,0.892,Minor
33,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,2022,5.57e-06,4,121.985,-4.984,0.797,0.845,0.422,Major
