,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2aYryJEl86lIZWCS6X1CUm,The Cure & The Cause - Radio Edit,2006,0.631,4,126.995,-8.068,0.804,0.733,0.924,Minor
1,6wetvpPWooBdmAEOKnDhpo,Dreamer - Janice Robinson Vocal,1997,0.0,4,127.372,-7.166,0.762,0.74,0.832,Minor
2,6xp1u6ZEHXX8DxJIFFrVoP,Little Things x Gypsy Woman - L BEATS MASHUP,2023,6.91e-06,4,126.935,-5.204,0.879,0.644,0.808,Minor
3,2Np6ZbVFXfhlk3Oin6i92t,Flowers - Sunship Edit,2001,0.00547,4,131.861,-5.263,0.965,0.746,0.915,Minor
4,4zsmbCgzPCS93IWeZlnBSZ,You & Me,2013,0.319,4,129.991,-5.097,0.854,0.777,0.601,Minor
5,56UNoQz1kXeBZeqmQbFpYe,Body Groove - Mix Mc Version,2000,5.59e-06,4,132.955,-7.911,0.707,0.872,0.92,Major
6,7oysiJ2yYjVYzrGSmIEzME,"No Good 4 Me (feat. Megaman, Romeo and Lisa Maffia)",2000,0.0175,4,134.005,-9.041,0.839,0.735,0.815,Minor
7,3cCjEDTIWSNr5stzGhiRWI,Dy-Na-Mi-Tee,2002,0.0,4,158.475,-8.615,0.576,0.543,0.597,Minor
8,1LC6p9xSpZBogQMqlWZ5SZ,Get Out My Head,2011,0.223,4,138.077,-3.133,0.405,0.742,0.79,Minor
9,2ZdBKCs47s8LxMUPU499vc,Clint Eastwood - Ed Case / Sweetie Irie Refix,2001,0.000253,4,131.908,-4.802,0.711,0.82,0.905,Major
10,6DoenX36UcAKSp6wR9UKxM,Blinded by the Lights,2004,0.0,4,133.046,-5.718,0.701,0.599,0.669,Minor
11,4TY2rJmQO2z0GwJna0kbTA,Just In Case - Dub-A-Holics Roller's Revival Mix Edit,2019,0.00264,4,133.006,-8.334,0.7,0.683,0.766,Minor
12,6TyXieyAu2z51H6VMPKRI4,Stereo Love - UK Radio Edit,2010,0.0322,4,127.085,-2.976,0.873,0.803,0.728,Major
13,5JcaA4A9ZoXthwEnxOxWvP,Psychotic Reaction,1966,0.0199,4,164.896,-6.641,0.753,0.358,0.688,Major
14,023lag1AgeOf7YChojecRu,Gotta Get Thru This - D'N'D Radio Edit,2002,0.000122,4,133.592,-5.076,0.764,0.838,0.924,Minor
15,5YgCmkSdGukXqK3fJlX4pQ,I Had Too Much to Dream (Last Night),1967,1.3e-06,4,147.743,-12.927,0.554,0.358,0.419,Minor
16,5l98YzTS2wpzuKJipFXVmR,Little Things,2023,0.00086,4,134.962,-7.182,0.78,0.843,0.652,Minor
17,4UYrVcOhdVQ2L0ZwYliXNH,Bound 4 da Reload - Casualty,2000,0.114,4,133.166,-6.598,0.938,0.852,0.758,Major
18,0grFc6klR3hxoHLcgCYsF4,Howlin' for You,2010,0.0783,4,132.627,-6.646,0.735,0.705,0.448,Major
19,11M8c9SHQYpd8DOrmcu25k,Beg for You (feat. Rina Sawayama),2022,2.97e-06,4,128.036,-5.091,0.945,0.788,0.466,Major
20,0iA3xXSkSCiJywKyo1UKjQ,Louie Louie,2006,0.0,4,122.394,-9.818,0.709,0.623,0.948,Minor
21,0K2PQziTagDXHiCFPqoE82,JOY (Back On 74),2023,0.499,4,136.98,-8.113,0.826,0.72,0.498,Minor
22,412luShbmlgqqgYFStIB1s,Wish You Were Mine - Radio Edit,2014,0.0901,4,123.002,-4.164,0.832,0.654,0.407,Minor
