,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,4Ace8alexaAj3QHwprUqQq,"Rave, Rinse, Repeat",2021,0.0101,4,172.033,-2.917,0.995,0.462,0.107,Major
1,1oZFFYpIE8F6URSSmH6vQZ,Used & Abused - Amnesia Mix,1996,0.909,4,178.45,-6.241,0.918,0.62,0.55,Major
2,75d0ROZttg9STTFZe5HtA1,Good to Go,1997,0.118,4,175.013,-5.022,0.984,0.546,0.507,Major
3,3JG9rMOsoMjXEgUtShOvtK,The Same Son,2008,0.0148,4,76.957,-5.379,0.79,0.309,0.265,Major
4,63GJDO5mxiFP1ZQEpdUWRd,The Remedy,2017,0.000196,4,183.985,-3.366,0.995,0.356,0.167,Minor
5,4SR46lHTitWMTzRTwsFIa6,Irrenhaus,2021,0.0,4,154.953,-3.898,0.878,0.446,0.233,Minor
6,7MDdNX2chYjFWRp2Gj2eHb,Friends Turbo,2011,0.786,4,176.037,-4.606,0.987,0.36,0.687,Major
7,1jE88GZBfLFkRrlzQhB2DY,Blackened Sun,2017,0.00478,4,94.408,-3.66,0.949,0.288,0.256,Major
8,5lCKCUZ9P2mgNBtC9N87Lk,I Feel So,2021,0.00862,4,76.586,-6.796,0.957,0.325,0.401,Minor
9,40GnDIPgp0XbnSFcqUAnUE,Do Yourself A Favor,2011,0.039,4,93.494,-4.497,0.948,0.482,0.478,Major
10,327WXOY26JOPcjRVMSZsY1,No Love/No One,2019,0.0,4,137.395,-3.909,0.951,0.356,0.264,Major
11,2JXu6sJxvmlruASa9oiyMG,Engeltje,2019,0.000538,4,154.986,-6.314,0.879,0.667,0.351,Major
12,2JkoLTsjvCLaPq6iYGon0q,Have You Ever Been Mellow - Flamman / Abraxas Radio Mix,1996,0.85,4,171.576,-6.033,0.959,0.622,0.468,Major
13,0oD7vsrHsBHiUMIBEa5EmK,Nobody,2015,0.000561,4,171.018,-5.841,0.967,0.39,0.165,Major
