,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2mkBHN67xLpHrpqOuj79Yz,Chase the Sun,2003,0.028,4,128.014,-7.511,0.765,0.591,0.485,Minor
1,2aYryJEl86lIZWCS6X1CUm,The Cure & The Cause - Radio Edit,2006,0.631,4,126.995,-8.068,0.804,0.733,0.924,Minor
2,4OIMUs3KgUh77mjzJ8I5f9,The Bomb! (These Sound Fall into My Mind) - Radio Edit,1995,0.389,4,125.935,-3.804,0.881,0.781,0.868,Minor
3,3Nxw6eeFpBwUbxVuSY6NC0,Chillin',2001,0.000446,4,124.971,-5.559,0.89,0.58,0.909,Major
4,1EWsVHU4FNAdtN4R8FETag,Push The Feeling On - Mk Dub Revisited Edit,1995,1.96e-05,4,123.017,-13.108,0.5,0.793,0.833,Minor
5,3UZK9yD18Mtzb6MgYBmuLW,Make Luv - Live,2003,0.568,4,124.832,-4.898,0.881,0.884,0.675,Major
6,4wtR6HB3XekEengMX17cpc,Children,1996,0.817,4,137.064,-10.761,0.755,0.604,0.387,Major
7,0TN9m8rp3ZuNi4JwCKSans,U Don't Know Me (feat. Duane Harden),1998,0.0227,4,129.963,-6.197,0.756,0.742,0.81,Major
8,21qnJAMtzC6S5SESuqQLEK,Pump Up The Jam,1989,4.49e-06,4,124.602,-9.225,0.844,0.885,0.715,Minor
9,0Hx249i8UGY4cWLjmo1eIH,Four to the Floor - Thin White Duke Mix; Short Version,2004,0.0879,4,123.003,-6.856,0.74,0.66,0.62,Major
10,3GjQ7r5SWFnMMbwfp22aF3,You Gonna Want Me,2006,0.00385,4,127.0,-3.865,0.7,0.791,0.562,Major
11,5Nzph7bpgv2GNh2DcVX29T,Show Me Love (feat. Robin S) - Radio Edit,2008,0.0,4,129.971,-4.167,0.854,0.658,0.578,Major
12,4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,2002,2.57e-05,4,117.308,-5.281,0.849,0.73,0.887,Minor
13,6eKyW6xYhzQQLq1Rff5uh2,Such A Good Feeling - Radio Edit,1991,0.00123,4,124.112,-13.164,0.822,0.612,0.954,Minor
14,77jaOS5YDCDGPto5Pomi4h,I Wanna Feel - Radio Edit,2014,0.00194,4,121.999,-6.298,0.896,0.692,0.804,Minor
15,4ua0IepBEISCWwF8dTJvcU,Ghosts 'n' Stuff,2009,0.0598,4,127.996,-6.941,0.617,0.617,0.517,Major
16,48gv7cE3Fs4DNNSgWkbu1f,Coma Cat,2010,0.219,4,118.988,-4.948,0.948,0.614,0.733,Major
17,3fsQv2sCRg2IQTf6fLy5dH,Lengoma,2011,0.00955,4,124.99,-5.737,0.841,0.822,0.472,Minor
18,4gdjZS54vHNBk467zeAqkq,You're Sunshine,2016,0.00962,4,122.985,-6.578,0.921,0.462,0.395,Major
19,2Pb306ZGuBLBG5cN0PHnyW,Strings Of Life (Stronger On My Own) [feat. Kathy Brown] - Radio Edit,2003,0.0126,4,124.959,-4.293,0.905,0.703,0.872,Major
20,5ydeCNaWDmFbu4zl0roPAH,Groovejet (If This Ain't Love) [feat. Sophie Ellis-Bextor],2000,0.0889,4,123.037,-6.802,0.806,0.719,0.626,Minor
21,0yMoJXVP6hFLV71DRVxRTk,Adagio For Strings - Radio Edit,2010,0.939,4,139.976,-8.663,0.916,0.49,0.367,Minor
