,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5aNH8inF5BsbThDeOLs7zs,Feuer frei!,2001,0.346,4,95.141,-3.974,0.966,0.491,0.223,Major
1,5GJtUX7Kez71ipe1OeDKF7,Labyrinth,2008,1.44e-05,4,141.966,-2.611,0.979,0.616,0.542,Major
2,6pfdW2NouUI3ZnugM7r0G0,The Fight Song,2000,0.00026,4,130.058,-3.78,0.985,0.469,0.0368,Minor
3,3pF7ccBtOdiA7eWCTTv2E6,Death Dies Hard,2009,0.00282,4,136.03,-4.262,0.926,0.484,0.297,Minor
4,2qrxKk3y85UpaNcI07LPn9,Scum Of The Earth,2001,0.0089,4,140.01,-4.053,0.968,0.523,0.397,Major
5,3CcUg476efrpBVdhrGUWtd,Fish On,2015,0.594,4,75.014,-5.66,0.933,0.46,0.318,Minor
6,6K7aVJFwIcszcR9IwslSvC,This is Deutsch,2008,0.235,4,114.993,-4.294,0.94,0.759,0.738,Major
7,0m1DJ5Jkv3kdnGrcZsJFmC,Only,2005,0.00488,4,112.15,-5.711,0.807,0.7,0.963,Minor
8,4Fx6fCdpi79LYoS3PyDrXq,Military Fashion Show,2006,0.334,4,132.001,-7.595,0.941,0.675,0.705,Minor
9,3fdaRiQSPRnF21CqcTxPRg,When Is the Future,2018,0.000426,4,106.997,-7.646,0.817,0.612,0.79,Minor
10,66tZtZgSFNopMAVQvbN6rW,Timekiller - Video Edit / Original,2001,0.109,4,130.021,-5.999,0.922,0.548,0.139,Major
11,52XYwQKlXp7scE7KrBBCID,Links 2 3 4,2001,0.0231,4,130.153,-4.774,0.904,0.624,0.649,Major
12,47uoSjqgclu4zjv3TV6aBG,Farben,2016,0.532,4,123.017,-3.386,0.842,0.803,0.657,Minor
13,07YoPdPfhQ62iNztZvOlDY,Disposable Teens,2000,0.0183,4,134.019,-5.016,0.956,0.518,0.283,Major
14,04J3C463zWF1SEGxD8Z4U9,Let Your Body Learn,1987,0.00654,4,130.707,-13.133,0.971,0.712,0.0567,Major
15,4eNnMvUrSu2TRpySjVC0Pv,Superbeast,1998,0.826,4,154.058,-4.421,0.975,0.52,0.329,Minor
16,4qVZBA7jWL23SEWOfKFjiw,Super Charger Heaven,1995,0.33,4,183.958,-5.08,0.954,0.411,0.54,Major
17,6LInXi3g2kWLOE3Hvr0c7Z,Miststück 2012,2012,0.3,4,100.031,-3.516,0.972,0.577,0.789,Major
18,6iuRL2eQNTNQ2trVdbBYsE,Survivalism,2007,0.216,4,129.983,-5.723,0.675,0.618,0.354,Major
19,2pCEaJskwTTp7omAyUKvR0,Da Ya Think I'm Sexy?,1993,0.296,4,108.028,-8.433,0.779,0.691,0.496,Major
20,0f8UJI1osudTTdB7CRh7bF,Control,2011,0.00984,4,140.056,-7.002,0.82,0.674,0.221,Major
21,2i7A0IK95x5RVw0amUYoM0,Stand the Pain,2006,0.635,4,135.033,-6.158,0.976,0.408,0.767,Minor
22,3gVhsZtseYtY1fMuyYq06F,Sonne,2001,0.000133,4,75.098,-4.806,0.917,0.51,0.313,Minor
23,7Kx1m2vb4QPgHKVKvpvrFv,ISN’T EVERYONE,2022,0.774,4,147.943,-8.074,0.718,0.458,0.151,Minor
24,4ukiv6Rp5N4tQZSBT9JRLo,Rock Is Dead,1998,0.102,3,101.174,-6.531,0.91,0.509,0.358,Minor
25,0eBlkkenpIUKzDHQJihrRG,Control I'm Here,1989,0.445,4,125.008,-13.262,0.878,0.727,0.847,Minor
26,6Nm8h73ycDG2saCnZV8poF,Dragula,1998,0.000105,4,125.033,-6.489,0.963,0.59,0.586,Minor
27,5dVjEdi8hUutQSoEZsBKXr,Feed The Gods,2003,0.775,4,125.848,-4.163,0.957,0.339,0.211,Major
28,42COu0u76ahdsby0hKfMPH,Was ist hier los?,2017,0.00227,4,123.021,-4.259,0.933,0.643,0.656,Major
29,3ph4tOOVnAnbLuqTzUyW7Q,"Me, I'm Not",2007,0.263,4,139.981,-6.188,0.676,0.706,0.884,Major
30,7C65H1B9iy8iknrpFL2CtQ,Robo Sapien,2013,0.271,4,119.996,-2.991,0.997,0.518,0.395,Major
31,0SnFhJe73r0Hi2QzqTcvH2,Waiting to Be Born,2009,0.543,4,136.016,-7.1,0.865,0.577,0.387,Minor
