,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5EhsdUx1N4JTcokotQT71c,ORION,2024,0.885,4,137.013,-3.333,0.987,0.663,0.294,Minor
1,0agQ9vIV7NP4dntGKLcCXO,Somebody (2024),2024,0.18,4,130.017,-6.198,0.629,0.848,0.586,Major
2,6TcTpJT1dvSwrrUTJrJgOj,River Flows in You,2023,0.853,4,170.027,-6.196,0.968,0.482,0.234,Major
3,4Bak56MdceMpCkR4LcPdD9,Ameno,2024,0.0385,4,149.945,-3.697,0.993,0.624,0.258,Minor
4,2aJDlirz6v2a4HREki98cP,Glue,2017,0.948,4,129.983,-7.995,0.798,0.853,0.42,Minor
5,1wsr7jSHPn3ozDWJUG4UXG,Kids,2023,0.0172,4,144.945,-5.642,0.975,0.619,0.142,Major
6,4wtR6HB3XekEengMX17cpc,Children,1996,0.817,4,137.064,-10.761,0.755,0.604,0.387,Major
7,4lArhqEySHQwMKkWkPXQEK,Erinner mich,2024,0.000505,3,164.984,-5.092,0.857,0.723,0.759,Major
8,4atLPkcljMp14JBaigYFKC,We Are The People - southstar Remix,2023,0.0623,4,149.954,-6.469,0.847,0.72,0.132,Major
9,2siKpBqjCCIsOFf5L4AqoR,I Can Feel,2023,2.7e-05,4,160.039,-5.6,0.711,0.733,0.528,Minor
10,4e8j13g40vQQVdxjHETBpn,Tom's Diner - Sped Up,2023,4.51e-05,4,140.037,-7.777,0.866,0.687,0.221,Minor
11,2XJSKm7Ie15xQnoP1bY0Fp,Fireflies,2023,1.58e-05,4,170.021,-6.841,0.842,0.582,0.144,Minor
12,5eAhXdQwzlFwHkZhiJ1KHg,Annihilate,2022,0.81,4,127.995,-6.181,0.855,0.581,0.19,Major
13,29uCsFSUSVktiMUZdzqpiD,RIDE OR DIE,2023,0.00873,4,133.955,-5.603,0.867,0.66,0.526,Major
14,0SgO1pBl2uZyD754ZqQbK5,Living On My Own,2024,0.138,4,144.999,-5.895,0.957,0.668,0.343,Minor
15,7jY6W92bLfnXnevTa7JKHi,Perfect (Exceeder),2024,0.81,4,127.927,-5.584,0.952,0.678,0.0649,Minor
16,05XSqqW6L4WuQV55Er1jZd,99 Luftballons,2022,0.0435,4,199.807,-3.613,0.905,0.398,0.224,Major
17,11uG66DBgeXl3P6vqm4wYC,Gimme The Word,2024,0.432,4,136.991,-5.288,0.993,0.693,0.303,Minor
18,5Fncjn1sCuGmQbrRFLQryE,Smooth Operator (BAMI Remix),2023,0.0319,4,144.989,-4.37,0.888,0.743,0.335,Minor
19,5JZnjM9ijpit0d5zjT8MM7,Satisfaction,2003,0.0984,4,129.984,-3.392,0.725,0.802,0.347,Major
20,4oWDaJpusSH1lqIQQkEHsS,Father Ocean - Ben Böhmer Remix Edit,2018,0.749,4,122.008,-11.046,0.74,0.609,0.0391,Major
21,39stAgopu3xQH0ZpEiNNw3,You Can't Stop Us,2022,0.867,4,130.012,-4.224,0.924,0.618,0.115,Minor
22,0AebWDXqgiFwqczWRKt2kP,Greater Purpose,2023,0.802,4,135.004,-5.877,0.986,0.718,0.342,Minor
23,6ho0GyrWZN3mhi9zVRW7xi,Losing It,2018,0.703,4,125.003,-5.844,0.964,0.76,0.643,Major
24,2NZ8HlZmXQUvDonf24hw34,GENESIS,2024,0.686,4,137.983,-3.133,0.996,0.714,0.615,Minor
25,2wBknFtpATOG4LDG3BzIzI,Safe and Sound - Niklas Dee & Luca-Dante Spadafora Remix,2023,0.0757,4,149.967,-5.01,0.96,0.601,0.315,Major
26,2TzmzknUmcesfodpvJ28KT,Would I Lie To You,2024,0.0179,4,144.922,-4.959,0.925,0.761,0.44,Major
27,2USlegnFJLrVLpoVfPimKB,Thunder,2021,3.21e-05,3,101.216,-4.673,0.896,0.67,0.403,Major
28,1oH6oeK8iKeRL9VTQY5w2r,Lifetime,2024,0.777,4,135.135,-9.79,0.629,0.818,0.0781,Minor
29,3T00mhdOYUuM5yiuPs3xhs,San Frandisco,2019,0.101,4,125.025,-6.269,0.937,0.779,0.49,Minor
30,38XziJOR1OFb4fJ44IUrX1,3 Haselnüsse,2023,0.639,4,149.991,-8.172,0.532,0.866,0.442,Minor
31,0gwNGHcBRYtF7mvgUczVo1,Return to Oz - ARTBAT Remix,2019,0.697,4,123.998,-7.528,0.93,0.854,0.192,Major
32,6pN9NiJ816dbL3OKeAke0w,Weak - Nicolas Julian Remix,2022,0.0,4,140.024,-5.022,0.647,0.582,0.401,Major
33,5KFasflYKU9VnMTthjNXNv,HYPNOSIS,2022,0.00983,4,125.03,-4.758,0.872,0.96,0.7,Minor
