,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,1arJHhz6TxMV50SNvSmGnV,Ecuador - Original Radio Edit,1997,0.699,4,132.885,-6.836,0.888,0.591,0.588,Major
1,7xQYVjs4wZNdCwO0EeAWMC,Born Slippy (Nuxx),2014,0.49,4,140.042,-8.968,0.953,0.576,0.303,Major
2,0yMoJXVP6hFLV71DRVxRTk,Adagio For Strings - Radio Edit,2010,0.939,4,139.976,-8.663,0.916,0.49,0.367,Minor
3,2LGrLtvYEHrd3Nnot4Hxuw,Touch Me,2002,0.36,4,127.968,-6.715,0.925,0.78,0.564,Minor
4,1pUFYb9peWkK8m1WCKNRjp,God Is a DJ,2005,0.882,4,130.55,-7.469,0.897,0.606,0.393,Minor
5,3UPBOL5UtCZmJRwioMkfLD,Encore Une Fois - Future Breeze Edit,1997,0.703,4,132.687,-6.775,0.925,0.663,0.843,Major
6,1YsZB1pLIXR0YgiOxUG9cv,On The Beach - Mauro Picotto's CRW Remix,1999,0.00887,4,137.982,-8.577,0.936,0.652,0.561,Major
7,6uEmDZoJcc7Oqrute8BA2N,As The Rush Comes,2005,0.0354,4,135.01,-7.527,0.817,0.614,0.644,Major
8,0EcH1iItB5rVIZaaiQMbsG,Take Me Away (Into The Night) - Vocal Radio Mix,2003,0.0455,4,138.001,-6.983,0.79,0.617,0.267,Minor
9,47BPp5TPDpl0wCXB0FWXvg,Seven Days and One Week - Radio Edit,1996,0.865,4,137.871,-8.543,0.931,0.777,0.493,Major
10,1eohWwYv5zfXgLf5yKCJIS,Saltwater,2016,0.84,4,130.944,-8.744,0.719,0.542,0.0735,Major
11,2FH3BLTMhJlCH1Dmkua5DW,Insomnia - Monster Mix,2015,0.768,4,126.872,-6.388,0.937,0.683,0.305,Minor
12,3uMZMYC0GurzpeTf9QvPe0,Castles In The Sky,2019,0.412,4,139.992,-6.422,0.87,0.578,0.667,Minor
13,294bZQoJEueD2ys3wrNDmI,Airwave - Radio Vocal Edit,2000,0.83,4,136.06,-11.87,0.792,0.511,0.235,Minor
14,5BZx0wikkFZF2BnaIo2qTy,Feel the Beat,2001,0.834,4,137.822,-6.973,0.913,0.569,0.504,Major
15,26oBh1fvCfQ5ZaBAgwnLAw,Stay - Original Single Edit,1997,0.0782,4,133.849,-1.81,0.991,0.611,0.445,Minor
16,5yTN79Mgt4licL40oassM3,Carte Blanche - FM Edit,2021,0.726,4,140.009,-9.352,0.954,0.608,0.506,Minor
17,09RQez2cCVx1DC1vIan2oS,"Operation Blade (7"" Radio Edit)",2001,0.74,4,140.07,-6.379,0.977,0.536,0.346,Major
18,6xl5vg5rhmbGI7kNML1IP4,Gouryella,2011,0.736,4,138.019,-6.625,0.957,0.561,0.334,Major
19,4acv9cybr3QdBcQ5WpyiI1,Ayla - DJ Taucher Radio Edit,2010,0.766,4,144.036,-9.945,0.861,0.709,0.684,Minor
20,0zjORbo98bRxMmyS3wzeKW,Don't Give Up,2016,0.517,4,132.011,-9.635,0.719,0.644,0.531,Minor
21,791WQUn8PePLamJVPgGKZC,Café Del Mar - Three 'n One Radio Edit,2005,0.936,4,133.021,-9.186,0.962,0.594,0.298,Minor
22,6qlmPJiL0uQZ45Jirn3VA5,Barber's Adagio for Strings - Ferry Corsten Remix; Radio Edit;,2012,0.789,4,135.005,-8.305,0.927,0.48,0.298,Major
23,4t12tfpnld2b3XwXsNfEgt,Lizard,2009,0.897,4,137.047,-9.328,0.777,0.726,0.0657,Minor
24,4b9S5yZpvIVxMEuI0rHzk6,Need To Feel Loved - Radio Edit,2004,0.647,4,130.667,-8.529,0.818,0.65,0.241,Minor
25,3VARvuAse3BGcthh63pUeg,Insomnia - Radio Edit,2008,0.144,4,126.847,-7.555,0.934,0.717,0.539,Major
26,1Tz10EYl3RFRItgJU8bJWu,Seven Cities - Solarstone's Atlantis Mix,1999,0.959,4,135.129,-7.821,0.931,0.477,0.333,Major
27,1fwmpaKObFM51Nw1g5uJyt,Mystery Land,2009,0.827,4,131.883,-10.831,0.955,0.52,0.0385,Major
28,0IaOAo13NTYVSWuAy5OGRC,Time to Burn - Radio Edit,2010,0.787,4,141.945,-4.753,0.942,0.663,0.212,Major
29,3JxBHvOkVvgZTtQ9shl4fI,Greece 2000 - Edit,1997,0.902,4,131.981,-8.579,0.936,0.747,0.738,Minor
30,39TCsy3tu2xSPYEo6excU7,Superstring - RANK 1's Radio Edit,1996,0.813,4,139.076,-11.315,0.759,0.604,0.519,Major
31,0gDfkQYmyiq0eZFLof6hbh,Escape - Radio Edit,2006,0.961,4,134.782,-8.774,0.882,0.405,0.0571,Major
32,7bbY135gafWRikvA2f9jjA,Follow Me - Lange's Club Mix,2003,0.747,4,139.854,-8.494,0.908,0.557,0.498,Major
33,1u8gw65yb6kRCBqNDFSwHj,Universal Nation,2010,0.916,4,137.997,-8.726,0.905,0.707,0.674,Major
34,1rToUrnowFb88N2Z4Kjyau,Offshore,2007,0.829,4,129.876,-12.09,0.708,0.548,0.137,Minor
35,1ZLjrNoJWPvfMb7grtSNVf,Coming On Strong,2015,0.818,4,137.005,-10.977,0.898,0.708,0.55,Minor
36,2VW6HO7fSA4dkbGgG1xkdn,The Theme,2002,0.943,4,136.003,-4.232,0.998,0.444,0.141,Minor
37,3Wj2bla9BKs0tcbmpq1p71,Fire Wire - Radio Edit,2000,0.638,4,137.964,-7.942,0.99,0.602,0.0366,Major
38,5FzfJkVJSn8JrYe58uM5O5,Happiness Happening - Lange Remix,1999,0.0572,4,141.846,-10.364,0.84,0.545,0.29,Major
39,1TUUq8BSzn0zMc8OqXa7oU,Diving Faces - Radio Cut,1998,0.953,4,137.978,-12.825,0.663,0.732,0.325,Major
40,0jJtOt57bhFAz7ccgGkxWJ,Out Of The Blue,2020,0.808,4,140.017,-6.292,0.971,0.543,0.734,Major
41,7LpshpG8snNJYdD7TnHS0I,We Control The Sunlight,2016,0.0281,4,139.938,-6.509,0.921,0.408,0.039,Minor
42,5QdgpcfAw8EbsupH0B6BpI,Synaesthesia (Fly Away),2000,0.19,4,137.969,-5.859,0.924,0.521,0.156,Minor
43,75653mwqn2ikumvrHuhEKf,Xpander - Edit,1999,0.902,4,128.098,-5.121,0.995,0.477,0.704,Minor
44,7yLvQTsNQALncCJdFdzqB2,ResuRection - Paul Oakenfold Full On Fluoro Mix,2021,0.77,4,138.048,-5.015,0.935,0.526,0.0581,Minor
45,5bdmsMmb8uYt7TKrfNYEdy,The Opera Song (Brave New World),2003,0.0651,4,136.018,-4.755,0.93,0.441,0.258,Minor
46,51KCyHln6zoPVjAvArlSFn,7 Colours - Radio Edit,2017,0.000303,4,136.01,-5.663,0.935,0.495,0.314,Minor
47,29xhHp7I079jDveVcoShIk,Satellite - Above & Beyond Mix (Edit),2015,7.89e-05,4,139.975,-5.712,0.945,0.505,0.208,Minor
48,0ZcJZSx8cZndVwZrudIFy9,1998,1998,0.648,4,149.96,-7.908,0.879,0.433,0.503,Major
49,6GZO2jSzaULhCH30DakBhu,Southern Sun,2002,0.0013,4,131.904,-9.854,0.74,0.552,0.677,Major
