,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,2kfZCiSWhAYKdxD7o7WLoa,Halo,2022,3.66e-06,1,101.226,-4.751,0.915,0.645,0.344,Major
1,6YtUe8dzZ357QD4t56nG00,Sweet Caroline,2022,2.64e-05,4,149.919,-3.606,0.78,0.312,0.323,Major
2,2siKpBqjCCIsOFf5L4AqoR,I Can Feel,2023,2.7e-05,4,160.039,-5.6,0.711,0.733,0.528,Minor
3,4SR46lHTitWMTzRTwsFIa6,Irrenhaus,2021,0.0,4,154.953,-3.898,0.878,0.446,0.233,Minor
4,7F7N0yugLFgKXoEACgtzD8,"Dance For Me (1, 2, 3) - Stutter Techno",2023,0.247,4,154.993,-5.58,0.975,0.706,0.319,Minor
5,4W2Xk8VUlrPkPSsLUaeMS3,Irre - KomaCasper Remix,2023,0.00312,4,169.995,-7.486,0.686,0.774,0.192,Minor
6,4Ace8alexaAj3QHwprUqQq,"Rave, Rinse, Repeat",2021,0.0101,4,172.033,-2.917,0.995,0.462,0.107,Major
7,6TcTpJT1dvSwrrUTJrJgOj,River Flows in You,2023,0.853,4,170.027,-6.196,0.968,0.482,0.234,Major
8,0QlOkt8nkZ8zqu8xb2SHU8,Not Fair,2023,7.12e-05,4,144.989,-5.305,0.976,0.733,0.523,Major
9,6GZL7QAZdpyNphPEZqXXLZ,Summertime Sadness - R.I.O. Remix,2023,0.0557,4,150.065,-6.078,0.765,0.566,0.247,Major
10,5DcVJM3W2lkjogTromoy3D,Take My Hand,2020,0.0875,4,149.871,-8.532,0.874,0.675,0.687,Major
11,2JXu6sJxvmlruASa9oiyMG,Engeltje,2019,0.000538,4,154.986,-6.314,0.879,0.667,0.351,Major
12,58bT1VNZ0Itc70Sz7mcueT,Meet Her At The Love Parade,2024,0.184,4,150.014,-7.525,0.941,0.407,0.405,Minor
13,4lArhqEySHQwMKkWkPXQEK,Erinner mich,2024,0.000505,3,164.984,-5.092,0.857,0.723,0.759,Major
14,1aBi2cwSWOaYz0kC0P27ok,Nachbarn,2020,6.24e-06,4,99.977,-4.93,0.958,0.543,0.175,Minor
15,7AO4SbDUqGQ3vY6SQYEFRZ,Sandmann,2020,0.00573,4,149.963,-6.543,0.871,0.589,0.248,Major
16,0ZClN9JcY9c54uDyWz2CWd,Ghost,2022,0.000284,4,144.084,-6.037,0.877,0.606,0.15,Major
17,2Ehp9Is1ihvBQaoJt47XeK,Where Do We Go,2023,0.000119,4,149.96,-3.919,0.943,0.547,0.749,Major
18,5mRcxUZ4AAfifKw06ObYpw,Rock My Body (with Sash!) (Sonny Wern Remix),2023,0.0134,4,160.022,-6.149,0.867,0.625,0.69,Major
19,6pN9NiJ816dbL3OKeAke0w,Weak - Nicolas Julian Remix,2022,0.0,4,140.024,-5.022,0.647,0.582,0.401,Major
20,74VCjahNcRUz5qnJk2aJAk,Jump With Me - Radio Cut,2008,0.0315,4,143.995,-6.565,0.901,0.576,0.418,Major
21,4vFc0O97l8pf9DajtRcLmA,It’s A Dream 2K19,2019,0.401,4,200.08,-4.912,0.949,0.237,0.0396,Major
22,7seOXBlflZC8UR8bNi27u2,Moskau,2020,0.00352,4,150.027,-3.303,0.949,0.504,0.49,Minor
23,04ErJiS734u76JgX5JQayC,Explode,2024,0.377,3,155.064,-4.69,0.946,0.61,0.319,Major
24,6KhSk0XaifZje1L3n2zUUq,We Are Young,2020,0.127,4,129.936,-6.254,0.759,0.615,0.196,Major
25,4Kd5KH428W5YHs9mZqUnNz,King Of My Castle,2024,0.000333,4,149.82,-2.107,0.98,0.437,0.568,Minor
26,13eAJfjMoCMJmwzJPLBy6a,Turn The Tide,2024,0.000481,4,150.086,-4.989,0.917,0.584,0.411,Minor
27,7oCqUBYVTqWbN0M6aYD7O3,Ella Elle L'a,2023,0.00168,4,149.955,-5.199,0.9,0.609,0.541,Minor
28,1wsr7jSHPn3ozDWJUG4UXG,Kids,2023,0.0172,4,144.945,-5.642,0.975,0.619,0.142,Major
29,2sQ3FM2rP6of5BwyMhvxDJ,We Come 1 - Darren Styles Remix,2023,0.166,4,160.035,-3.602,0.991,0.685,0.123,Major
30,2tC349E9ve3twK79YHOEPb,Go Go Go,2017,0.882,4,142.992,-3.183,0.998,0.663,0.379,Minor
31,3Cth8NLLkMNPXjw6aIMRon,Live Your Life - Radio Edit,2015,0.00155,4,130.054,-3.192,0.853,0.485,0.304,Minor
32,0gkSAe8SBP4ufXgIMfB5VK,Big City Life - BassWar & CaoX Remix,2024,0.0,4,170.018,-5.348,0.843,0.317,0.44,Minor
33,6N2rMGXBhNZ6slxJcp1E7z,Heroine,2007,0.666,4,144.044,-3.569,0.916,0.693,0.723,Minor
34,3MhymzaFcj7bXVJzB0ZJb8,Tricky Tricky,2019,0.53,4,139.051,-3.311,0.962,0.632,0.0919,Major
35,5Lhg18lvipWzBpSL6PVBXW,Be My Lover,2022,0.0,4,150.003,-5.066,0.643,0.544,0.501,Minor
36,05XSqqW6L4WuQV55Er1jZd,99 Luftballons,2022,0.0435,4,199.807,-3.613,0.905,0.398,0.224,Major
37,00I6ELT2uun44UX8y7vCBz,Paul Is Dead,2021,3.9e-05,4,169.861,-4.577,0.868,0.496,0.237,Minor
38,2wBknFtpATOG4LDG3BzIzI,Safe and Sound - Niklas Dee & Luca-Dante Spadafora Remix,2023,0.0757,4,149.967,-5.01,0.96,0.601,0.315,Major
39,0lyXx1VgZFANjvYUIpMrTY,Kind eines Teufels,2019,1.52e-05,4,154.988,-5.138,0.901,0.653,0.627,Major
40,5ZsnPZX0aPg5xIxhlkkoOt,Classical Music,2024,0.0159,4,160.077,-4.675,0.944,0.567,0.189,Major
41,01SS51tmBBjtXYrVK7fBcc,Infinity (Zatox Remix),2017,0.154,4,149.186,-4.991,0.892,0.27,0.17,Minor
42,67l1rBGrnkh7642qmpWE3K,I Want You,2019,0.264,4,150.057,-4.445,0.895,0.634,0.0935,Major
43,5J44WjLWlXDhs9re4YO2f1,ABC,2024,0.841,4,159.929,-6.94,0.846,0.491,0.383,Major
44,0FVUfX7nw1bNQGBLTpTwX5,Summer Rave,2019,0.0248,4,155.019,-2.939,0.988,0.572,0.253,Minor
45,1evR2LF9kCdzw213Kx8u8w,Tricky Disco - Single Edit,2006,0.87,4,141.982,-6.427,0.997,0.687,0.891,Major
46,5tlmO0EqsLwqS2CGxVVjEe,Faith,2023,0.645,4,169.968,-3.017,0.976,0.491,0.0416,Minor
47,77YGCnTBB84rj02rcWFPwH,My Way,2020,0.0229,4,150.151,-4.861,0.842,0.526,0.195,Minor
48,6NacusQc55o1kWGp8z2IKA,Bassdrum,2021,0.0015,4,160.032,-5.243,0.697,0.66,0.227,Minor
49,0ymH3Qwwzkl802WD3yy0oY,Marble,2021,4.7e-05,4,136.006,-5.355,0.85,0.698,0.362,Minor
