,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,6DFHSmlrZLDZnXV5kTTMF6,"PATT (Party All The Time) - Adam Beyer, Layton Giordani & Green Velvet Remix",2024,0.00619,4,133.062,-4.169,0.847,0.645,0.34,Major
1,6ipbWRqL9jAQT9Skvuf3aP,Simulation,2024,0.601,4,126.063,-4.267,0.965,0.69,0.0672,Minor
2,6CwxmhlcNrTpyM2GyhyUp3,Rondo,2024,0.271,4,124.039,-6.162,0.876,0.628,0.18,Minor
3,4F6dlpCLyi8jWWFEjdxCQ0,Moments - Ben Böhmer & Nils Hoffmann Remix,2020,0.89,4,121.001,-12.422,0.524,0.702,0.283,Minor
4,7ixHfExIwVwKu0JApyTvuR,Far Away,2022,0.572,4,126.037,-9.296,0.671,0.696,0.0719,Minor
5,5r43Rwy2cBKF6HQYIS41Bw,Hide U - Tinlicker Remix,2021,0.113,4,123.979,-6.863,0.868,0.498,0.126,Minor
6,1e21WWJUeqFhZhDuakGkdd,Subterranean,2023,0.295,4,123.013,-7.909,0.714,0.619,0.212,Minor
7,44BOuprG538ofr0uUO7jRr,Higher,2024,0.00899,4,140.036,-6.524,0.962,0.646,0.765,Minor
8,41HQKuY6idlPq9W7MeiNbS,Deep Space,2023,0.583,4,123.968,-7.697,0.895,0.494,0.28,Minor
9,3rMogDjuM5Cp9ak79KGbVe,Under Dark - Innellea Remix,2021,0.453,4,120.005,-9.406,0.733,0.772,0.457,Minor
10,6ziqWx82jgkQYhyIALoraH,Transmission - Joris Voorn Remix,2022,0.927,4,124.002,-7.985,0.838,0.711,0.223,Major
11,7ebulpHSffs4Thc0VM0LHv,Mirage,2022,0.845,4,121.998,-6.728,0.882,0.657,0.433,Major
12,475r8pbikqtqehhc1qUIOf,Higher Power,2024,0.107,4,125.98,-6.421,0.94,0.58,0.0558,Minor
13,2uEcNtI8A8cxID8JCCIVZJ,Moonlight,2024,0.00999,4,125.001,-5.188,0.898,0.707,0.288,Minor
14,1iNgyJ7HXIiu8FxMq0kf2D,Alafair,2023,0.182,4,122.022,-9.274,0.734,0.677,0.256,Minor
15,6qUoVjPN8Ys5NfnTgJrkBT,The Orange Theme,2024,0.904,4,125.974,-8.243,0.795,0.682,0.354,Major
16,7EroGeDg1uteOaQ45Ftfiz,I Remember - John Summit Remix,2023,0.482,4,126.018,-6.722,0.855,0.531,0.117,Major
17,7E7POHU96XKXbiubARcPBD,Time Again,2021,0.857,4,122.989,-6.873,0.865,0.629,0.242,Major
18,2aJDlirz6v2a4HREki98cP,Glue,2017,0.948,4,129.983,-7.995,0.798,0.853,0.42,Minor
19,2Ue68qfEPdUtVVgrjOKE05,Remission,2024,0.336,4,125.034,-4.621,0.956,0.531,0.291,Major
20,476iNCuZzxV3AXQeRlF1qv,Swallow - Tale Of Us Remix,2018,0.756,3,124.006,-10.034,0.609,0.737,0.176,Major
21,6fLaa3R4VYfRDObtzgic6a,"Eyes Open, Mind Free",2024,0.6,4,122.979,-7.802,0.741,0.526,0.129,Major
22,0fRLU02X1H2RqWPWKKaJ5c,Ringo - Miss Monique Remix,2023,0.955,4,124.991,-6.851,0.82,0.788,0.438,Major
23,5TKl0PjZyqUFocUWR3rQ7v,I Don't Wanna Leave - Innellea Remix,2022,0.187,4,121.979,-6.728,0.626,0.414,0.0569,Minor
24,4dOeUyueTWItNBN1ylSee2,House - Solomun Remix,2024,0.337,4,130.01,-8.923,0.708,0.72,0.0607,Minor
25,4G58eym5EGj8ZG1qt8DXIx,Rhythm (Of The Night),2022,0.698,4,121.951,-6.632,0.946,0.534,0.173,Major
26,1V89AB14MqxFCQTSGkYgnT,People Of The Night,2019,0.817,4,119.951,-12.288,0.404,0.874,0.163,Major
27,6Kl0BmROA5CAwtQOEFd99y,Human,2023,0.426,4,132.037,-7.625,0.891,0.791,0.193,Minor
28,6c4ZbgwtaOfGe4ZPLbF3Uz,Elephant Shunned - Solee Remix,2018,0.835,4,123.018,-7.919,0.885,0.616,0.0519,Major
29,1TepyN2GXukyc6wo3kTFMO,Domino (feat. Oxia),2021,0.812,4,125.997,-7.949,0.949,0.613,0.0971,Major
30,1r8Y3er5sLDfD9rVFRhhyz,Hold Me Close - Vintage Culture Remix,2021,0.0594,4,124.023,-7.538,0.774,0.612,0.287,Major
31,52SOce5eNcoP9g0CWrd4TJ,Laura - Argy & Omnya Remix,2023,0.708,4,125.006,-7.503,0.87,0.618,0.0674,Minor
32,6mzicuQ4PqOguqmixiQXV4,Remember,2023,0.719,4,127.036,-8.509,0.726,0.464,0.0381,Major
33,35YssL3Ul77kSZKpKLYkQl,Something You Need,2021,0.725,4,119.979,-9.434,0.731,0.657,0.419,Minor
34,51a3PbfoqGIQsqZXKd2YWf,Alive - Anyma Remix,2022,0.5,4,124.968,-10.259,0.788,0.57,0.0378,Minor
35,3lLOuE6Z5jlQVqO2bbpC8A,Greece 2000 - KREAM Remix,2023,0.789,4,124.992,-7.414,0.934,0.632,0.23,Minor
36,57Y9YzDxXB2sVlhvqK94sK,On The Beach - Kryder Remix,2020,0.795,4,123.988,-6.016,0.899,0.565,0.111,Major
37,0q4jvSCvU5fVkq1X5Fhcri,Transmission,2022,0.921,4,124.008,-6.508,0.91,0.724,0.583,Major
38,1pM05FAgX2lLp3NwpMY2vs,Consciousness - Eric Prydz Remix,2024,0.775,4,125.958,-7.145,0.865,0.622,0.246,Major
39,2nvfQ9c2pi8OFiYb59I1gu,Alone - Stephan Jolk Remix,2023,0.203,4,123.995,-5.81,0.941,0.677,0.165,Major
40,1fAEgL0FxWfNqxVZRHsm20,Gravity - Adam Sellouk Remix,2023,0.307,4,121.968,-7.694,0.764,0.678,0.0839,Major
