,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,476iNCuZzxV3AXQeRlF1qv,Swallow - Tale Of Us Remix,2018,0.756,3,124.006,-10.034,0.609,0.737,0.176,Major
1,18gKoRNhAOTHp5SMeFaA7j,The Shadow - Original Mix,2020,0.653,4,126.978,-8.85,0.676,0.848,0.347,Major
2,3VXTBpp6fr9WFVSLf13N5H,Resolute - Radio Edit,2018,0.942,4,123.02,-10.75,0.65,0.791,0.149,Major
3,5EhsdUx1N4JTcokotQT71c,ORION,2024,0.885,4,137.013,-3.333,0.987,0.663,0.294,Minor
4,609ztq0z70ty0fFR3KUuJl,Bye Bye Macadam,2012,0.893,4,190.028,-12.042,0.509,0.593,0.0769,Minor
5,2593WwquMmwGNOgsJ9O1MJ,Right On Time (Louie Cut Remix),2012,0.865,4,128.003,-7.634,0.797,0.805,0.119,Minor
6,6mzicuQ4PqOguqmixiQXV4,Remember,2023,0.719,4,127.036,-8.509,0.726,0.464,0.0381,Major
7,6ziqWx82jgkQYhyIALoraH,Transmission - Joris Voorn Remix,2022,0.927,4,124.002,-7.985,0.838,0.711,0.223,Major
8,39stAgopu3xQH0ZpEiNNw3,You Can't Stop Us,2022,0.867,4,130.012,-4.224,0.924,0.618,0.115,Minor
9,64xHf70oM67cWZ3zUSG3Mv,Sternenkinder,2014,0.721,4,121.986,-7.589,0.695,0.739,0.124,Major
10,1cVPTlLw6zsXwggFrMQ6aH,Coeur De La Nuit - Worakls Remix,2014,0.901,4,124.005,-11.919,0.375,0.818,0.239,Minor
11,0gwNGHcBRYtF7mvgUczVo1,Return to Oz - ARTBAT Remix,2019,0.697,4,123.998,-7.528,0.93,0.854,0.192,Major
12,2jJIxT6WAIVWzDo3Ou53Q0,Pursuit,2013,0.926,3,108.982,-4.822,0.934,0.682,0.0708,Major
13,3VtTuQ6lypMoOBcm6VMzdh,Opal - Four Tet Remix,2018,0.773,4,127.011,-9.582,0.72,0.826,0.287,Minor
14,6c4ZbgwtaOfGe4ZPLbF3Uz,Elephant Shunned - Solee Remix,2018,0.835,4,123.018,-7.919,0.885,0.616,0.0519,Major
15,6ipbWRqL9jAQT9Skvuf3aP,Simulation,2024,0.601,4,126.063,-4.267,0.965,0.69,0.0672,Minor
16,0c9MTfnssGoNXUgmsaE5XU,Open Eye Signal - Remaster 2023,2013,0.782,3,122.504,-8.389,0.679,0.8,0.207,Major
17,1Qew5n9FSPxpiqu0Og4R3J,Take Off,2024,0.863,4,127.036,-7.572,0.951,0.531,0.0388,Major
18,4oWDaJpusSH1lqIQQkEHsS,Father Ocean - Ben Böhmer Remix Edit,2018,0.749,4,122.008,-11.046,0.74,0.609,0.0391,Major
19,7xvl39LuJ8o5yeHR1kta90,Tibet,2022,0.616,4,123.989,-8.763,0.919,0.729,0.0382,Minor
