,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,1ITgblKIp0HfNrUH2fesyZ,Lost in Love - Sysex Style Mix,1994,0.966,4,159.833,-7.558,0.995,0.722,0.532,Minor
1,21yzlY82sjN5fDTexXjBWp,"Yerba del Diablo, Pt. 3 - Datura 2K Remix",2000,0.655,4,138.001,-9.136,0.807,0.639,0.169,Major
2,0CpW2izf7t0hJEtFI4lYpQ,Bass Is Pumping,2023,0.146,4,142.991,-6.995,0.958,0.735,0.971,Minor
3,7oMvwheez9y0F4OCizZOHz,The 5th Dimension,2006,0.92,4,144.846,-9.382,0.865,0.627,0.126,Major
4,2U3hFfCSZQS7ZQKIZyPdv4,"Rock Da Funky Beats (7"" Radio Edit)",2001,0.0211,4,139.991,-6.191,0.983,0.632,0.276,Major
5,3KNd40FUtgt62HajixnsdO,My House Is Your House - Remastered,2017,0.812,4,145.866,-5.333,0.984,0.641,0.139,Major
6,2tC349E9ve3twK79YHOEPb,Go Go Go,2017,0.882,4,142.992,-3.183,0.998,0.663,0.379,Minor
7,5QJntZ6inE3AjfJkPjg98g,U (I Got A Feeling) - V-Mix,2018,0.732,4,141.851,-7.083,0.972,0.744,0.413,Major
8,2g3HXZ2YfRBjm2Fd8Twms7,You Gotta Say Yes To Another Excess - Great Mission,1995,0.808,4,167.942,-11.404,0.81,0.621,0.197,Major
9,7iudHtK68DX8l2j5rSl3KA,THE DEVIL,2006,0.95,4,135.031,-10.886,0.808,0.876,0.246,Major
10,37yDFz9tOMYpsfBvGDtwma,Tranchera,2022,0.825,4,147.003,-8.518,0.964,0.634,0.174,Minor
11,3hiSJibKGv9vlRClBfF5E7,Tunnel Vision,2019,0.802,4,139.994,-8.217,0.951,0.666,0.297,Major
12,3LXUGm06l6Ybh07J79ANs1,It's A Fine Day (ATB Club Mix),1998,0.752,4,133.223,-8.779,0.948,0.785,0.829,Minor
13,22SNa9fmpWRsLMWh5fz37f,PROFONDO ROSSO - Profondo Remix,2006,0.732,4,138.048,-9.818,0.779,0.829,0.524,Major
