,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,69Y7bqe3lsESYEqCqJ4eBH,I Remember,2008,0.232,4,128.008,-8.047,0.513,0.814,0.602,Minor
1,6r7FXNO57mlZCBY6PXcZZT,Five Hours,2014,0.661,4,127.907,-2.545,0.821,0.88,0.575,Minor
2,6jNM6fKx3WnyHbWBI9hs2r,Cinema (feat. Gary Go) - Skrillex Remix,2011,0.00783,4,145.077,-3.807,0.983,0.636,0.434,Minor
3,4f3NHOxgC8Bg21IJBg4cZ3,Freaks - Radio Edit,2014,0.388,4,128.129,-0.818,0.965,0.882,0.759,Major
4,0VffaI2jwQknRrxpECYHsF,Greyhound,2012,0.876,4,124.976,-4.989,0.806,0.723,0.539,Major
5,4qxUFzBKlmP98kIRKFszju,Lights - Bassnectar Remix - Bonus Track,2011,0.685,4,140.005,-4.883,0.8,0.53,0.324,Major
6,0fMAyo16WDEhIGoQHMSFCK,All I Ask of You (feat. Pennybirdrabbit),2010,0.121,4,126.977,-2.89,0.909,0.774,0.696,Minor
7,1JY6B9ILvmRla2IKKRZvnH,Sad Machine,2014,1.31e-06,4,88.519,-4.902,0.706,0.47,0.327,Minor
8,3cosG4Jzk2tizbi8HP9Vnx,No Beef - Original Mix,2012,0.309,4,127.98,-5.181,0.838,0.741,0.234,Minor
9,2U0pVx4m1Kdm1Gsjjm6iq8,Strangers,2014,1.6e-06,4,129.967,-7.429,0.697,0.579,0.49,Minor
10,4gMIZhJUOCjmQxo1fwhhnK,My Eyes,2011,0.222,4,173.989,-4.631,0.953,0.38,0.034,Major
11,7q3aKYrhCbTnxdRZ6xmkC6,Some Chords,2010,0.537,4,128.005,-8.015,0.427,0.786,0.42,Major
12,2B4iuxJX1Qr5vE5s6be4y2,I'm Not Alone - Deadmau5 Mix,2009,0.63,4,128.013,-9.116,0.522,0.757,0.371,Major
13,2Ypd2QVly4J7OKpUJVAYPL,Converting Vegetarians,2003,0.129,4,80.043,-12.723,0.669,0.758,0.652,Major
14,6ns18ZPBRy4B4n06cplufL,We Own the Night (feat. Luciana) [Original Mix],2012,0.572,4,127.924,-3.51,0.94,0.406,0.211,Major
15,4IWLawtdMznqdOnbOR9cWW,Legacy - Radio Edit,2013,0.0,4,127.961,-3.671,0.707,0.586,0.187,Minor
16,6RwUhWOoRECbpM9FBh13Z2,Ganjaman,2015,0.000365,4,127.996,-4.013,0.814,0.923,0.598,Major
17,2x8D2KLYFsVcj0FvR6kKrt,Summit (feat. Ellie Goulding),2011,0.0104,4,139.989,-3.739,0.773,0.692,0.486,Major
