,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5EEDnjtmJ0gDuygYlUFMAb,Cities Of The Future,2004,0.436,4,144.983,-5.949,0.872,0.682,0.416,Major
1,60HhoW4AZ41OMP6SJMcjfV,Ravanasura Anthem,2023,0.0178,4,139.929,-2.046,0.905,0.612,0.407,Major
2,5fBBhQfbpkYpGc0Qcax4FN,Where Do We Go,2022,0.0,4,126.011,-3.552,0.96,0.482,0.409,Major
3,525xNwzGrf31OdVyN8RBl2,The Moments I'm Missing (feat. Nina Nesbitt),2019,0.00785,3,103.42,-5.94,0.836,0.484,0.069,Minor
4,1hxLjD8TYT5A1oAKhwgaA7,Esperanza,2016,0.7,4,150.005,-6.206,0.874,0.519,0.513,Major
5,4a9DD73M93HLGGhSHiIUL1,The Twenty Five (Official Nature One Anthem 2019),2019,0.778,4,140.012,-6.418,0.86,0.645,0.621,Minor
6,3kXA1sNW34i34JTcK0DTiT,Liberdade,2024,0.818,4,140.026,-5.594,0.93,0.569,0.188,Major
7,4s83mmQLGfo2wxiE1xTWkN,Visions,2023,0.652,4,140.011,-3.581,0.925,0.483,0.0359,Major
8,6QH8FVbFkefVgfD3QwC82H,Giratina,2015,0.814,4,129.992,-3.494,0.924,0.701,0.381,Major
9,2uf2VzI3JYpmsqDzFAuJg9,Masters of the Universe,2000,0.00292,4,170.051,-6.366,0.849,0.418,0.198,Major
10,2WyKvnMEF9H8CKHvmAXSm3,The Fusion - Blastoyz Remix,2021,0.0453,4,139.994,-2.718,0.99,0.488,0.221,Major
11,2Ypd2QVly4J7OKpUJVAYPL,Converting Vegetarians,2003,0.129,4,80.043,-12.723,0.669,0.758,0.652,Major
12,3tNUhCc4osVOhnEDQZWbed,Liquid Universe,2022,0.925,4,134.987,-7.468,0.93,0.649,0.397,Major
13,3Z7UmZWV0qyY7nK076Bqxe,Sicko Drop - Claudinho Brasil Remix,2022,0.685,4,140.015,-5.862,0.866,0.669,0.244,Major
14,6IDkdabcsyZmLQDCMtp6An,Yama,2021,0.05,4,138.051,-5.506,0.954,0.609,0.117,Major
15,2qO3b6zFIzFO05ymkjqXpA,Gayatri,2016,0.642,4,142.997,-7.331,0.872,0.519,0.57,Major
16,4WHOyzPzCkNRGhNl4XdjLI,Preacher,2020,0.609,4,138.037,-8.6,0.86,0.624,0.0325,Minor
17,65E8oKalgDwVsCfHfNNxw5,Gyoza,2024,0.306,4,141.997,-5.464,0.975,0.547,0.238,Major
18,1s5AUFJf1UseEDvmN9JbZ5,Jeenge,2003,0.815,4,99.996,-10.257,0.896,0.703,0.437,Minor
