,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,65E8oKalgDwVsCfHfNNxw5,Gyoza,2024,0.306,4,141.997,-5.464,0.975,0.547,0.238,Major
1,4SHUA9m6hj0LhpC8SPMDcX,Anjuna,2022,0.882,4,136.007,-8.283,0.83,0.773,0.105,Minor
2,6pAzrdqZKo4AnRWDKStG7R,My Mother Told Me - Vikings Anthem,2020,0.0327,4,139.97,-4.088,0.971,0.65,0.2,Minor
3,60HhoW4AZ41OMP6SJMcjfV,Ravanasura Anthem,2023,0.0178,4,139.929,-2.046,0.905,0.612,0.407,Major
4,525xNwzGrf31OdVyN8RBl2,The Moments I'm Missing (feat. Nina Nesbitt),2019,0.00785,3,103.42,-5.94,0.836,0.484,0.069,Minor
5,3Z7UmZWV0qyY7nK076Bqxe,Sicko Drop - Claudinho Brasil Remix,2022,0.685,4,140.015,-5.862,0.866,0.669,0.244,Major
6,3ekTSuD7hN7hcGGyaMdrwy,Baddest Behaviour - Timmy Trumpet Remix,2017,0.457,4,137.991,-4.966,0.929,0.622,0.213,Major
7,6KvYwiJbPUzmBw7Wif2aMX,The Age of Love 2022,2022,0.673,4,142.354,-10.537,0.652,0.412,0.331,Major
8,6IDkdabcsyZmLQDCMtp6An,Yama,2021,0.05,4,138.051,-5.506,0.954,0.609,0.117,Major
9,6QMAf9jRnc0w61og2W4Qzu,Faded,2019,0.00936,4,137.976,-5.095,0.807,0.685,0.149,Major
10,5sdDzzl866nMO5HQaNWrUH,I Wish,2003,0.289,4,145.03,-10.18,0.76,0.69,0.858,Major
11,6WYZaM1aHB5Y9QhmG1oWNn,Everyday Rockstars,2022,0.00342,3,128.421,-6.81,0.881,0.412,0.216,Minor
12,1hxLjD8TYT5A1oAKhwgaA7,Esperanza,2016,0.7,4,150.005,-6.206,0.874,0.519,0.513,Major
13,3hYWcQkxlGEiOtDjfKsD7d,Lo Nevosh,2022,0.574,3,103.506,-5.051,0.95,0.25,0.0957,Minor
14,4WHOyzPzCkNRGhNl4XdjLI,Preacher,2020,0.609,4,138.037,-8.6,0.86,0.624,0.0325,Minor
15,4s83mmQLGfo2wxiE1xTWkN,Visions,2023,0.652,4,140.011,-3.581,0.925,0.483,0.0359,Major
16,2WyKvnMEF9H8CKHvmAXSm3,The Fusion - Blastoyz Remix,2021,0.0453,4,139.994,-2.718,0.99,0.488,0.221,Major
17,6QH8FVbFkefVgfD3QwC82H,Giratina,2015,0.814,4,129.992,-3.494,0.924,0.701,0.381,Major
18,1iLaDU8rk4kErOgMsWaw9B,Astro,2022,0.274,4,142.038,-6.921,0.891,0.476,0.179,Major
19,3WdoKxlH2nCkinubepKcl3,When We Come Alive,2024,0.000119,3,103.474,-4.87,0.948,0.575,0.102,Major
20,3kXA1sNW34i34JTcK0DTiT,Liberdade,2024,0.818,4,140.026,-5.594,0.93,0.569,0.188,Major
21,5IkZWNWiTV1BuRmoMgoi0g,I'm The Supervisor,2004,0.778,4,139.994,-6.464,0.882,0.767,0.335,Major
22,4a9DD73M93HLGGhSHiIUL1,The Twenty Five (Official Nature One Anthem 2019),2019,0.778,4,140.012,-6.418,0.86,0.645,0.621,Minor
23,1pyR78lPGoPJZpGET5e2dY,Rapture,2023,0.00598,4,137.99,-5.147,0.924,0.598,0.394,Minor
24,7LpEZMdGtxkYf9FCR6PInB,Sweet Harmony,2023,0.106,4,137.648,-7.074,0.724,0.596,0.319,Minor
25,2F15XyWBzhrRTBaqTl769U,Muse Breaks RMX,2004,0.606,4,145.995,-6.902,0.647,0.677,0.274,Minor
26,4s8LITKEpX54Bun5FOpnmQ,Becoming Insane (Radio Mix),2007,0.0672,4,145.035,-6.242,0.883,0.654,0.251,Major
27,0laNN8zwVNkS5ccUxYXDi9,Becoming Insane,2007,0.386,4,145.0,-5.781,0.82,0.653,0.637,Major
28,5EEDnjtmJ0gDuygYlUFMAb,Cities Of The Future,2004,0.436,4,144.983,-5.949,0.872,0.682,0.416,Major
