,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,6TjjzMHMHI6wmFVu1WGBoY,In and Out of My Life - Will Rees Remix,2024,0.792,4,139.983,-6.753,0.988,0.25,0.49,Minor
1,2Tw8ng5EHStKP8Koe4mEvC,Here Forever,2024,0.125,4,140.029,-5.222,0.958,0.45,0.62,Minor
2,68CdFrdUAV9PssCcdw8osM,In My Mind,2024,0.189,4,132.001,-6.183,0.911,0.62,0.344,Minor
3,5nWAY0dv6y9gNFghmSnuAH,Pulsetracker,2024,0.889,4,135.0,-6.111,0.961,0.603,0.217,Major
4,2Ju181y8kKeGQLTwnPNUoN,Adagio For Strings,2023,0.861,4,140.016,-6.789,0.78,0.623,0.0657,Minor
5,5NFCZQEma4ll0SD00lS6FQ,Close To You,2023,0.303,4,140.036,-7.768,0.958,0.459,0.136,Minor
6,2lmJ17ZR6IGAQNeoN2eN7g,Freaks - Chris Schweizer Remix,2019,0.918,4,137.969,-5.072,0.995,0.594,0.137,Major
7,2uQzyvEzpJvGxeJF8lUNHu,Don't Call Me Baby,2023,0.086,4,146.975,-5.098,0.972,0.799,0.809,Minor
8,1M4BLoijXGPAeStSiPntyC,Finders Keepers,2022,0.563,4,144.999,-4.149,0.982,0.617,0.0863,Major
9,1kQvGeIXAjwytT3JB9aDg0,Good God - Mark Sherry Remix,2023,0.885,4,139.974,-5.395,0.989,0.602,0.0399,Major
10,5JUvqBVjbu12uGpksCnEB2,Carbon Voices,2021,0.827,4,127.982,-7.066,0.932,0.603,0.193,Major
11,6F25FmoNZ2ESMPmYWMbsIG,Now Love Will Begin,2024,0.805,4,138.003,-5.145,0.993,0.608,0.241,Major
12,7mF3V1iMVa8LcKPxW8W2NJ,Circa-Forever - Markus Schulz Down the Rabbit Hole Remix,2023,0.903,4,129.98,-5.212,0.963,0.528,0.0393,Minor
13,7l0EE7nSalFQrV4Nf60xhQ,Fine Day,2023,0.828,3,129.998,-7.094,0.979,0.637,0.102,Major
14,2DvWAEYEcBaWrSfSuS7wrO,Wisdom,2023,0.887,3,135.475,-4.401,0.935,0.437,0.0628,Minor
15,4BqjEtaCNf6Hw97yXFH2Vo,Raindrops - David Rust Remix,2020,0.938,4,140.006,-2.914,0.976,0.584,0.458,Major
16,2a8clC40DAykLk51vDPb0F,We’ll See - Sean Tyas & Waio Remix,2019,0.746,4,139.934,-7.083,0.97,0.549,0.0394,Major
17,4HvQgrwOSsKTd6z4zbbuAo,The Birds - David Rust Remix - D1,2021,0.485,4,141.972,-5.634,0.961,0.654,0.245,Major
18,2c9sVs80VjQ9olHLwqOs4u,Galvanizers,2023,0.876,4,139.983,-5.714,0.99,0.538,0.0729,Minor
19,0CpW2izf7t0hJEtFI4lYpQ,Bass Is Pumping,2023,0.146,4,142.991,-6.995,0.958,0.735,0.971,Minor
20,7vvVoVDcLzFlwKSLiFW5c2,Youth,2022,0.0507,4,74.997,-5.727,0.764,0.864,0.642,Major
21,1lWiQ34sGK1i862zAFiRNW,Forever 2 (Crush Mix) - Malugi Remix,2024,0.226,4,144.975,-4.922,0.885,0.621,0.598,Minor
22,4h5QZ1cJMydfFsY1rjPsy8,Vortex,2018,0.722,4,140.024,-4.297,0.959,0.6,0.276,Minor
23,5MtztVdyICMPkqlpdlJJ0g,Battery Acid (Bryan Kearney's 'For The Neighbours' Remix),2010,0.746,4,140.018,-4.279,0.991,0.632,0.193,Major
24,5C4hCJHMOgGJ7YxrpBqROZ,Forward Forever - Indecent Noise Remix,2019,0.234,4,138.004,-5.257,0.998,0.503,0.542,Major
25,5dvYxYlZOCVsb84zkVGba6,Passion,2022,0.0103,4,131.93,-5.003,0.883,0.486,0.0388,Minor
26,7EuyyQnrVTvOHZzIISvK5y,The Bass - Extended Mix,2019,0.829,4,142.015,-4.77,0.823,0.722,0.346,Minor
27,1WT38jxLP7cMgaqrMGfNvq,Lift (Sean Tyas Live Rework),2011,0.873,4,140.004,-7.573,0.98,0.483,0.632,Major
28,7KwdjkuAJxsxyVLetjeHOP,In My Mind,2024,0.867,4,134.996,-5.464,0.995,0.581,0.0343,Minor
29,6k1S6jARx5BYb0uAH7Fn6m,Konje,2023,0.236,4,145.977,-4.594,0.985,0.628,0.0395,Minor
30,3lJf0POrVWwPKOKU78OhA3,Kickin' Hard - DJ Daddy Trance Remix,2023,0.293,4,145.007,-6.719,0.961,0.668,0.439,Major
31,1f3e3hjcwNMh9J0EQrC3AD,Lagoon,2022,0.558,4,145.026,-6.256,0.586,0.924,0.199,Major
32,7E4E4jxutDd85MdvpmJ2XC,The Dawn - Mark Sherry Remix,2023,0.887,4,139.987,-5.579,0.989,0.442,0.0495,Major
33,1g3tNna6jompzCBh0oi2Zj,No Other Alternative,2021,0.186,4,140.004,-6.454,0.764,0.768,0.0394,Minor
34,59KN2on4LEvkXanKjjZgZp,Turn It Around - Billy Gillies Remix,2020,0.517,4,139.973,-5.148,0.973,0.536,0.24,Major
35,6jI7wig2lXmCXPRVwNkjIy,Make It Count,2024,0.795,4,137.982,-7.249,0.91,0.635,0.246,Major
36,3HSQu7xECSxGaemlfaRMNI,Booze It Up!,2017,0.557,4,142.026,-7.158,0.875,0.701,0.855,Minor
37,0mkDHueaGm3zs0QJpmSe1g,C'est La Vie,2024,0.000626,4,144.941,-4.224,0.948,0.621,0.389,Major
38,0u2cXhPRDZcb2tm61NmTVD,No Regular - Original Mix,2010,0.799,4,139.996,-12.072,0.657,0.723,0.504,Minor
39,2JjJWzPSgc9ncFuqFtDDK8,Stay With Me,2024,0.944,4,137.981,-3.897,0.989,0.569,0.0652,Major
40,45psgyoJdTRcmHRQufkHXP,Cry for Peace,2023,0.362,4,137.98,-4.989,0.995,0.391,0.111,Minor
41,5KRk04UI2qpMKQTkYTlNb7,Dreaming,2024,0.932,4,141.973,-4.099,0.976,0.572,0.191,Major
42,2xNcWoFBXqDT44swJUCDvj,The Bass,2019,0.882,4,142.267,-6.42,0.787,0.551,0.29,Major
43,3FOVlKA27vbAj8OWb8ukiY,Ultrasonic - Maarten de Jong Remix,2023,0.925,4,140.011,-4.02,0.946,0.452,0.461,Minor
44,55i3Bgc1Ubpy3sLQtw5og5,Music Is The Drug - Paul Clark (UK) Remix,2023,0.693,4,145.029,-3.458,0.997,0.547,0.15,Major
45,3M6JFKYgLL9hkMLovdZXLp,Celestial Body,2020,0.722,4,134.013,-5.046,0.977,0.515,0.173,Minor
